quantity;value
cycles;42
satisficing_failed;42
tried;8
accepted;2
rejected;6
withheld;1
persist_failed;0
dJ_accepted;-0.001733
stage1_tried;2
stage1_accepted;0
stage2_tried;3
stage2_accepted;1
stage3_tried;3
stage3_accepted;1
blocked: cooldown between adaptation trials;34
gate: rejected at G3 (no improvement);1
gate: admitted (improves G3 + G4);1
gate: rejected at G5 (package margin);1
rejected: rejected at G3 (claude);1
rejected: no improving perturbation found;2
"rejected: cell already covered — an active rule sits on this antecedent cell and the situation is crisp; numeric tuning is stage ① evFIS's job";2
rejected: rejected at G5 package margin (claude);1
