quantity;value
cycles;40
satisficing_failed;40
tried;10
accepted;4
rejected;6
withheld;0
persist_failed;0
dJ_accepted;0.002185
stage1_tried;4
stage1_accepted;2
stage2_tried;3
stage2_accepted;0
stage3_tried;3
stage3_accepted;2
blocked: cooldown between adaptation trials;30
gate: rejected at G3 (no improvement);1
gate: admitted (improves G3 + G4);2
"rejected: cell already covered — an active rule sits on this antecedent cell and the situation is crisp; numeric tuning is stage ① evFIS's job";3
rejected: rejected at G3 (claude);1
rejected: no improving perturbation found;2
