step;j_candidate;j_noaction;satisficing_bound;phys_candidate;phys_noaction
0;0.223888;0.223888;0.212694;0.287321;0.287321
1;0.227257;0.227257;0.215894;0.287321;0.287321
2;0.230229;0.230229;0.218717;0.287321;0.287321
3;0.231220;0.232827;0.221186;0.286233;0.291713
4;0.233893;0.222594;0.211465;0.286233;0.291713
5;0.235087;0.225873;0.214580;0.286085;0.289789
6;0.237385;0.229012;0.217561;0.286064;0.290893
7;0.226809;0.232503;0.220878;0.286064;0.290893
8;0.208995;0.221013;0.209963;0.286064;0.290893
9;0.149597;0.210352;0.199835;0.245506;0.282218
10;0.122926;0.193956;0.184259;0.245506;0.282218
