quantity;value
cycles;156
satisficing_failed;156
tried;39
accepted;10
rejected;29
withheld;0
persist_failed;0
dJ_accepted;-0.010460
stage1_tried;21
stage1_accepted;8
stage2_tried;11
stage2_accepted;0
stage3_tried;7
stage3_accepted;2
blocked: cooldown between adaptation trials;117
gate: rejected at G5 (package margin);1
gate: admitted (improves G3 + G4);2
gate: rejected at G3 (no improvement);1
gate: rejected;3
"rejected: cell already covered — an active rule sits on this antecedent cell and the situation is crisp; numeric tuning is stage ① evFIS's job";1
rejected: rejected at G5 package margin (claude);1
rejected: no improving perturbation found;13
rejected: rejected at G3 (claude);1
"rejected: rejected at G2c relevance (the rule does not fire in the PRESENT situation; use each concept's CURRENT dominant term from the situation line) (claude)";3
rejected: refined cell already covered;10
