step,t_min,burning,burned,j_total,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,14,14,0.02124,0.04326,0.00000,0.00000,0.00008,8.27,0.00,0.068,188,11.3
2,2.0,21,21,0.03245,0.06418,0.00000,0.00000,0.00020,8.27,0.00,0.068,422,20.7
3,3.0,29,29,0.03958,0.08753,0.00000,0.00000,0.00032,8.27,0.00,0.068,440,21.5
4,4.0,41,41,0.05439,0.12147,0.00000,0.00000,0.00064,8.27,0.00,0.068,529,51.5
5,5.0,51,51,0.06242,0.14878,0.00000,0.00000,0.00104,8.27,0.00,0.068,565,62.8
6,6.0,58,58,0.06781,0.16740,0.00000,0.00000,0.00151,8.27,0.00,0.068,599,73.5
7,7.0,67,67,0.07452,0.19073,0.00000,0.00000,0.00205,8.27,0.00,0.068,631,83.3
8,8.0,74,74,0.07966,0.20843,0.00000,0.00000,0.00265,8.27,0.00,0.068,658,93.3
9,9.0,87,87,0.08885,0.24027,0.00000,0.00000,0.00333,8.27,0.00,0.068,691,103.5
10,10.0,95,95,0.09445,0.25923,0.00000,0.00000,0.00410,8.27,0.00,0.068,727,118.3
11,11.0,109,109,0.09970,0.29127,0.00000,0.00000,0.00560,8.27,0.00,0.068,756,217.6
12,12.0,124,124,0.10964,0.32407,0.00000,0.00000,0.00724,8.27,0.00,0.068,813,238.1
13,13.0,142,142,0.12085,0.36142,0.00000,0.00000,0.00900,8.27,0.00,0.068,871,255.5
14,14.0,165,165,0.13422,0.40617,0.00000,0.00000,0.01086,8.27,0.00,0.069,914,271.1
15,15.0,186,186,0.14558,0.44428,0.00000,0.00000,0.01288,8.27,0.00,0.069,990,296.0
16,16.0,208,208,0.15676,0.48159,0.00000,0.00000,0.01505,8.27,0.00,0.069,1047,316.8
17,17.0,234,234,0.16893,0.52246,0.00000,0.00000,0.01736,8.27,0.00,0.069,1108,339.3
18,18.0,258,258,0.17929,0.55732,0.00000,0.00000,0.01984,8.27,0.00,0.070,1165,363.0
19,19.0,294,294,0.19336,0.60490,0.00000,0.00000,0.02248,8.27,0.00,0.070,1230,388.8
20,20.0,335,335,0.20755,0.65289,0.00000,0.00000,0.02536,8.27,0.00,0.070,1314,423.2
21,21.0,376,376,0.21998,0.69505,0.00000,0.00000,0.02849,8.27,0.00,0.070,1399,459.7
22,22.0,420,420,0.23169,0.73462,0.00000,0.00000,0.03187,8.27,0.00,0.071,1495,497.6
23,23.0,475,475,0.24416,0.77694,0.00000,0.00000,0.03556,8.27,0.00,0.071,1577,544.0
24,24.0,534,534,0.25528,0.81487,0.00000,0.00000,0.03965,8.27,0.00,0.071,1683,600.2
25,25.0,585,585,0.26337,0.84241,0.00000,0.00000,0.04418,8.27,0.00,0.072,1797,665.3
26,26.0,633,633,0.26993,0.86458,0.00000,0.00000,0.04912,8.27,0.00,0.072,1896,721.9
27,27.0,682,682,0.27582,0.88400,0.00000,0.00000,0.05411,8.27,0.00,0.072,1145,723.4
28,28.0,739,739,0.28174,0.90311,0.00000,0.00000,0.05911,8.27,0.00,0.073,1118,726.5
29,29.0,805,805,0.28692,0.92134,0.00000,0.00000,0.06411,8.27,0.00,0.073,1101,725.6
30,30.0,872,872,0.29114,0.93634,0.00000,0.00000,0.06911,8.27,0.00,0.073,1088,724.1
31,31.0,926,926,0.29411,0.94633,0.00000,0.00000,0.07410,8.27,0.00,0.074,1079,723.5
32,32.0,988,988,0.29701,0.95587,0.00000,0.00000,0.07910,8.27,0.00,0.074,1071,723.2
33,33.0,1041,1041,0.29909,0.96267,0.00000,0.00000,0.08410,8.27,0.00,0.074,1064,721.9
34,34.0,1092,1092,0.30085,0.96823,0.00000,0.00000,0.08910,8.27,0.00,0.074,1060,721.3
35,35.0,1154,1154,0.30266,0.97388,0.00000,0.00000,0.09410,8.27,0.00,0.075,1059,721.2
