step,t_min,burning,burned,j_total,j_physical,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,170,170,0.10271,0.11645,0.34936,0.00000,0.00000,0.00000,8.27,0.00,0.159,0,0.0
2,2.0,172,172,0.10350,0.11734,0.35203,0.00000,0.00000,0.00000,8.27,0.00,0.159,0,0.0
3,3.0,178,178,0.10581,0.11996,0.35989,0.00000,0.00000,0.00000,8.27,0.00,0.159,0,0.0
4,4.0,187,187,0.11858,0.12378,0.37133,0.00000,0.00000,0.01038,8.27,0.00,0.163,162,221.5
5,5.0,203,203,0.12486,0.13023,0.39069,0.00000,0.00000,0.02077,8.27,0.00,0.164,161,221.0
6,6.0,220,221,0.13146,0.13703,0.41109,0.00000,0.00000,0.03120,8.27,0.00,0.164,161,221.7
7,7.0,242,243,0.13887,0.14475,0.43424,0.00000,0.00000,0.04160,8.27,0.00,0.164,160,220.9
8,8.0,263,266,0.14604,0.15219,0.45657,0.00000,0.00000,0.05197,8.27,0.00,0.165,159,220.0
9,9.0,283,287,0.15220,0.15849,0.47548,0.00000,0.00000,0.06237,8.27,0.00,0.166,159,220.2
10,10.0,298,302,0.15655,0.16273,0.48820,0.00000,0.00000,0.07278,8.27,0.00,0.166,159,220.5
11,11.0,313,319,0.16122,0.16730,0.50189,0.00000,0.00000,0.08318,8.27,0.00,0.170,159,220.1
12,12.0,326,336,0.16566,0.17162,0.51486,0.00000,0.00000,0.09359,8.27,0.00,0.171,159,220.2
13,13.0,341,357,0.17072,0.17666,0.52999,0.00000,0.00000,0.10401,8.27,0.00,0.172,159,220.4
14,14.0,348,368,0.17355,0.17918,0.53754,0.00000,0.00000,0.11443,8.27,0.00,0.172,159,220.5
15,15.0,356,387,0.17786,0.18334,0.55003,0.00000,0.00000,0.12486,8.27,0.00,0.173,159,220.5
16,16.0,369,404,0.18155,0.18688,0.56064,0.00000,0.00000,0.13523,8.27,0.00,0.174,157,219.2
17,17.0,378,418,0.18467,0.18967,0.56902,0.00000,0.00000,0.14566,8.27,0.00,0.174,158,220.4
18,18.0,389,435,0.18822,0.19292,0.57877,0.00000,0.00000,0.15607,8.27,0.00,0.175,158,219.9
19,19.0,402,454,0.19193,0.19638,0.58915,0.00000,0.00000,0.16646,8.27,0.00,0.176,158,219.4
20,20.0,413,475,0.19582,0.20002,0.60005,0.00000,0.00000,0.17688,8.27,0.00,0.176,159,220.2
21,21.0,424,493,0.19904,0.20298,0.60894,0.00000,0.00000,0.18726,8.27,0.00,0.177,158,219.1
22,22.0,432,508,0.20186,0.20535,0.61606,0.00000,0.00000,0.19768,8.27,0.00,0.177,160,220.1
23,23.0,444,524,0.20469,0.20779,0.62336,0.00000,0.00000,0.20808,8.27,0.00,0.178,160,219.7
24,24.0,441,537,0.20717,0.20970,0.62910,0.00000,0.00000,0.21848,8.27,0.00,0.179,161,219.5
25,25.0,447,547,0.20920,0.21113,0.63340,0.00000,0.00000,0.22889,8.27,0.00,0.179,162,219.6
26,26.0,455,558,0.21102,0.21267,0.63801,0.00000,0.00000,0.23928,8.27,0.00,0.180,161,219.3
27,27.0,457,564,0.21234,0.21349,0.64047,0.00000,0.00000,0.24970,8.27,0.00,0.180,161,219.8
28,28.0,469,577,0.21461,0.21524,0.64570,0.00000,0.00000,0.26008,8.27,0.00,0.180,161,219.1
29,29.0,475,588,0.21669,0.21667,0.65001,0.00000,0.00000,0.27046,8.27,0.00,0.181,162,218.9
30,30.0,477,597,0.21864,0.21782,0.65346,0.00000,0.00001,0.28085,8.27,0.00,0.181,164,219.2
31,31.0,481,603,0.21983,0.21858,0.65572,0.00000,0.00001,0.29126,8.27,0.00,0.181,164,219.6
32,32.0,482,612,0.22142,0.21969,0.65906,0.00000,0.00001,0.30169,8.27,0.00,0.181,164,219.9
33,33.0,486,621,0.22333,0.22078,0.66233,0.00000,0.00001,0.31209,8.27,0.00,0.181,165,219.5
34,34.0,500,638,0.22578,0.22279,0.66834,0.00000,0.00001,0.32248,8.27,0.00,0.181,165,219.1
35,35.0,496,643,0.22721,0.22336,0.67007,0.00000,0.00002,0.33288,8.27,0.00,0.182,167,219.3
36,36.0,497,648,0.22825,0.22393,0.67178,0.00000,0.00002,0.34331,8.27,0.00,0.182,173,219.6
37,37.0,501,655,0.22951,0.22472,0.67415,0.00000,0.00003,0.35374,8.27,0.00,0.182,169,219.8
38,38.0,504,662,0.23080,0.22550,0.67648,0.00000,0.00003,0.36417,8.27,0.00,0.182,178,219.1
39,39.0,508,671,0.23217,0.22649,0.67942,0.00000,0.00003,0.37459,8.27,0.00,0.183,191,218.3
40,40.0,514,678,0.23288,0.22724,0.68168,0.00000,0.00004,0.38501,8.27,0.00,0.183,202,216.4
41,41.0,520,684,0.23379,0.22788,0.68359,0.00000,0.00004,0.39542,8.27,0.00,0.183,220,214.6
42,42.0,530,694,0.23512,0.22892,0.68672,0.00000,0.00004,0.40583,8.27,0.00,0.183,214,214.3
43,43.0,534,699,0.23628,0.22944,0.68826,0.00000,0.00005,0.41623,8.27,0.00,0.184,205,214.9
44,44.0,557,708,0.22773,0.23035,0.69100,0.00000,0.00005,0.41623,8.27,0.00,0.184,0,0.0
45,45.0,564,715,0.22834,0.23105,0.69310,0.00000,0.00005,0.41623,8.27,0.00,0.184,0,0.0
46,46.0,570,720,0.22878,0.23155,0.69458,0.00000,0.00006,0.41623,8.27,0.00,0.184,0,0.0
47,47.0,578,727,0.22939,0.23223,0.69663,0.00000,0.00007,0.41623,8.27,0.00,0.184,0,0.0
48,48.0,583,732,0.22982,0.23272,0.69807,0.00000,0.00009,0.41623,8.27,0.00,0.184,0,0.0
49,49.0,586,735,0.23007,0.23301,0.69893,0.00000,0.00010,0.41623,8.27,0.00,0.184,0,0.0
50,50.0,587,736,0.23016,0.23311,0.69922,0.00000,0.00011,0.41623,8.27,0.00,0.184,0,0.0
51,51.0,591,740,0.23050,0.23350,0.70036,0.00000,0.00013,0.41623,8.27,0.00,0.184,0,0.0
52,52.0,596,745,0.23092,0.23397,0.70177,0.00000,0.00014,0.41623,8.27,0.00,0.184,0,0.0
53,53.0,603,752,0.23150,0.23463,0.70372,0.00000,0.00016,0.41623,8.27,0.00,0.184,0,0.0
54,54.0,581,757,0.24300,0.23509,0.70510,0.00000,0.00017,0.42664,8.27,0.00,0.184,192,218.0
55,55.0,584,761,0.24394,0.23546,0.70620,0.00000,0.00018,0.43705,8.27,0.00,0.184,192,218.0
56,56.0,591,768,0.24510,0.23609,0.70810,0.00000,0.00018,0.44747,8.27,0.00,0.184,191,218.0
57,57.0,592,774,0.24580,0.23663,0.70970,0.00000,0.00019,0.45787,8.27,0.00,0.184,301,217.6
58,58.0,590,776,0.24657,0.23681,0.71023,0.00000,0.00019,0.46827,8.27,0.00,0.185,301,217.9
59,59.0,585,776,0.24708,0.23681,0.71023,0.00000,0.00020,0.47867,8.27,0.00,0.185,298,217.7
60,60.0,589,780,0.24805,0.23716,0.71129,0.00000,0.00020,0.48910,8.27,0.00,0.185,299,218.5
61,61.0,590,784,0.24902,0.23751,0.71234,0.00000,0.00020,0.49953,8.27,0.00,0.185,305,218.9
