quantity;value
cycles;80
satisficing_failed;80
tried;18
accepted;6
rejected;12
withheld;11
persist_failed;0
dJ_accepted;-0.020105
stage1_tried;7
stage1_accepted;3
stage2_tried;5
stage2_accepted;1
stage3_tried;6
stage3_accepted;2
blocked: cooldown between adaptation trials;61
gate: rejected at G3 (no improvement);2
gate: admitted (improves G3 + G4);2
gate: rejected;1
gate: rejected at G5 (package margin);1
rejected: rejected at G3 (claude);2
rejected: refined cell already covered;4
rejected: no improving perturbation found;4
"rejected: rejected at G2 duplicate cell (claude) — an active rule already sits on this antecedent cell; re-issuing it with different numbers is stage ① evFIS's job, not a new rule";1
rejected: rejected at G5 package margin (claude);1
