step;j_candidate;j_noaction;satisficing_bound;phys_candidate;phys_noaction
0;0.202529;0.202529;0.198479;0.229625;0.229625
1;0.203771;0.203771;0.199695;0.231033;0.231033
2;0.205403;0.205403;0.201295;0.232883;0.232883
3;0.187026;0.206650;0.202517;0.192922;0.234297
4;0.185813;0.203686;0.199612;0.191411;0.230734
5;0.151159;0.202627;0.198574;0.151880;0.229319
6;0.081390;0.201460;0.197431;0.072500;0.227758
7;0.080814;0.146324;0.143397;0.071853;0.164911
8;0.080833;0.118410;0.116042;0.071853;0.132928
9;0.080897;0.155189;0.152086;0.071853;0.174302
10;0.081150;0.115559;0.113248;0.071853;0.129049
11;0.081413;0.121911;0.119472;0.071853;0.135927
12;0.081221;0.110743;0.108528;0.071853;0.122940
13;0.081479;0.109143;0.106960;0.071853;0.120822
14;0.081741;0.106733;0.104598;0.071853;0.117783
15;0.081953;0.102227;0.100182;0.071853;0.112367
16;0.082722;0.096609;0.094677;0.072500;0.105695
17;0.083248;0.091992;0.090152;0.073783;0.100162
18;0.086590;0.088984;0.087205;0.077557;0.096499
19;0.087081;0.085291;0.083585;0.076936;0.092169
20;0.086929;0.084027;0.082346;0.076936;0.090505
21;0.088991;0.084273;0.082587;0.078175;0.090505
22;0.094020;0.084550;0.082859;0.084786;0.090505
23;0.097943;0.084735;0.083040;0.090505;0.090505
24;0.099809;0.084816;0.083120;0.090505;0.090505
25;0.099612;0.084897;0.083199;0.090505;0.090505
26;0.099517;0.085022;0.083322;0.090505;0.090505
27;0.099911;0.085173;0.083470;0.090505;0.090505
