step;j_candidate;j_noaction;satisficing_bound;phys_candidate;phys_noaction
0;0.223888;0.223888;0.212694;0.290057;0.293964
0;0.223888;0.223888;0.212694;0.290057;0.293964
1;0.227257;0.227257;0.215894;0.287321;0.287321
2;0.230229;0.230229;0.218717;0.287321;0.287321
3;0.236154;0.232827;0.221186;0.286876;0.291713
4;0.239234;0.234442;0.222720;0.288129;0.292438
5;0.242888;0.236878;0.225034;0.288129;0.292438
6;0.243915;0.238546;0.226619;0.289717;0.293964
7;0.242895;0.240234;0.228223;0.289717;0.293964
8;0.243934;0.241507;0.229432;0.290287;0.294385
9;0.244202;0.243975;0.231776;0.291382;0.296351
10;0.243330;0.244318;0.232102;0.291382;0.296351
11;0.246428;0.247126;0.234770;0.291248;0.296925
12;0.248360;0.248083;0.235679;0.291248;0.296925
13;0.247303;0.248331;0.235915;0.288984;0.297445
14;0.247219;0.251631;0.239049;0.288703;0.298830
