step;t_min;region;story;stage_tried;stage_accepted;fired_rules;suppression;deployment;containment;protection;evacuation;warning;quality;gate_min;J_forecast;J_noaction;attended
256;256;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.27] R26[0.13] A1[0.61];0.12;0.57;0.17;0.85;0.65;0.14;0.79;0.00;0.3831;0.4017;1
257;257;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.30] R26[0.17] A1[0.72];0.31;0.60;0.17;0.85;0.64;0.14;0.90;0.12;0.3849;0.4057;1
256;256;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.27] R26[0.13] A1[0.61];0.12;0.57;0.17;0.85;0.65;0.14;0.79;0.00;0.3831;0.4017;1
256;256;Agent_1;RL selected stage 3 [GenAI] (deficit bucket: low) → ACCEPTED: G3: G3: IF asset exposure risk is VH AND fire threat level is H THEN asset protection 0.9, suppression effort 0.5 (adaptation-born: generative (template), gates G1-G4);3;3;R7[0.20] R11[0.08] R15[0.08] R20[0.24] R26[0.12] A1[0.55];0.26;0.52;0.17;0.85;0.63;0.14;0.82;0.00;0.3854;0.4017;1
258;258;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.32] R26[0.19] A1[0.72];0.32;0.62;0.17;0.86;0.64;0.14;0.90;0.12;0.3852;0.4070;1
259;259;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.32] R26[0.20] A1[0.72];0.31;0.60;0.17;0.86;0.64;0.14;0.91;0.12;0.3858;0.4075;1
260;260;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.34] R26[0.21] A1[0.72];0.32;0.61;0.17;0.86;0.64;0.14;0.91;0.12;0.3869;0.4080;1
261;261;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.35] R26[0.22] A1[0.72];0.33;0.62;0.17;0.86;0.64;0.14;0.91;0.12;0.3881;0.4099;1
262;262;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.36] R26[0.22] A1[0.71];0.33;0.62;0.17;0.86;0.64;0.14;0.91;0.12;0.3885;0.4118;1
263;263;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.36] R26[0.23] A1[0.70];0.33;0.62;0.17;0.86;0.65;0.14;0.91;0.12;0.3890;0.4089;1
264;264;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.36] R26[0.23] A1[0.70];0.33;0.62;0.17;0.86;0.65;0.14;0.91;0.12;0.3902;0.4087;1
265;265;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.36] R26[0.22] A1[0.69];0.33;0.61;0.17;0.86;0.65;0.14;0.92;0.12;0.3907;0.4093;1
0;0;Agent_1;RL selected stage 2 [resolution increase] (deficit bucket: low) → rejected (cell already covered — an active rule sits on this antecedent cell; numeric tuning of an existing cell is stage ① evFIS's job | seed-base decision stands, its orders are applied);2;0;R7[0.20] R11[0.08] R20[0.19] A1[0.54] G2[0.24] G1[0.51];0.05;0.44;0.11;0.84;0.57;0.08;0.80;0.00;0.1589;0.1658;1
1;1;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R20[0.18] A1[0.60] G2[0.27] G1[0.48];0.04;0.41;0.11;0.84;0.62;0.08;0.81;0.12;0.1543;0.1676;1
2;2;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.04] R20[0.19] R26[0.04] A1[0.68];0.08;0.43;0.15;0.85;0.65;0.11;0.88;0.12;0.1495;0.1683;1
3;3;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.19] R26[0.08] A1[0.68];0.11;0.44;0.17;0.85;0.65;0.14;0.88;0.12;0.1363;0.1681;1
4;4;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.20] R26[0.11] A1[0.68];0.13;0.45;0.17;0.85;0.65;0.14;0.89;0.12;0.1292;0.1675;1
5;5;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.20] R26[0.13] A1[0.68];0.15;0.45;0.17;0.85;0.65;0.14;0.89;0.12;0.1275;0.1665;1
6;6;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.21] R26[0.14] A1[0.68];0.17;0.46;0.17;0.85;0.65;0.14;0.89;0.12;0.1253;0.1658;1
7;7;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.21] R26[0.16] A1[0.68];0.18;0.46;0.17;0.85;0.65;0.14;0.89;0.12;0.1225;0.1641;1
8;8;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.21] R26[0.17] A1[0.68];0.19;0.46;0.17;0.85;0.65;0.14;0.89;0.12;0.1120;0.1631;1
9;9;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.21] R26[0.17] A1[0.68];0.19;0.46;0.17;0.86;0.65;0.14;0.89;0.12;0.1075;0.1596;1
10;10;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.21] R26[0.18] A1[0.68];0.20;0.46;0.17;0.86;0.65;0.14;0.89;0.12;0.1071;0.1495;1
11;11;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.21] R26[0.19] A1[0.68];0.20;0.47;0.17;0.86;0.65;0.14;0.89;0.11;0.1077;0.1477;1
12;12;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.21] R26[0.19] A1[0.68];0.20;0.47;0.17;0.86;0.65;0.14;0.89;0.11;0.1047;0.1590;1
13;13;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.21] R26[0.19] A1[0.68];0.21;0.47;0.17;0.86;0.65;0.14;0.90;0.11;0.1063;0.1467;1
14;14;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.21] R26[0.19] A1[0.68];0.21;0.46;0.17;0.86;0.65;0.14;0.90;0.11;0.1044;0.1518;1
15;15;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.21] R26[0.19] A1[0.68];0.21;0.46;0.17;0.86;0.65;0.14;0.90;0.11;0.1080;0.1559;1
16;16;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.21] R26[0.20] A1[0.68];0.21;0.46;0.17;0.86;0.65;0.14;0.90;0.11;0.1076;0.1441;1
17;17;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.21] R26[0.20] A1[0.68];0.21;0.46;0.17;0.86;0.65;0.14;0.90;0.11;0.1082;0.1430;1
18;18;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.21] R26[0.20] A1[0.68];0.21;0.46;0.17;0.86;0.65;0.14;0.90;0.11;0.1083;0.1455;1
19;19;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.21] R26[0.20] A1[0.68];0.21;0.46;0.17;0.86;0.65;0.14;0.90;0.11;0.1094;0.1409;1
20;20;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.21] R26[0.20] A1[0.68];0.21;0.46;0.17;0.86;0.65;0.14;0.90;0.11;0.1095;0.1412;1
21;21;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.20] R11[0.08] R15[0.08] R20[0.21] R26[0.20] A1[0.68];0.21;0.46;0.17;0.86;0.65;0.14;0.90;0.11;0.1096;0.1414;1
