design,kind,factor,delta,seed,traj,flip_rate,region_cycles,act_shift,d_burned_ha,d_j_total,d_j_phys,d_j_burn,d_j_asset,d_j_pop,burned_ha,j_total,seconds,shift_fire_threat_level,shift_asset_exposure_risk,shift_suppression_feasibility,shift_intervention_urgency,shift_evacuation_pressure
oat,feature,asset_exposure,+0.250,202,,0.3269,52,0.01647,22.68,0.013814,0.017309,0.056396,-0.004537,6.9e-05,100.89,0.155751,9.0,0.0017,0.0473,0.0,0.01867,0.02437
oat,feature,asset_exposure,-0.250,202,,0.6346,52,0.04441,-10.08,-0.014385,-0.021138,-0.028388,-0.034031,-0.000996,68.13,0.127553,8.6,0.00098,0.13408,0.0,0.04824,0.06219
oat,feature,resource_accessibility,+0.250,202,,0.1923,52,0.01259,24.3,0.021893,0.027588,0.060077,0.022687,2e-06,102.51,0.163831,9.0,0.002,0.00399,0.0398,0.00421,0.00455
oat,feature,resource_accessibility,-0.250,202,,0.1154,52,0.01771,-6.3,-0.007697,-0.011875,-0.017475,-0.01815,0.0,71.91,0.13424,8.9,0.00016,0.00015,0.07025,0.00027,0.00024
oat,feature,access_road_status,+0.250,202,,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.21,0.141938,10.1,0.0,0.0,0.0,0.0,0.0
oat,feature,access_road_status,-0.250,202,,0.3654,52,0.02331,12.69,0.017691,0.018733,0.032723,0.023595,-0.000118,90.9,0.159629,9.9,0.00152,0.01708,0.05628,0.00772,0.0433
oat,feature,suppression_availability,+0.250,202,,0.3846,52,0.01575,12.24,0.010891,0.011293,0.031615,0.002269,-5e-06,90.45,0.152829,9.7,0.0006,0.00128,0.05947,0.00155,0.00173
oat,feature,suppression_availability,-0.250,202,,0.25,52,0.02803,6.84,0.010804,0.009799,0.018029,0.011344,2.4e-05,85.05,0.152742,7.5,0.00211,0.00421,0.1027,0.00307,0.00283
oat,feature,temporal_urgency,+0.250,202,,0.2308,52,0.00917,7.92,0.010247,0.011498,0.02079,0.013612,9e-05,86.13,0.152184,9.5,0.00056,0.02317,0.0,0.01567,0.01811
oat,feature,temporal_urgency,-0.250,202,,0.5577,52,0.01345,0.27,0.00225,-0.00128,0.00073,-0.004537,-3.2e-05,78.48,0.144188,7.4,0.00126,0.01648,0.0,0.0476,0.05649
oat,mf,fire_intensity,+0.200,201,,0.0,52,0.00104,-22.95,-0.016455,-0.018628,-0.018536,-0.037349,-0.0,282.6,0.35178,9.9,0.00284,0.00027,0.0,0.00121,0.00012
oat,mf,fire_intensity,-0.200,201,,0.0385,52,0.09188,6.3,-0.000896,-0.001133,0.004789,-0.008195,6e-06,311.85,0.36734,9.5,0.27764,0.00125,0.0,0.11136,0.00067
oat,mf,spread_potential,+0.200,201,,0.0577,52,0.00691,-4.77,-0.009577,-0.010796,-0.003709,-0.028682,2e-06,300.78,0.358658,9.2,0.01362,0.00814,0.0,0.00829,0.00366
oat,mf,spread_potential,-0.200,201,,0.0385,52,0.01938,-2.07,0.001636,0.001857,-0.001601,0.00717,1e-06,303.48,0.369871,9.4,0.04034,0.02167,0.0,0.02375,0.00979
oat,mf,weather_severity,+0.200,201,,0.0,52,0.00086,-23.85,-0.036638,-0.041656,-0.0193,-0.105665,-3e-06,281.7,0.331597,9.5,0.00091,0.00134,0.0,0.00053,0.0006
oat,mf,weather_severity,-0.200,201,,0.0,52,0.00123,-9.63,0.027166,0.030816,-0.007563,0.099992,1.8e-05,295.92,0.395401,10.1,0.00161,0.00138,0.0,0.00103,0.00062
oat,mf,ignition_proximity,+0.200,201,,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.55,0.368235,9.8,0.0,0.0,0.0,0.0,0.0
oat,mf,ignition_proximity,-0.200,201,,0.5385,52,0.04952,10.17,0.010956,0.012638,0.007672,0.030415,-0.000173,315.72,0.379192,9.3,0.05683,0.10552,0.0,0.05966,0.04749
oat,mf,fuel_load,+0.200,201,,0.0,52,0.00249,-23.94,-0.036721,-0.041684,-0.019376,-0.105665,-1e-05,281.61,0.331514,9.5,0.00426,0.00032,0.0,0.00175,0.00014
oat,mf,fuel_load,-0.200,201,,0.0,52,0.00283,-7.74,0.026263,0.029789,-0.006055,0.095422,-1e-06,297.81,0.394499,9.8,0.0046,0.0006,0.0,0.00191,0.00027
oat,mf,asset_exposure,+0.200,201,,0.1731,52,0.01446,0.45,-0.000318,-0.000147,0.000346,-0.00063,-0.000158,306.0,0.367917,9.1,0.00182,0.04237,0.0,0.01551,0.01902
oat,mf,asset_exposure,-0.200,201,,0.2692,52,0.06887,-3.06,0.001637,0.001872,-0.002371,0.008825,-0.000837,302.49,0.369873,9.1,0.00183,0.20896,0.0,0.07371,0.09387
