dial,level,seed,spread_tighten,j_phys,j_total,burned,cycles,adapt_frac,tried1,tried2,tried3,acc1,acc2,acc3,rules,fs_frac,seconds
j_threshold,0.25,208,0.0,0.41024,0.41943,2929,30,1.0,18,9,3,7,6,0,11,0.208,19.8
j_threshold,0.25,209,0.0,0.53735,0.53068,3956,30,0.933,23,2,3,9,2,1,8,0.3,19.0
j_threshold,0.25,210,0.0,0.24118,0.27081,2707,35,0.571,16,2,2,11,2,0,7,0.014,17.7
j_threshold,0.35,201,0.0,0.48564,0.48528,3822,30,0.767,12,6,5,4,3,1,9,0.158,16.4
j_threshold,0.35,202,0.0,0.13805,0.19038,1090,30,0.733,16,3,3,12,2,1,8,0.117,17.4
j_threshold,0.35,203,0.0,0.16001,0.20379,1763,30,0.633,3,13,3,2,5,0,10,0.008,15.5
j_threshold,0.35,204,0.0,0.47278,0.47419,3107,30,0.9,15,5,7,3,1,3,9,0.258,18.4
j_threshold,0.35,205,0.0,0.22184,0.25994,2111,30,0.933,7,18,3,7,7,0,12,0.1,17.6
j_threshold,0.35,206,0.0,0.18751,0.22241,1569,30,0.533,1,12,3,1,5,0,10,0.058,13.9
j_threshold,0.35,207,0.0,0.35344,0.36886,3177,30,0.867,18,5,3,12,1,1,7,0.075,18.9
j_threshold,0.35,208,0.0,0.4142,0.42286,2931,30,0.967,18,8,3,12,5,0,10,0.233,19.0
j_threshold,0.35,209,0.0,0.50951,0.50588,3905,33,0.758,1,21,3,1,5,1,11,0.136,13.2
j_threshold,0.35,210,0.0,0.24035,0.27072,2680,35,0.429,11,2,2,8,2,0,7,0.014,15.1
j_threshold,0.45,201,0.0,0.48564,0.4852,3822,30,0.733,15,2,5,4,2,1,8,0.192,15.7
j_threshold,0.45,202,0.0,0.13805,0.19038,1090,30,0.733,16,3,3,12,2,1,8,0.117,16.5
j_threshold,0.45,203,0.0,0.16001,0.20379,1763,30,0.633,3,13,3,2,5,0,10,0.008,15.7
j_threshold,0.45,204,0.0,0.47278,0.47419,3107,30,0.9,15,6,6,3,1,3,9,0.258,19.0
j_threshold,0.45,205,0.0,0.22184,0.25994,2111,30,0.933,7,18,3,7,7,0,12,0.1,17.4
j_threshold,0.45,206,0.0,0.18751,0.22241,1569,30,0.533,1,12,3,1,5,0,10,0.058,13.6
j_threshold,0.45,207,0.0,0.35344,0.36886,3177,30,0.867,18,5,3,12,1,1,7,0.075,19.1
j_threshold,0.45,208,0.0,0.4142,0.42286,2931,30,0.967,18,8,3,12,5,0,10,0.233,18.8
j_threshold,0.45,209,0.0,0.50951,0.50588,3905,33,0.758,1,21,3,1,5,1,11,0.136,13.8
j_threshold,0.45,210,0.0,0.24035,0.27072,2680,35,0.429,11,2,2,8,2,0,7,0.014,16.6
eta,0.6,201,0.0,0.48564,0.48528,3822,30,0.767,12,6,5,4,3,1,9,0.158,17.3
eta,0.6,202,0.0,0.13805,0.19038,1090,30,0.733,16,3,3,12,2,1,8,0.117,17.3
eta,0.6,203,0.0,0.16001,0.20379,1763,30,0.633,3,13,3,2,5,0,10,0.008,16.7
eta,0.6,204,0.0,0.47278,0.47419,3107,30,0.9,15,5,7,3,1,3,9,0.258,18.3
eta,0.6,205,0.0,0.22184,0.25994,2111,30,0.933,7,18,3,7,7,0,12,0.1,18.5
eta,0.6,206,0.0,0.18751,0.22241,1569,30,0.533,1,12,3,1,5,0,10,0.058,13.1
eta,0.6,207,0.0,0.35344,0.36886,3177,30,0.867,18,5,3,12,1,1,7,0.075,18.6
eta,0.6,208,0.0,0.4142,0.42286,2931,30,0.967,18,8,3,12,5,0,10,0.233,18.8
eta,0.6,209,0.0,0.50951,0.50588,3905,33,0.758,1,21,3,1,5,1,11,0.136,13.8
eta,0.6,210,0.0,0.24035,0.27072,2680,35,0.429,11,2,2,8,2,0,7,0.014,15.4
eta,0.7,201,0.0,0.48227,0.48255,3815,30,0.833,19,1,5,8,1,1,7,0.592,18.1
eta,0.7,202,0.0,0.23209,0.26418,2092,30,0.467,10,2,2,8,1,0,6,0.483,14.6
eta,0.7,203,0.0,0.24521,0.27583,2541,30,0.9,2,22,3,2,9,0,14,0.05,14.7
eta,0.7,204,0.0,0.3451,0.36897,2452,32,0.812,17,5,4,10,4,1,10,0.398,19.2
eta,0.7,205,0.0,0.21434,0.25598,2043,30,0.933,19,6,3,11,5,0,10,0.533,18.3
