step,j_c,j_0,bound,deficit_on,gap,adapt_due,seed
48,0.32297327031558243,0.329417994365221,0.0,True,True,True,204
54,0.34741716891476193,0.3526726012782711,0.0,True,True,True,204
60,0.3601524091681905,0.37259467119845857,0.0,True,True,True,204
66,0.3628097423207754,0.39028932570114877,0.0,True,True,True,204
72,0.3723189106293318,0.39250477955878094,0.0,True,True,True,204
78,0.3807628619883882,0.4002592302764861,0.0,True,True,True,204
84,0.38879637788165866,0.4056393012923005,0.0,True,True,True,204
90,0.40574483453158044,0.41232761038918236,0.0,True,True,True,204
96,0.40609946199824376,0.41471849550503004,0.0,True,True,True,204
102,0.4155183437815762,0.4256689475730757,0.0,True,True,True,204
108,0.41624141741527465,0.42750504264955036,0.0,True,True,True,204
114,0.42393551513427896,0.4365272854751093,0.0,True,True,True,204
120,0.430130797135238,0.44007084570851224,0.0,True,True,True,204
126,0.43331162342759405,0.43873603283346546,0.0,True,True,True,204
132,0.4369370731457822,0.4396176897321178,0.0,True,True,True,204
138,0.44067112154722643,0.4429555577009806,0.0,True,True,True,204
144,0.4443570823057767,0.445454597594919,0.0,True,True,True,204
150,0.4488463996494612,0.4485633759639469,0.0,True,True,True,204
156,0.45184043453190237,0.451475773511264,0.0,True,True,True,204
162,0.4543663920276401,0.4534274067526656,0.0,True,True,True,204
168,0.45866796895790385,0.45695693775995344,0.0,True,True,True,204
174,0.4610473660385249,0.46038316534667634,0.0,True,True,True,204
0,0.07697103620954626,0.07697103620954626,0.07312248439906895,True,False,True,205
6,0.16566335385751563,0.13825512341261845,0.0,True,True,True,205
12,0.17962744563991234,0.16310621703884173,0.0,True,True,True,205
18,0.17171642030600226,0.18298676488506374,0.0,True,True,True,205
24,0.18090031300113008,0.19498509389160845,0.0,True,True,True,205
30,0.19019266422962317,0.18615273477325786,0.0,True,True,True,205
36,0.19367479819584538,0.19373227544233038,0.0,True,True,True,205
42,0.19562180858897177,0.19128521723995742,0.0,True,True,True,205
48,0.2039041376931018,0.19780751856016196,0.0,True,True,True,205
54,0.21626751185832052,0.2078969722374463,0.0,True,True,True,205
60,0.2111589691721885,0.21296919251962876,0.0,True,True,True,205
66,0.21453455604300112,0.2137145250279694,0.0,True,True,True,205
72,0.21937525480463457,0.2125131312116695,0.0,True,True,True,205
78,0.22058907895298557,0.2167634828354283,0.0,True,True,True,205
84,0.22272971308822198,0.21598048448118964,0.0,True,True,True,205
90,0.22577304035843662,0.21715020489711834,0.0,True,True,True,205
96,0.22715821576665735,0.21912545194801852,0.0,True,True,True,205
102,0.23138338089687863,0.21989378030233295,0.0,True,True,True,205
108,0.23218421737197578,0.2216955223218871,0.0,True,True,True,205
114,0.23527265509389522,0.22367266750374132,0.0,True,True,True,205
120,0.2370742977635707,0.22540047567385432,0.0,True,True,True,205
126,0.23868624280287057,0.22698433880001967,0.0,True,True,True,205
132,0.2400853006578121,0.22860040841545362,0.0,True,True,True,205
138,0.24532575107700916,0.23018438216962475,0.0,True,True,True,205
144,0.24407326290919204,0.2323042511658601,0.0,True,True,True,205
150,0.247375919170581,0.23414035903379046,0.0,True,True,True,205
156,0.2511314794448565,0.23576008576630772,0.0,True,True,True,205
162,0.2525236006127306,0.237234180981587,0.0,True,True,True,205
168,0.25552427274267736,0.23938827138285443,0.0,True,True,True,205
174,0.25348679189962997,0.24118570162753702,0.0,True,True,True,205
