block,param,value,arm,seed,n_ign,pool,n_sensors,n_regions,j_threshold,eta,attention_thr,cycle_min,horizon_min,revision_budget,w_burn,w_asset,w_pop,j_phys,j_total,burned,burned_ha,evacuated,affected,out_min,fs_frac,tried_3,acc_3,rules_final,seconds
tuning,horizon_min,48.0,adaptive,204,4,0.25,,4,0.35,0.6,0.35,12.0,48.0,3,1.0,1.0,1.0,0.32102,0.34485,2615,235.35,1254.0,752.0,-1,0.0167,3,1,9,22.5
tuning,horizon_min,48.0,adaptive,205,4,0.25,,4,0.35,0.6,0.35,12.0,48.0,3,1.0,1.0,1.0,0.21272,0.25464,2143,192.87,0.0,327.0,-1,0.2667,3,0,6,20.1
tuning,cycle_min,2.0,adaptive,204,4,0.25,,4,0.35,0.6,0.35,2.0,24.0,3,1.0,1.0,1.0,0.18358,0.19713,1766,158.94,227.0,351.0,216.0,0.037,3,2,10,33.3
tuning,cycle_min,2.0,adaptive,205,4,0.25,,4,0.35,0.6,0.35,2.0,24.0,3,1.0,1.0,1.0,0.12608,0.15721,886,79.74,0.0,363.0,268.0,0.0634,3,0,8,39.9
tuning,cycle_min,4.0,adaptive,204,4,0.25,,4,0.35,0.6,0.35,4.0,24.0,3,1.0,1.0,1.0,0.19361,0.20933,1830,164.7,447.0,348.0,246.0,0.1935,3,1,9,26.1
tuning,cycle_min,4.0,adaptive,205,4,0.25,,4,0.35,0.6,0.35,4.0,24.0,3,1.0,1.0,1.0,0.1541,0.19783,1185,106.65,0.0,371.0,198.0,0.13,3,0,9,21.6
tuning,cycle_min,8.0,adaptive,204,4,0.25,,4,0.35,0.6,0.35,8.0,24.0,3,1.0,1.0,1.0,0.2491,0.28119,2119,190.71,865.0,474.0,-1,0.0167,4,1,10,26.2
tuning,cycle_min,8.0,adaptive,205,4,0.25,,4,0.35,0.6,0.35,8.0,24.0,3,1.0,1.0,1.0,0.18123,0.22619,1578,142.02,0.0,373.0,-1,0.0389,3,0,10,24.6
tuning,cycle_min,12.0,adaptive,204,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.32102,0.34485,2615,235.35,1254.0,752.0,-1,0.0167,3,1,9,24.2
tuning,cycle_min,12.0,adaptive,205,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.20889,0.25,2071,186.39,0.0,225.0,-1,0.2071,3,0,8,24.0
tuning,cycle_min,20.0,adaptive,204,4,0.25,,4,0.35,0.6,0.35,20.0,24.0,3,1.0,1.0,1.0,0.32535,0.34586,2535,228.15,2020.0,665.0,-1,0.2778,4,1,6,16.3
tuning,cycle_min,20.0,adaptive,205,4,0.25,,4,0.35,0.6,0.35,20.0,24.0,3,1.0,1.0,1.0,0.21233,0.25209,2027,182.43,0.0,333.0,-1,0.1528,3,0,9,15.7
tuning,revision_budget,1,adaptive,204,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,1,1.0,1.0,1.0,0.32102,0.34485,2615,235.35,1254.0,752.0,-1,0.0167,3,1,9,24.1
tuning,revision_budget,1,adaptive,205,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,1,1.0,1.0,1.0,0.20889,0.25,2071,186.39,0.0,225.0,-1,0.2071,3,0,8,24.4
tuning,revision_budget,2,adaptive,204,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,2,1.0,1.0,1.0,0.32102,0.34485,2615,235.35,1254.0,752.0,-1,0.0167,3,1,9,24.2
tuning,revision_budget,2,adaptive,205,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,2,1.0,1.0,1.0,0.20889,0.25,2071,186.39,0.0,225.0,-1,0.2071,3,0,8,24.5
tuning,revision_budget,3,adaptive,204,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.32102,0.34485,2615,235.35,1254.0,752.0,-1,0.0167,3,1,9,24.3
tuning,revision_budget,3,adaptive,205,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.20889,0.25,2071,186.39,0.0,225.0,-1,0.2071,3,0,8,24.7
tuning,revision_budget,4,adaptive,204,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,4,1.0,1.0,1.0,0.32102,0.34485,2615,235.35,1254.0,752.0,-1,0.0167,3,1,9,24.5
tuning,revision_budget,4,adaptive,205,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,4,1.0,1.0,1.0,0.20889,0.25,2071,186.39,0.0,225.0,-1,0.2071,3,0,8,24.3
tuning,revision_budget,6,adaptive,204,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,6,1.0,1.0,1.0,0.32102,0.34485,2615,235.35,1254.0,752.0,-1,0.0167,3,1,9,24.5
tuning,revision_budget,6,adaptive,205,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,6,1.0,1.0,1.0,0.20889,0.25,2071,186.39,0.0,225.0,-1,0.2071,3,0,8,23.8
weights,w_burn,0.5,adaptive,204,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,3,0.5,1.0,1.0,0.26714,0.30191,2504,225.36,1254.0,743.0,-1,0.0167,4,1,8,25.2
weights,w_burn,0.5,adaptive,205,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,3,0.5,1.0,1.0,0.14536,0.20364,1947,175.23,0.0,358.0,-1,0.0917,5,1,12,24.7
weights,w_burn,1.0,adaptive,204,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.32102,0.34485,2615,235.35,1254.0,752.0,-1,0.0167,3,1,9,24.5
weights,w_burn,1.0,adaptive,205,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.20889,0.25,2071,186.39,0.0,225.0,-1,0.2071,3,0,8,25.1
weights,w_burn,2.0,adaptive,204,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,3,2.0,1.0,1.0,0.38233,0.39528,2616,235.44,1254.0,752.0,-1,0.0167,3,1,10,23.0
weights,w_burn,2.0,adaptive,205,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,3,2.0,1.0,1.0,0.28211,0.31003,2056,185.04,0.0,343.0,-1,0.225,5,1,8,23.6
weights,w_asset,0.5,adaptive,204,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,0.5,1.0,0.30424,0.3339,2504,225.36,1254.0,743.0,-1,0.0167,4,1,8,24.8
weights,w_asset,0.5,adaptive,205,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,0.5,1.0,0.22423,0.27358,2013,181.17,0.0,223.0,-1,0.2083,3,0,6,22.3
weights,w_asset,1.0,adaptive,204,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.32102,0.34485,2615,235.35,1254.0,752.0,-1,0.0167,3,1,9,25.0
weights,w_asset,1.0,adaptive,205,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.20889,0.25,2071,186.39,0.0,225.0,-1,0.2071,3,0,8,25.2
weights,w_asset,2.0,adaptive,204,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,2.0,1.0,0.33464,0.35181,2615,235.35,1254.0,752.0,-1,0.0167,3,1,9,24.1
weights,w_asset,2.0,adaptive,205,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,2.0,1.0,0.18604,0.21988,2071,186.39,0.0,225.0,-1,0.2071,3,0,8,23.7
weights,w_pop,0.5,adaptive,204,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,0.5,0.37417,0.39418,2504,225.36,1254.0,743.0,-1,0.0167,4,1,8,24.6
weights,w_pop,0.5,adaptive,205,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,0.5,0.25004,0.29256,2071,186.39,0.0,225.0,-1,0.2071,3,0,8,24.3
weights,w_pop,1.0,adaptive,204,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.32102,0.34485,2615,235.35,1254.0,752.0,-1,0.0167,3,1,9,23.4
weights,w_pop,1.0,adaptive,205,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.20889,0.25,2071,186.39,0.0,225.0,-1,0.2071,3,0,8,24.1
weights,w_pop,2.0,adaptive,204,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,2.0,0.24613,0.27135,2615,235.35,1254.0,752.0,-1,0.0167,3,1,9,23.8
weights,w_pop,2.0,adaptive,205,4,0.25,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,2.0,0.15746,0.1939,2071,186.39,0.0,225.0,-1,0.2071,3,0,8,22.8
environment,n_regions,16,adaptive,202,4,0.25,,16,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.11733,0.17257,986,88.74,0.0,23.0,-1,0.0771,3,1,9,15.7
environment,n_regions,16,adaptive,201,4,0.25,,16,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.39693,0.40828,3788,340.92,311.0,1407.0,-1,0.1083,3,0,6,17.3
environment,n_regions,16,adaptive,203,4,0.25,,16,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.19193,0.23001,2258,203.22,97.0,71.0,-1,0.0625,3,0,11,15.5
environment,n_regions,16,adaptive,204,4,0.25,,16,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.30484,0.33681,2379,214.11,2250.0,638.0,-1,0.0521,5,2,9,17.8
environment,n_regions,16,adaptive,205,4,0.25,,16,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.20715,0.25048,2019,181.71,421.0,126.0,-1,0.0979,3,0,7,15.9
tuning,attention_thr,0.05,adaptive,201,4,0.25,,4,0.35,0.6,0.05,12.0,24.0,3,1.0,1.0,1.0,0.41235,0.42105,3807,342.63,2248.0,1376.0,-1,0.325,4,2,10,13.5
tuning,attention_thr,0.05,adaptive,202,4,0.25,,4,0.35,0.6,0.05,12.0,24.0,3,1.0,1.0,1.0,0.09489,0.13608,765,68.85,0.0,7.0,278.0,0.2292,3,0,8,11.4
tuning,attention_thr,0.05,adaptive,203,4,0.25,,4,0.35,0.6,0.05,12.0,24.0,3,1.0,1.0,1.0,0.1978,0.23307,2367,213.03,0.0,75.0,-1,0.025,3,0,7,15.2
tuning,attention_thr,0.05,adaptive,204,4,0.25,,4,0.35,0.6,0.05,12.0,24.0,3,1.0,1.0,1.0,0.32102,0.34485,2615,235.35,1254.0,752.0,-1,0.0167,3,1,9,14.6
tuning,attention_thr,0.05,adaptive,205,4,0.25,,4,0.35,0.6,0.05,12.0,24.0,3,1.0,1.0,1.0,0.20889,0.25,2071,186.39,0.0,225.0,-1,0.2071,3,0,8,14.7
tuning,attention_thr,0.95,adaptive,201,4,0.25,,4,0.35,0.6,0.95,12.0,24.0,3,1.0,1.0,1.0,0.38059,0.39479,3646,328.14,2248.0,1066.0,-1,0.3833,4,3,11,12.3
tuning,attention_thr,0.95,adaptive,202,4,0.25,,4,0.35,0.6,0.95,12.0,24.0,3,1.0,1.0,1.0,0.11417,0.16969,921,82.89,0.0,29.0,-1,0.1667,3,0,8,13.8
tuning,attention_thr,0.95,adaptive,203,4,0.25,,4,0.35,0.6,0.95,12.0,24.0,3,1.0,1.0,1.0,0.1619,0.20492,1817,163.53,0.0,9.0,-1,0.0333,3,1,7,14.9
tuning,attention_thr,0.95,adaptive,204,4,0.25,,4,0.35,0.6,0.95,12.0,24.0,3,1.0,1.0,1.0,0.2659,0.3019,2227,200.43,1254.0,436.0,-1,0.2833,4,1,7,15.1
marginal,j_threshold,0.15,adaptive,201,1,1.0,,4,0.15,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.00128,0.03342,8,0.72,0.0,0.0,54.0,0.25,2,1,7,2.7
tuning,attention_thr,0.95,adaptive,205,4,0.25,,4,0.35,0.6,0.95,12.0,24.0,3,1.0,1.0,1.0,0.19697,0.24817,1788,160.92,0.0,374.0,-1,0.1083,3,0,9,13.9
marginal,j_threshold,0.15,adaptive,202,1,1.0,,4,0.15,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.09276,0.10429,666,59.94,0.0,29.0,304.0,0.463,7,4,10,11.0
marginal,j_threshold,0.15,adaptive,203,1,1.0,,4,0.15,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.08782,0.09869,720,64.8,0.0,0.0,166.0,0.0,3,0,7,7.2
marginal,j_threshold,0.15,adaptive,205,1,1.0,,4,0.15,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.00099,0.0427,6,0.54,0.0,0.0,56.0,0.0,2,0,6,2.4
marginal,j_threshold,0.25,adaptive,201,1,1.0,,4,0.25,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.00128,0.03342,8,0.72,0.0,0.0,54.0,0.25,2,1,7,2.6
marginal,j_threshold,0.15,adaptive,204,1,1.0,,4,0.15,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.13701,0.1369,903,81.27,1254.0,338.0,134.0,0.0833,2,1,9,5.4
marginal,j_threshold,0.25,adaptive,203,1,1.0,,4,0.25,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.08782,0.09869,720,64.8,0.0,0.0,166.0,0.0,3,0,7,7.0
marginal,j_threshold,0.25,adaptive,202,1,1.0,,4,0.25,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.09276,0.10429,666,59.94,0.0,29.0,304.0,0.463,7,4,10,11.0
marginal,j_threshold,0.25,adaptive,204,1,1.0,,4,0.25,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.13701,0.1369,903,81.27,1254.0,338.0,134.0,0.0833,2,1,9,5.5
marginal,j_threshold,0.25,adaptive,205,1,1.0,,4,0.25,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.00099,0.0427,6,0.54,0.0,0.0,56.0,0.0,2,0,6,2.8
marginal,j_threshold,0.35,adaptive,201,1,1.0,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.00128,0.03342,8,0.72,0.0,0.0,54.0,0.25,2,1,7,2.9
marginal,j_threshold,0.35,adaptive,203,1,1.0,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.08782,0.09869,720,64.8,0.0,0.0,166.0,0.0,3,0,7,6.8
marginal,j_threshold,0.35,adaptive,202,1,1.0,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.09276,0.10429,666,59.94,0.0,29.0,304.0,0.463,7,4,10,11.2
marginal,j_threshold,0.35,adaptive,205,1,1.0,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.00099,0.0427,6,0.54,0.0,0.0,56.0,0.0,2,0,6,2.4
marginal,j_threshold,0.35,adaptive,204,1,1.0,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.13701,0.1369,903,81.27,1254.0,338.0,134.0,0.0833,2,1,9,5.3
marginal,j_threshold,0.45,adaptive,201,1,1.0,,4,0.45,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.00128,0.03342,8,0.72,0.0,0.0,54.0,0.25,2,1,7,2.6
marginal,j_threshold,0.45,adaptive,203,1,1.0,,4,0.45,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.08782,0.09869,720,64.8,0.0,0.0,166.0,0.0,3,0,7,7.7
marginal,j_threshold,0.45,adaptive,202,1,1.0,,4,0.45,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.09276,0.10429,666,59.94,0.0,29.0,304.0,0.463,7,4,10,11.8
marginal,j_threshold,0.45,adaptive,205,1,1.0,,4,0.45,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.00099,0.0427,6,0.54,0.0,0.0,56.0,0.0,2,0,6,2.8
marginal,j_threshold,0.45,adaptive,204,1,1.0,,4,0.45,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.13701,0.1369,903,81.27,1254.0,338.0,134.0,0.0833,2,1,9,5.8
marginal,j_threshold,0.6,adaptive,201,1,1.0,,4,0.6,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.00128,0.03342,8,0.72,0.0,0.0,54.0,0.25,2,1,7,2.8
marginal,j_threshold,0.6,adaptive,203,1,1.0,,4,0.6,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.08782,0.09869,720,64.8,0.0,0.0,166.0,0.0,3,0,7,7.1
marginal,j_threshold,0.6,adaptive,202,1,1.0,,4,0.6,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.09276,0.10429,666,59.94,0.0,29.0,304.0,0.463,7,4,10,11.7
marginal,j_threshold,0.6,adaptive,204,1,1.0,,4,0.6,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.13701,0.1369,903,81.27,1254.0,338.0,134.0,0.0833,2,1,9,5.5
marginal,j_threshold,0.6,adaptive,205,1,1.0,,4,0.6,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.00099,0.0427,6,0.54,0.0,0.0,56.0,0.0,2,0,6,2.7
marginal,horizon_min,8.0,adaptive,201,1,1.0,,4,0.35,0.6,0.35,12.0,8.0,3,1.0,1.0,1.0,0.00128,0.03342,8,0.72,0.0,0.0,54.0,0.25,2,1,7,2.5
marginal,horizon_min,8.0,adaptive,203,1,1.0,,4,0.35,0.6,0.35,12.0,8.0,3,1.0,1.0,1.0,0.08782,0.09869,720,64.8,0.0,0.0,166.0,0.0,3,0,7,6.4
marginal,horizon_min,8.0,adaptive,202,1,1.0,,4,0.35,0.6,0.35,12.0,8.0,3,1.0,1.0,1.0,0.09276,0.10429,666,59.94,0.0,29.0,304.0,0.463,7,4,10,9.9
marginal,horizon_min,8.0,adaptive,205,1,1.0,,4,0.35,0.6,0.35,12.0,8.0,3,1.0,1.0,1.0,0.00099,0.0427,6,0.54,0.0,0.0,56.0,0.0,2,0,6,2.3
marginal,horizon_min,8.0,adaptive,204,1,1.0,,4,0.35,0.6,0.35,12.0,8.0,3,1.0,1.0,1.0,0.13701,0.1369,903,81.27,1254.0,338.0,134.0,0.0833,2,1,9,4.5
marginal,horizon_min,16.0,adaptive,201,1,1.0,,4,0.35,0.6,0.35,12.0,16.0,3,1.0,1.0,1.0,0.00128,0.03342,8,0.72,0.0,0.0,54.0,0.25,2,1,7,2.5
marginal,horizon_min,16.0,adaptive,203,1,1.0,,4,0.35,0.6,0.35,12.0,16.0,3,1.0,1.0,1.0,0.08782,0.09869,720,64.8,0.0,0.0,166.0,0.0,3,0,7,7.3
marginal,horizon_min,16.0,adaptive,202,1,1.0,,4,0.35,0.6,0.35,12.0,16.0,3,1.0,1.0,1.0,0.09276,0.10429,666,59.94,0.0,29.0,304.0,0.463,7,4,10,10.6
marginal,horizon_min,16.0,adaptive,205,1,1.0,,4,0.35,0.6,0.35,12.0,16.0,3,1.0,1.0,1.0,0.00099,0.0427,6,0.54,0.0,0.0,56.0,0.0,2,0,6,2.6
marginal,horizon_min,16.0,adaptive,204,1,1.0,,4,0.35,0.6,0.35,12.0,16.0,3,1.0,1.0,1.0,0.13701,0.1369,903,81.27,1254.0,338.0,134.0,0.0833,2,1,9,5.1
marginal,horizon_min,24.0,adaptive,201,1,1.0,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.00128,0.03342,8,0.72,0.0,0.0,54.0,0.25,2,1,7,2.7
marginal,horizon_min,24.0,adaptive,203,1,1.0,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.08782,0.09869,720,64.8,0.0,0.0,166.0,0.0,3,0,7,7.1
marginal,horizon_min,24.0,adaptive,202,1,1.0,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.09276,0.10429,666,59.94,0.0,29.0,304.0,0.463,7,4,10,11.4
marginal,horizon_min,24.0,adaptive,205,1,1.0,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.00099,0.0427,6,0.54,0.0,0.0,56.0,0.0,2,0,6,2.4
marginal,horizon_min,24.0,adaptive,204,1,1.0,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.13701,0.1369,903,81.27,1254.0,338.0,134.0,0.0833,2,1,9,5.5
marginal,horizon_min,32.0,adaptive,201,1,1.0,,4,0.35,0.6,0.35,12.0,32.0,3,1.0,1.0,1.0,0.00128,0.03342,8,0.72,0.0,0.0,54.0,0.25,2,1,7,2.6
marginal,horizon_min,32.0,adaptive,203,1,1.0,,4,0.35,0.6,0.35,12.0,32.0,3,1.0,1.0,1.0,0.08782,0.09869,720,64.8,0.0,0.0,166.0,0.0,3,0,7,7.0
marginal,horizon_min,32.0,adaptive,202,1,1.0,,4,0.35,0.6,0.35,12.0,32.0,3,1.0,1.0,1.0,0.09276,0.10429,666,59.94,0.0,29.0,304.0,0.463,7,4,10,11.3
marginal,horizon_min,32.0,adaptive,205,1,1.0,,4,0.35,0.6,0.35,12.0,32.0,3,1.0,1.0,1.0,0.00099,0.0427,6,0.54,0.0,0.0,56.0,0.0,2,0,6,2.5
marginal,horizon_min,32.0,adaptive,204,1,1.0,,4,0.35,0.6,0.35,12.0,32.0,3,1.0,1.0,1.0,0.13701,0.1369,903,81.27,1254.0,338.0,134.0,0.0833,2,1,9,5.4
marginal,horizon_min,48.0,adaptive,201,1,1.0,,4,0.35,0.6,0.35,12.0,48.0,3,1.0,1.0,1.0,0.00128,0.03342,8,0.72,0.0,0.0,54.0,0.25,2,1,7,2.7
marginal,horizon_min,48.0,adaptive,203,1,1.0,,4,0.35,0.6,0.35,12.0,48.0,3,1.0,1.0,1.0,0.08782,0.09869,720,64.8,0.0,0.0,166.0,0.0,3,0,7,6.6
marginal,horizon_min,48.0,adaptive,202,1,1.0,,4,0.35,0.6,0.35,12.0,48.0,3,1.0,1.0,1.0,0.09276,0.10429,666,59.94,0.0,29.0,304.0,0.463,7,4,10,9.8
marginal,horizon_min,48.0,adaptive,205,1,1.0,,4,0.35,0.6,0.35,12.0,48.0,3,1.0,1.0,1.0,0.00099,0.0427,6,0.54,0.0,0.0,56.0,0.0,2,0,6,2.4
marginal,horizon_min,48.0,adaptive,204,1,1.0,,4,0.35,0.6,0.35,12.0,48.0,3,1.0,1.0,1.0,0.13208,0.13492,840,75.6,1254.0,371.0,96.0,0.175,3,1,7,4.3
marginal,cycle_min,2.0,adaptive,201,1,1.0,,4,0.35,0.6,0.35,2.0,24.0,3,1.0,1.0,1.0,0.0008,0.03765,5,0.45,0.0,0.0,50.0,0.48,2,0,6,4.7
marginal,cycle_min,2.0,adaptive,202,1,1.0,,4,0.35,0.6,0.35,2.0,24.0,3,1.0,1.0,1.0,0.05858,0.06498,424,38.16,0.0,0.0,66.0,0.4697,3,2,7,8.4
marginal,cycle_min,2.0,adaptive,203,1,1.0,,4,0.35,0.6,0.35,2.0,24.0,3,1.0,1.0,1.0,0.01502,0.04918,95,8.55,0.0,0.0,74.0,0.0,3,0,6,7.9
marginal,cycle_min,2.0,adaptive,204,1,1.0,,4,0.35,0.6,0.35,2.0,24.0,3,1.0,1.0,1.0,0.11008,0.10747,734,66.06,227.0,355.0,74.0,0.1892,3,1,7,8.9
marginal,cycle_min,2.0,adaptive,205,1,1.0,,4,0.35,0.6,0.35,2.0,24.0,3,1.0,1.0,1.0,0.00115,0.0424,7,0.63,0.0,0.0,76.0,0.0789,3,0,6,6.1
marginal,cycle_min,4.0,adaptive,201,1,1.0,,4,0.35,0.6,0.35,4.0,24.0,3,1.0,1.0,1.0,0.00096,0.03728,6,0.54,0.0,0.0,50.0,0.4615,2,0,6,3.5
marginal,cycle_min,4.0,adaptive,202,1,1.0,,4,0.35,0.6,0.35,4.0,24.0,3,1.0,1.0,1.0,0.05477,0.07153,391,35.19,0.0,0.0,76.0,0.4643,3,1,7,6.7
marginal,cycle_min,4.0,adaptive,203,1,1.0,,4,0.35,0.6,0.35,4.0,24.0,3,1.0,1.0,1.0,0.01919,0.05112,123,11.07,0.0,0.0,50.0,0.0,2,0,6,4.2
marginal,cycle_min,4.0,adaptive,204,1,1.0,,4,0.35,0.6,0.35,4.0,24.0,3,1.0,1.0,1.0,0.10887,0.10819,735,66.15,447.0,282.0,78.0,0.175,3,2,8,6.1
marginal,cycle_min,4.0,adaptive,205,1,1.0,,4,0.35,0.6,0.35,4.0,24.0,3,1.0,1.0,1.0,0.00115,0.0424,7,0.63,0.0,0.0,80.0,0.075,3,0,6,4.7
marginal,cycle_min,8.0,adaptive,201,1,1.0,,4,0.35,0.6,0.35,8.0,24.0,3,1.0,1.0,1.0,0.00224,0.0292,14,1.26,0.0,0.0,116.0,0.15,3,2,8,5.6
marginal,cycle_min,8.0,adaptive,202,1,1.0,,4,0.35,0.6,0.35,8.0,24.0,3,1.0,1.0,1.0,0.06962,0.07809,525,47.25,0.0,0.0,222.0,0.431,6,2,8,10.6
marginal,cycle_min,8.0,adaptive,203,1,1.0,,4,0.35,0.6,0.35,8.0,24.0,3,1.0,1.0,1.0,0.06364,0.07725,475,42.75,0.0,0.0,108.0,0.0357,3,0,6,6.0
marginal,cycle_min,8.0,adaptive,204,1,1.0,,4,0.35,0.6,0.35,8.0,24.0,3,1.0,1.0,1.0,0.1321,0.13064,828,74.52,865.0,372.0,108.0,0.15,3,1,7,5.6
marginal,cycle_min,8.0,adaptive,205,1,1.0,,4,0.35,0.6,0.35,8.0,24.0,3,1.0,1.0,1.0,0.00099,0.04271,6,0.54,0.0,0.0,56.0,0.0,2,0,6,2.8
marginal,cycle_min,12.0,adaptive,201,1,1.0,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.00128,0.03342,8,0.72,0.0,0.0,54.0,0.25,2,1,7,2.7
marginal,cycle_min,12.0,adaptive,202,1,1.0,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.09276,0.10429,666,59.94,0.0,29.0,304.0,0.463,7,4,10,10.7
marginal,cycle_min,12.0,adaptive,203,1,1.0,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.08782,0.09869,720,64.8,0.0,0.0,166.0,0.0,3,0,7,6.7
marginal,cycle_min,12.0,adaptive,204,1,1.0,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.13701,0.1369,903,81.27,1254.0,338.0,134.0,0.0833,2,1,9,5.2
marginal,cycle_min,12.0,adaptive,205,1,1.0,,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.00099,0.0427,6,0.54,0.0,0.0,56.0,0.0,2,0,6,2.3
marginal,cycle_min,20.0,adaptive,201,1,1.0,,4,0.35,0.6,0.35,20.0,24.0,3,1.0,1.0,1.0,0.19066,0.20981,1580,142.2,5698.0,55.0,-1,0.1111,6,3,9,9.1
marginal,cycle_min,20.0,adaptive,202,1,1.0,,4,0.35,0.6,0.35,20.0,24.0,3,1.0,1.0,1.0,0.12131,0.13373,832,74.88,0.0,60.0,-1,0.4737,3,1,7,7.7
marginal,cycle_min,20.0,adaptive,203,1,1.0,,4,0.35,0.6,0.35,20.0,24.0,3,1.0,1.0,1.0,0.11957,0.13659,1126,101.34,0.0,0.0,-1,0.0278,3,0,7,9.1
marginal,cycle_min,20.0,adaptive,204,1,1.0,,4,0.35,0.6,0.35,20.0,24.0,3,1.0,1.0,1.0,0.18292,0.17711,1113,100.17,1958.0,531.0,260.0,0.0962,3,1,9,6.6
marginal,cycle_min,20.0,adaptive,205,1,1.0,,4,0.35,0.6,0.35,20.0,24.0,3,1.0,1.0,1.0,0.00131,0.0427,8,0.72,0.0,0.0,82.0,0.2,2,0,6,2.5
