scenario,arm,seed,profile,burned_ha,forest_ha,pop_affected,evacuated,out_min,success,t2h_j_burn,t2h_j_asset,t2h_j_pop,t2h_j_resp,t2h_j_delay,t2h_j_total,t2h_j_phys,t6h_j_burn,t6h_j_asset,t6h_j_pop,t6h_j_resp,t6h_j_delay,t6h_j_total,t6h_j_phys,end_j_burn,end_j_asset,end_j_pop,end_j_resp,end_j_delay,end_j_total,end_j_phys,rules_final,coverage,fs_frac,adapt_share,tried_1,tried_2,tried_3,acc_1,acc_2,acc_3,dj_1,dj_2,dj_3,genai_source,wall_s
S1,Test0,109,minimal,228.24,96.57,3686349.0,0.0,-1,0,0.26526,0.29145,0.01,0.0,0.0,0.16668,0.1889,0.62944,0.82744,0.12137,0.0,0.0,0.46419,0.52608,0.62944,0.82744,0.12137,0.0,0.0,0.46419,0.52608,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,6.1
S3,F5,108,minimal,10.98,0.63,0.0,0.0,-1,0,0.08177,0.0,0.0,0.01902,0.27436,0.04131,0.02726,0.08302,0.0,0.0,0.03237,0.41071,0.05048,0.02767,0.08302,0.0,0.0,0.03237,0.41071,0.05048,0.02767,5,0.0,0.371,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,35.8
S4,F5Ev,107,minimal,68.13,2.88,1078993.0,0.0,-1,0,0.18119,0.07365,0.00108,0.06645,0.22142,0.09221,0.08531,0.34574,0.18239,0.00221,0.20542,0.14971,0.17687,0.17678,0.34574,0.18239,0.00221,0.20542,0.14971,0.17687,0.17678,9,0.435,0.008,0.6823,9,5,0,9,4,0,-0.1126,-0.1511,0.0,,62.1
S2,F5,108,minimal,258.84,119.7,2572302.0,0.0,-1,0,0.54194,0.31762,0.00339,0.25968,0.13548,0.27705,0.28765,0.65327,0.69312,0.06628,0.85894,0.11896,0.47301,0.47089,0.65327,0.69312,0.06628,0.85894,0.11896,0.47301,0.47089,5,0.333,0.242,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,45.8
S2,Test0,109,minimal,264.42,112.14,4444444.0,0.0,-1,0,0.51573,0.35507,0.01173,0.0,0.0,0.25957,0.29418,0.66306,1.0,0.19697,0.0,0.0,0.54707,0.62001,0.66306,1.0,0.19697,0.0,0.0,0.54707,0.62001,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,6.9
S3,Test0,109,minimal,84.51,18.54,3449644.0,0.0,-1,0,0.36102,0.26121,0.02615,0.0,0.0,0.1907,0.21613,0.40145,0.36629,0.07988,0.0,0.0,0.2493,0.28254,0.40145,0.36629,0.07988,0.0,0.0,0.2493,0.28254,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,5.0
S4,F5Ev,108,minimal,17.91,1.35,228209.0,0.0,186.0,1,0.12358,0.04214,0.00041,0.03804,0.22335,0.06424,0.05537,,,,,,,,0.12868,0.04214,0.00041,0.04407,0.14713,0.06161,0.05707,8,0.25,0.0,0.6167,5,3,0,5,3,0,-0.0673,-0.1341,0.0,,30.5
S4,F5,108,minimal,23.31,1.17,268481.0,0.0,-1,0,0.1387,0.04124,0.0006,0.05729,0.24027,0.0706,0.06018,0.16122,0.05469,0.00121,0.15123,0.30676,0.0908,0.07237,0.16122,0.05469,0.00121,0.15123,0.30676,0.0908,0.07237,5,0.0,0.282,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,40.2
S4,Test0,109,minimal,172.71,25.38,6923582.0,0.0,-1,0,0.54707,0.47636,0.04134,0.0,0.0,0.31317,0.35492,0.57819,0.69647,0.14697,0.0,0.0,0.41813,0.47388,0.57819,0.69647,0.14697,0.0,0.0,0.41813,0.47388,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,5.3
S4,F5EvAI,108,minimal,17.73,1.26,241633.0,0.0,194.0,1,0.12358,0.04423,0.00042,0.04436,0.17567,0.06242,0.05607,,,,,,,,0.12755,0.04423,0.00042,0.05805,0.24505,0.06848,0.0574,10,0.0,0.206,0.5395,0,6,5,0,3,2,0.0,0.001,-0.0374,template,32.1
S1,F5Ev,109,minimal,5.4,2.52,0.0,0.0,116.0,1,,,,,,,,,,,,,,,0.03863,0.0,0.0,0.02374,0.51862,0.04327,0.01288,7,0.3,0.0,0.5036,3,2,0,3,2,0,-0.0296,0.0349,0.0,,22.0
S1,F5EvAI,109,minimal,5.4,2.52,0.0,0.0,116.0,1,,,,,,,,,,,,,,,0.03863,0.0,0.0,0.02072,0.49054,0.04144,0.01288,7,0.15,0.15,0.3752,0,2,3,0,2,0,0.0,-0.0173,0.0,template,25.2
S3,F5,109,minimal,40.14,0.81,932499.0,0.0,204.0,1,0.23996,0.14896,0.00189,0.04501,0.3179,0.13629,0.13027,,,,,,,,0.2416,0.14896,0.00189,0.04861,0.19917,0.13,0.13082,5,0.059,0.603,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,21.1
S5,Test0,109,minimal,172.71,25.38,6923582.0,0.0,-1,0,0.54707,0.47636,0.04134,0.0,0.0,0.31317,0.35492,0.57819,0.69647,0.14697,0.0,0.0,0.41813,0.47388,0.57819,0.69647,0.14697,0.0,0.0,0.41813,0.47388,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,5.4
S5,F5,108,minimal,23.4,1.35,295329.0,0.0,-1,0,0.14796,0.0517,0.00058,0.05346,0.25133,0.07682,0.06675,0.16174,0.05768,0.00066,0.10138,0.31214,0.08905,0.07336,0.16174,0.05768,0.00066,0.10138,0.31214,0.08905,0.07336,5,0.0,0.243,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,37.2
