step;j_candidate;j_noaction;satisficing_bound;phys_candidate;phys_noaction
0;0.253536;0.253536;0.248466;0.287341;0.287341
0;0.253536;0.253536;0.248466;0.287341;0.287341
1;0.254688;0.254688;0.249594;0.288646;0.288646
2;0.257422;0.257422;0.250000;0.291745;0.291745
3;0.179425;0.296615;0.250000;0.187442;0.336163
4;0.173130;0.294917;0.250000;0.180142;0.334111
5;0.054106;0.295124;0.250000;0.046246;0.334200
6;0.051806;0.258246;0.250000;0.043088;0.292141
7;0.051441;0.110228;0.108023;0.042287;0.124103
8;0.054829;0.110487;0.108277;0.046246;0.124103
9;0.056441;0.117524;0.115174;0.047799;0.131809
10;0.058040;0.168582;0.165210;0.044675;0.189473
10;0.058066;0.168582;0.165210;0.044675;0.189473
11;0.054490;0.259648;0.250000;0.044675;0.292450
12;0.054772;0.138225;0.135460;0.074968;0.157075
12;0.081521;0.140505;0.137695;0.074968;0.157075
13;0.081793;0.121354;0.118927;0.074968;0.158890
13;0.081805;0.142365;0.139517;0.074968;0.158890
14;0.082345;0.146046;0.143125;0.075665;0.162769
15;0.064742;0.167476;0.164126;0.056709;0.186792
16;0.066995;0.211898;0.207660;0.058923;0.236823
17;0.070481;0.189920;0.186121;0.062538;0.211570
18;0.064005;0.204866;0.200769;0.054459;0.228183
19;0.064303;0.264902;0.250000;0.054459;0.295915
20;0.064611;0.168004;0.164643;0.054459;0.185720
21;0.064940;0.138344;0.135577;0.054459;0.151758
22;0.065238;0.268713;0.250000;0.054459;0.299234
23;0.065536;0.152613;0.149561;0.054459;0.167268
24;0.065847;0.136143;0.133420;0.054459;0.148260
25;0.066146;0.146638;0.143705;0.054459;0.159824
26;0.066455;0.217742;0.213387;0.054459;0.240107
27;0.066754;0.137722;0.134968;0.054459;0.149048
28;0.067053;0.207555;0.203404;0.054459;0.227889
29;0.067360;0.241725;0.236890;0.054459;0.266296
30;0.067659;0.133627;0.130954;0.054459;0.143402
31;0.067957;0.203326;0.199260;0.054459;0.222092
32;0.068272;0.211582;0.207350;0.054459;0.231117
33;0.068571;0.135935;0.133217;0.054459;0.145016
34;0.068861;0.137316;0.134570;0.054459;0.146247
35;0.069175;0.266431;0.250000;0.054459;0.292303
36;0.069473;0.141780;0.138944;0.054459;0.150640
37;0.069782;0.141382;0.138554;0.054459;0.149855
38;0.070080;0.136310;0.133584;0.054459;0.143770
39;0.070387;0.223471;0.219002;0.054459;0.242258
40;0.070686;0.138724;0.135949;0.054459;0.145838
41;0.070992;0.138293;0.135527;0.054459;0.145016
42;0.071291;0.138588;0.135816;0.054459;0.145016
43;0.071605;0.275578;0.250000;0.054459;0.300000
44;0.071903;0.139177;0.136394;0.054459;0.145016
45;0.072202;0.139472;0.136682;0.054459;0.145016
46;0.072515;0.139766;0.136971;0.054459;0.145016
47;0.072814;0.140061;0.137260;0.054459;0.145016
48;0.073127;0.141778;0.138943;0.054459;0.146629
49;0.073425;0.152345;0.149298;0.054459;0.158275
50;0.073720;0.189941;0.186142;0.054459;0.200567
51;0.074014;0.143385;0.140517;0.054459;0.147448
52;0.074309;0.170413;0.167004;0.054459;0.177757
53;0.074613;0.253557;0.248486;0.054459;0.271691
54;0.074908;0.143909;0.141030;0.054459;0.147039
55;0.075203;0.155715;0.152601;0.054459;0.160091
55;0.075203;0.155715;0.152601;0.054459;0.160091
56;0.075487;0.130275;0.127669;0.054459;0.130913
57;0.075793;0.130570;0.127958;;
495;0.406315;0.404428;0.250000;0.433156;0.441410
496;0.406633;0.397516;0.250000;0.433166;0.433239
497;0.406997;0.397804;0.250000;0.433168;0.433231
498;0.407509;0.398092;0.250000;0.433170;0.433224
499;0.407872;0.398382;0.250000;0.433171;0.433219
