step;j_candidate;j_noaction;satisficing_bound;phys_candidate;phys_noaction
0;0.137457;0.137457;0.130584;0.200854;0.200854
1;0.141309;0.141309;0.134244;0.200854;0.200854
2;0.145452;0.145452;0.138179;0.200854;0.200854
3;0.164841;0.148698;0.141263;0.201680;0.205816
4;0.162994;0.153373;0.145704;0.198656;0.207639
5;0.151502;0.155953;0.148155;0.086529;0.089382
5;0.151502;0.155953;0.148155;0.086529;0.089382
6;0.136942;0.155014;0.147263;0.173337;0.208972
7;0.123828;0.155341;0.147574;0.173337;0.208972
8;0.111917;0.156916;0.149071;0.139195;0.209700
9;0.113565;0.157880;0.149986;0.140965;0.209989
10;0.099403;0.157437;0.149565;0.140965;0.209989
11;0.078556;0.153648;0.145966;0.140965;0.209989
12;0.080375;0.150766;0.143227;0.140965;0.209989
13;0.082774;0.150053;0.142551;0.140965;0.209989
14;0.069723;0.143105;0.135950;0.140965;0.209989
15;0.067318;0.143304;0.136139;0.067907;0.197791
16;0.066323;0.131668;0.125084;0.052361;0.189477
17;0.065864;0.122040;0.115938;0.052361;0.189477
18;0.066057;0.110422;0.104901;0.052361;0.189477
19;0.065734;0.104887;0.099642;0.052361;0.189477
20;0.065946;0.102296;0.097182;0.052361;0.189477
21;0.066176;0.101283;0.096219;0.052361;0.189477
22;0.067606;0.096860;0.092017;0.053107;0.083017
22;0.067606;0.096860;0.092017;0.053107;0.083017
23;0.068823;0.133717;0.127031;0.052361;0.137756
24;0.069243;0.085890;0.081596;0.052361;0.137756
25;0.069592;0.091269;0.086706;0.053107;0.161343
26;0.069739;0.065129;0.061873;0.053107;0.161343
27;0.069909;0.063005;0.059854;0.053107;0.089382
28;0.069974;0.060224;0.057213;0.053107;0.073783
29;0.070176;0.063471;0.060297;0.053107;0.083017
30;0.070594;0.087234;0.082873;0.053107;0.083017
31;0.070962;0.059656;0.056673;0.053107;0.083017
32;0.071294;0.109275;0.103812;0.053107;0.083017
33;0.074838;0.060068;0.057064;0.061760;0.061760
33;0.071511;0.060068;0.057064;0.061760;0.061760
34;0.084872;0.060272;0.057259;0.102205;0.061760
35;0.079534;0.060272;0.057259;0.102205;0.061760
36;0.079603;0.060272;0.057259;0.102205;0.061760
37;0.079850;0.060272;0.057259;0.061760;0.061760
38;0.079953;0.060495;0.057470;0.061760;0.061760
38;0.079953;0.060495;0.057470;0.061760;0.061760
39;0.080076;0.060720;0.057684;0.061760;0.061760
40;0.080218;0.060947;0.057899;0.061760;0.061760
41;0.080378;0.061176;0.058117;0.061760;0.061760
42;0.080554;0.061406;0.058335;0.061760;0.061760
43;0.080743;0.061636;0.058555;0.061760;0.061760
43;0.080834;0.061636;0.058555;0.061760;0.061760
44;0.081019;0.061866;0.058773;0.061760;0.061760
45;0.081216;0.062097;0.058992;0.061760;0.061760
46;0.081423;0.062328;0.059212;0.061760;0.061760
47;0.081639;0.062560;0.059432;0.061760;0.061760
48;0.082218;0.062792;0.059652;0.061760;0.061760
49;0.082566;0.062993;0.059844;0.061760;0.061760
