step;t_min;hotspot;attended;shares;statement
0;0.0;Agent_4;Agent_1|Agent_3|Agent_4|Agent_6|Agent_7|Agent_8|Agent_9|Agent_10|Agent_11|Agent_12;Agent_1=1.0|Agent_2=0.675|Agent_3=1.0|Agent_4=1.0|Agent_5=0.638|Agent_6=1.0|Agent_7=1.0|Agent_8=1.0|Agent_9=1.0|Agent_10=1.0|Agent_11=1.0|Agent_12=1.0;Global DSS: focus on Agent_4 (priority 0.66), Agent_4 share 1.00, Agent_1 share 1.00, Agent_12 share 1.00, Agent_9 share 1.00, Agent_11 share 1.00, Agent_8 share 1.00, Agent_6 share 1.00, Agent_10 share 1.00, Agent_3 share 1.00, Agent_7 share 1.00, Agent_2 share 0.67 (monitor), Agent_5 share 0.64 (monitor)
1;1.0;Agent_4;Agent_1|Agent_2|Agent_3|Agent_4|Agent_6|Agent_7|Agent_8|Agent_9|Agent_10|Agent_11|Agent_12;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0|Agent_4=1.0|Agent_5=0.632|Agent_6=1.0|Agent_7=1.0|Agent_8=1.0|Agent_9=1.0|Agent_10=1.0|Agent_11=1.0|Agent_12=1.0;Global DSS: focus on Agent_4 (priority 0.66), Agent_4 share 1.00, Agent_1 share 1.00, Agent_8 share 1.00, Agent_12 share 1.00, Agent_9 share 1.00, Agent_3 share 1.00, Agent_11 share 1.00, Agent_6 share 1.00, Agent_10 share 1.00, Agent_2 share 1.00, Agent_7 share 1.00, Agent_5 share 0.63 (monitor)
2;2.0;Agent_4;Agent_1|Agent_2|Agent_3|Agent_4|Agent_6|Agent_7|Agent_8|Agent_9|Agent_10|Agent_11|Agent_12;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0|Agent_4=1.0|Agent_5=0.632|Agent_6=1.0|Agent_7=1.0|Agent_8=1.0|Agent_9=1.0|Agent_10=1.0|Agent_11=1.0|Agent_12=1.0;Global DSS: focus on Agent_4 (priority 0.71), Agent_4 share 1.00, Agent_3 share 1.00, Agent_1 share 1.00, Agent_8 share 1.00, Agent_2 share 1.00, Agent_9 share 1.00, Agent_11 share 1.00, Agent_12 share 1.00, Agent_7 share 1.00, Agent_6 share 1.00, Agent_10 share 1.00, Agent_5 share 0.63 (monitor)
3;3.0;Agent_4;Agent_1|Agent_2|Agent_3|Agent_4|Agent_6|Agent_7|Agent_8|Agent_9|Agent_11|Agent_12;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0|Agent_4=1.0|Agent_5=0.635|Agent_6=1.0|Agent_7=1.0|Agent_8=1.0|Agent_9=1.0|Agent_10=0.67|Agent_11=1.0|Agent_12=1.0;Global DSS: focus on Agent_4 (priority 0.72), Agent_4 share 1.00, Agent_3 share 1.00, Agent_1 share 1.00, Agent_8 share 1.00, Agent_7 share 1.00, Agent_2 share 1.00, Agent_9 share 1.00, Agent_11 share 1.00, Agent_12 share 1.00, Agent_6 share 1.00, Agent_10 share 0.67 (monitor), Agent_5 share 0.64 (monitor)
4;4.0;Agent_4;Agent_1|Agent_2|Agent_3|Agent_4|Agent_6|Agent_7|Agent_8|Agent_9|Agent_11|Agent_12;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0|Agent_4=1.0|Agent_5=0.638|Agent_6=1.0|Agent_7=1.0|Agent_8=1.0|Agent_9=1.0|Agent_10=0.666|Agent_11=1.0|Agent_12=1.0;Global DSS: focus on Agent_4 (priority 0.73), Agent_4 share 1.00, Agent_3 share 1.00, Agent_1 share 1.00, Agent_7 share 1.00, Agent_8 share 1.00, Agent_9 share 1.00, Agent_2 share 1.00, Agent_11 share 1.00, Agent_6 share 1.00, Agent_12 share 1.00, Agent_10 share 0.67 (monitor), Agent_5 share 0.64 (monitor)
5;5.0;Agent_4;Agent_1|Agent_2|Agent_3|Agent_4|Agent_6|Agent_7|Agent_8|Agent_9|Agent_11|Agent_12;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0|Agent_4=1.0|Agent_5=0.641|Agent_6=1.0|Agent_7=1.0|Agent_8=1.0|Agent_9=1.0|Agent_10=0.663|Agent_11=1.0|Agent_12=1.0;Global DSS: focus on Agent_4 (priority 0.73), Agent_4 share 1.00, Agent_3 share 1.00, Agent_1 share 1.00, Agent_7 share 1.00, Agent_8 share 1.00, Agent_9 share 1.00, Agent_11 share 1.00, Agent_2 share 1.00, Agent_6 share 1.00, Agent_12 share 1.00, Agent_10 share 0.66 (monitor), Agent_5 share 0.64 (monitor)
6;6.0;Agent_4;Agent_1|Agent_2|Agent_3|Agent_4|Agent_6|Agent_7|Agent_8|Agent_9|Agent_11|Agent_12;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0|Agent_4=1.0|Agent_5=0.642|Agent_6=1.0|Agent_7=1.0|Agent_8=1.0|Agent_9=1.0|Agent_10=0.661|Agent_11=1.0|Agent_12=1.0;Global DSS: focus on Agent_4 (priority 0.73), Agent_4 share 1.00, Agent_3 share 1.00, Agent_1 share 1.00, Agent_7 share 1.00, Agent_8 share 1.00, Agent_9 share 1.00, Agent_11 share 1.00, Agent_2 share 1.00, Agent_6 share 1.00, Agent_12 share 1.00, Agent_10 share 0.66 (monitor), Agent_5 share 0.64 (monitor)
7;7.0;Agent_4;Agent_1|Agent_2|Agent_3|Agent_4|Agent_6|Agent_7|Agent_8|Agent_9|Agent_11|Agent_12;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0|Agent_4=1.0|Agent_5=0.643|Agent_6=1.0|Agent_7=1.0|Agent_8=1.0|Agent_9=1.0|Agent_10=0.659|Agent_11=1.0|Agent_12=1.0;Global DSS: focus on Agent_4 (priority 0.73), Agent_4 share 1.00, Agent_3 share 1.00, Agent_1 share 1.00, Agent_7 share 1.00, Agent_8 share 1.00, Agent_9 share 1.00, Agent_11 share 1.00, Agent_2 share 1.00, Agent_6 share 1.00, Agent_12 share 1.00, Agent_10 share 0.66 (monitor), Agent_5 share 0.64 (monitor)
8;8.0;Agent_4;Agent_1|Agent_2|Agent_3|Agent_4|Agent_6|Agent_7|Agent_8|Agent_9|Agent_11|Agent_12;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0|Agent_4=1.0|Agent_5=0.644|Agent_6=1.0|Agent_7=1.0|Agent_8=1.0|Agent_9=1.0|Agent_10=0.657|Agent_11=1.0|Agent_12=1.0;Global DSS: focus on Agent_4 (priority 0.73), Agent_4 share 1.00, Agent_3 share 1.00, Agent_1 share 1.00, Agent_7 share 1.00, Agent_8 share 1.00, Agent_9 share 1.00, Agent_11 share 1.00, Agent_2 share 1.00, Agent_6 share 1.00, Agent_12 share 1.00, Agent_10 share 0.66 (monitor), Agent_5 share 0.64 (monitor)
8;8.0;Agent_4;Agent_1|Agent_2|Agent_3|Agent_4|Agent_6|Agent_7|Agent_8|Agent_9|Agent_11|Agent_12;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0|Agent_4=1.0|Agent_5=0.644|Agent_6=1.0|Agent_7=1.0|Agent_8=1.0|Agent_9=1.0|Agent_10=0.657|Agent_11=1.0|Agent_12=1.0;Global DSS: focus on Agent_4 (priority 0.73), Agent_4 share 1.00, Agent_3 share 1.00, Agent_1 share 1.00, Agent_7 share 1.00, Agent_8 share 1.00, Agent_9 share 1.00, Agent_11 share 1.00, Agent_2 share 1.00, Agent_6 share 1.00, Agent_12 share 1.00, Agent_10 share 0.66 (monitor), Agent_5 share 0.64 (monitor)
