step,t_min,burning,burned,j_total,j_physical,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,14,14,0.01245,0.01412,0.04235,0.00000,0.00000,0.00000,8.27,0.00,0.067,0,0.0
2,2.0,21,21,0.01829,0.02073,0.06220,0.00000,0.00000,0.00000,8.27,0.00,0.067,0,0.0
3,3.0,29,29,0.02467,0.02797,0.08391,0.00000,0.00000,0.00000,8.27,0.00,0.067,0,0.0
4,4.0,36,36,0.04197,0.03403,0.10210,0.00000,0.00000,0.01012,8.27,0.00,0.070,278,230.0
5,5.0,39,41,0.04620,0.03822,0.11465,0.00000,0.00000,0.02165,8.27,0.00,0.070,309,260.0
6,6.0,40,43,0.04844,0.03986,0.11958,0.00000,0.00000,0.03461,8.27,0.00,0.071,341,291.9
7,7.0,41,44,0.05002,0.04067,0.12202,0.00000,0.00000,0.04899,8.27,0.00,0.071,364,321.2
8,8.0,41,44,0.05092,0.04067,0.12202,0.00000,0.00000,0.06441,8.27,0.00,0.072,383,342.7
9,9.0,41,44,0.05189,0.04067,0.12202,0.00000,0.00000,0.07918,8.27,0.00,0.073,376,327.6
10,10.0,41,44,0.05278,0.04067,0.12202,0.00000,0.00000,0.09407,8.27,0.00,0.073,385,330.0
