quantity;value
cycles;42
satisficing_failed;42
tried;9
accepted;3
rejected;6
withheld;0
persist_failed;0
dJ_accepted;-0.017373
stage1_tried;5
stage1_accepted;3
stage2_tried;1
stage2_accepted;0
stage3_tried;3
stage3_accepted;0
blocked: cooldown between adaptation trials;33
gate: rejected at G3 (no improvement);2
gate: rejected at G5 (package margin);1
rejected: rejected at G3 (claude);2
"rejected: cell already covered — an active rule sits on this antecedent cell and the situation is crisp; numeric tuning is stage ① evFIS's job";1
rejected: rejected at G5 package margin (claude);1
rejected: no improving perturbation found;2
