quantity;value
cycles;51
satisficing_failed;42
tried;10
accepted;1
rejected;9
withheld;0
persist_failed;0
dJ_accepted;-0.000514
stage1_tried;4
stage1_accepted;0
stage2_tried;3
stage2_accepted;0
stage3_tried;3
stage3_accepted;1
blocked: cooldown between adaptation trials;32
gate: rejected at G3 (no improvement);1
gate: admitted (package, G5 margin cleared);1
gate: rejected at G5 (package margin);1
rejected: rejected at G3 (claude);1
"rejected: cell already covered — an active rule sits on this antecedent cell and the situation is crisp; numeric tuning is stage ① evFIS's job";3
rejected: rejected at G5 package margin (claude);1
rejected: no improving perturbation found;4
