step,t_min,burning,burned,j_total,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,21,21,0.01208,0.01196,0.00000,0.00000,0.00020,7.87,0.48,0.176,1422,1090.7
2,2.0,23,23,0.01325,0.01309,0.00000,0.00000,0.00043,7.87,0.48,0.177,2355,1232.3
3,3.0,27,27,0.01408,0.01535,0.00000,0.00000,0.00066,7.87,0.48,0.178,2373,1232.8
4,4.0,27,27,0.01399,0.01535,0.00000,0.00000,0.00089,7.87,0.48,0.180,2393,1279.9
5,5.0,32,32,0.01488,0.01817,0.00000,0.00000,0.00113,7.87,0.48,0.181,2393,1279.6
6,6.0,35,35,0.01535,0.01985,0.00000,0.00000,0.00137,7.87,0.48,0.182,2422,1288.5
7,7.0,39,39,0.01599,0.02210,0.00000,0.00000,0.00161,7.87,0.48,0.183,2441,1294.5
8,8.0,46,46,0.01713,0.02601,0.00000,0.00000,0.00184,7.87,0.48,0.184,2453,1299.2
9,9.0,50,50,0.01783,0.02824,0.00000,0.00000,0.00209,7.87,0.48,0.186,2484,1309.2
10,10.0,55,55,0.01866,0.03102,0.00000,0.00000,0.00233,7.87,0.48,0.187,2496,1313.9
11,11.0,59,59,0.01936,0.03324,0.00000,0.00000,0.00257,7.87,0.48,0.188,2517,1321.0
12,12.0,59,59,0.01940,0.03324,0.00000,0.00000,0.00281,7.87,0.48,0.189,2537,1327.4
13,13.0,63,63,0.02005,0.03545,0.00000,0.00000,0.00306,7.87,0.48,0.190,2537,1327.6
14,14.0,65,65,0.02042,0.03656,0.00000,0.00000,0.00330,7.87,0.48,0.191,2549,1332.0
15,15.0,66,68,0.02094,0.03821,0.00000,0.00000,0.00355,7.87,0.48,0.192,2559,1335.1
16,16.0,68,71,0.02145,0.03986,0.00000,0.00000,0.00379,7.87,0.48,0.193,2560,1335.2
17,17.0,69,75,0.02213,0.04206,0.00000,0.00000,0.00404,7.87,0.48,0.194,2579,1341.6
18,18.0,69,77,0.02248,0.04316,0.00000,0.00000,0.00428,7.87,0.48,0.195,2556,1334.4
19,19.0,71,81,0.02316,0.04535,0.00000,0.00000,0.00453,7.87,0.48,0.196,2571,1338.0
