step;t_min;region;story;stage_tried;stage_accepted;fired_rules;suppression;deployment;containment;protection;evacuation;warning;quality;gate_min;J_forecast;J_noaction;attended
238;238;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.20] R26[0.17] G1[0.06] G2[0.20] G3[0.06];0.78;0.67;0.77;0.62;0.55;0.00;0.72;0.02;0.2846;0.2751;1
239;239;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.28] R26[0.16] G1[0.03] G2[0.28] G3[0.03];0.78;0.68;0.77;0.81;0.69;0.00;0.72;0.02;0.2849;0.2753;1
239;239;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R11[0.23] R15[0.16] R20[0.18] R26[0.16] G1[0.05];0.47;0.58;0.54;0.70;0.62;0.35;0.65;0.02;0.2849;0.2753;1
239;239;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.18] R26[0.16] G1[0.05] G2[0.18] G3[0.05];0.77;0.66;0.76;0.61;0.55;0.00;0.71;0.02;0.2849;0.2753;1
240;240;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.26] R26[0.15] G1[0.03] G2[0.26] G3[0.03];0.77;0.67;0.76;0.80;0.69;0.00;0.71;0.02;0.2858;0.2757;1
240;240;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R11[0.23] R15[0.15] R20[0.17] R26[0.15] G1[0.05];0.46;0.57;0.53;0.69;0.62;0.34;0.64;0.02;0.2858;0.2757;1
240;240;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.17] R26[0.15] G1[0.05] G2[0.17] G3[0.05];0.76;0.65;0.75;0.60;0.55;0.00;0.70;0.02;0.2858;0.2757;1
241;241;Agent_1;stage controller selected stage 2 [resolution increase] (deficit bucket: mid+gap) → ACCEPTED: A17: A17: IF evacuation pressure is X1 AND suppression feasibility is VH THEN evacuation 0.6, suppression effort 0.2 (adaptation-born: resolution increase: term X1 inserted into evacuation_pressure at 0.62 (catalog grew)) (coverage gap, admitted non-inferior at fired weight 0.68);2;2;R7[0.02] R20[0.24] R26[0.14] G1[0.02] G2[0.24] G3[0.02];0.68;0.70;0.78;0.83;0.67;0.00;0.73;0.02;0.2854;0.2757;1
241;241;Agent_2;stage controller selected stage 2 [resolution increase] (deficit bucket: mid+gap) → ACCEPTED: A17: A17: IF evacuation pressure is X1 AND suppression feasibility is VH THEN evacuation 0.6, suppression effort 0.2 (adaptation-born: resolution increase: term X1 inserted into evacuation_pressure at 0.62 (catalog grew)) (coverage gap, admitted non-inferior at fired weight 0.68);2;2;R7[0.08] R11[0.23] R15[0.14] R20[0.16] R26[0.14] G1[0.05];0.41;0.58;0.54;0.70;0.62;0.33;0.65;0.02;0.2854;0.2757;1
241;241;Agent_3;stage controller selected stage 2 [resolution increase] (deficit bucket: mid+gap) → ACCEPTED: A17: A17: IF evacuation pressure is X1 AND suppression feasibility is VH THEN evacuation 0.6, suppression effort 0.2 (adaptation-born: resolution increase: term X1 inserted into evacuation_pressure at 0.62 (catalog grew)) (coverage gap, admitted non-inferior at fired weight 0.68);2;2;R7[0.04] R20[0.16] R26[0.14] G1[0.05] G2[0.16] G3[0.05];0.69;0.67;0.77;0.62;0.56;0.00;0.72;0.02;0.2854;0.2757;1
100;100;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.57] R26[0.32] G1[0.06] G2[0.57] G3[0.06];0.72;0.69;0.81;0.84;0.64;0.00;0.91;0.02;0.2683;0.2595;1
100;100;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R11[0.23] R15[0.23] R20[0.38] R26[0.32] G1[0.11];0.51;0.66;0.63;0.79;0.60;0.41;0.78;0.02;0.2683;0.2595;1
100;100;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.38] R26[0.32] G1[0.11] G2[0.38] G3[0.11];0.75;0.70;0.80;0.64;0.56;0.00;0.87;0.02;0.2683;0.2595;1
101;101;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.52] R26[0.29] G1[0.05] G2[0.52] G3[0.05];0.72;0.70;0.81;0.84;0.65;0.00;0.88;0.02;0.2689;0.2596;1
101;101;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R11[0.23] R15[0.23] R20[0.34] R26[0.29] G1[0.10];0.51;0.66;0.63;0.79;0.60;0.41;0.76;0.02;0.2689;0.2596;1
101;101;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.34] R26[0.29] G1[0.10] G2[0.34] G3[0.10];0.75;0.70;0.80;0.64;0.56;0.00;0.84;0.02;0.2689;0.2596;1
102;102;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.47] R26[0.27] G1[0.05] G2[0.47] G3[0.05];0.72;0.70;0.81;0.84;0.65;0.00;0.85;0.02;0.2696;0.2606;1
