quantity;value
cycles;154
satisficing_failed;154
tried;38
accepted;12
rejected;26
withheld;3
persist_failed;0
dJ_accepted;-0.013223
stage1_tried;11
stage1_accepted;6
stage2_tried;18
stage2_accepted;2
stage3_tried;9
stage3_accepted;4
blocked: cooldown between adaptation trials;114
gate: admitted (improves G3 + G4);4
gate: rejected;2
gate: rejected at G3 (no improvement);1
gate: rejected at G5 (package margin);2
rejected: instantiated cell did not improve the physical forecast (0.309 vs 0.309, burn+asset+pop at >=45 min);1
rejected: instantiated cell did not improve the physical forecast (0.286 vs 0.286, burn+asset+pop at >=45 min);3
rejected: refined cell already covered;12
rejected: no improving perturbation found;5
"rejected: rejected at G2 duplicate cell (claude) — an active rule already sits on this antecedent cell; re-issuing it with different numbers is stage ① evFIS's job, not a new rule";2
rejected: rejected at G3 (claude);1
rejected: rejected at G5 package margin (claude);2
