quantity;value
cycles;56
satisficing_failed;56
tried;13
accepted;6
rejected;7
withheld;2
persist_failed;0
dJ_accepted;-0.006321
stage1_tried;10
stage1_accepted;5
stage2_tried;3
stage2_accepted;1
blocked: cooldown between adaptation trials;43
rejected: no improving perturbation found;5
"rejected: cell already covered — an active rule sits on this antecedent cell and the situation is crisp; numeric tuning is stage ① evFIS's job";2
