step,t_min,burning,burned,j_total,j_physical,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,170,170,0.10271,0.11645,0.34936,0.00000,0.00000,0.00000,8.27,0.00,0.159,0,0.0
2,2.0,172,172,0.10350,0.11734,0.35203,0.00000,0.00000,0.00000,8.27,0.00,0.159,0,0.0
3,3.0,178,178,0.10581,0.11996,0.35989,0.00000,0.00000,0.00000,8.27,0.00,0.159,0,0.0
4,4.0,190,190,0.13129,0.12502,0.37505,0.00000,0.00000,0.00019,8.27,0.00,0.159,1346,9.6
5,5.0,210,210,0.13833,0.13293,0.39878,0.00000,0.00000,0.00039,8.27,0.00,0.159,1352,10.6
6,6.0,234,234,0.14495,0.14166,0.42499,0.00000,0.00000,0.00078,8.27,0.00,0.159,1364,17.2
7,7.0,257,257,0.15193,0.14935,0.44805,0.00000,0.00000,0.00119,8.27,0.00,0.159,1383,18.5
8,8.0,290,290,0.16089,0.15936,0.47807,0.00000,0.00000,0.00162,8.27,0.00,0.159,1405,19.7
9,9.0,319,319,0.16803,0.16730,0.50189,0.00000,0.00000,0.00207,8.27,0.00,0.159,1434,21.1
10,10.0,336,336,0.17190,0.17162,0.51486,0.00000,0.00000,0.00255,8.27,0.00,0.159,1460,22.3
11,11.0,360,360,0.17696,0.17736,0.53207,0.00000,0.00000,0.00306,8.27,0.00,0.159,1502,23.9
12,12.0,382,382,0.18138,0.18227,0.54681,0.00000,0.00000,0.00362,8.27,0.00,0.159,1537,26.1
13,13.0,405,405,0.18564,0.18708,0.56125,0.00000,0.00000,0.00419,8.27,0.00,0.159,1599,27.1
14,14.0,434,434,0.19065,0.19273,0.57820,0.00000,0.00000,0.00478,8.27,0.00,0.159,1617,28.0
15,15.0,467,467,0.19595,0.19866,0.59597,0.00000,0.00000,0.00538,8.27,0.00,0.159,1643,28.7
16,16.0,492,492,0.19968,0.20282,0.60846,0.00000,0.00000,0.00600,8.27,0.00,0.159,1669,29.6
17,17.0,518,518,0.20327,0.20689,0.62066,0.00000,0.00000,0.00666,8.27,0.00,0.159,1711,31.2
18,18.0,556,556,0.20814,0.21239,0.63718,0.00000,0.00000,0.00734,8.27,0.00,0.159,1752,32.2
19,19.0,598,598,0.21312,0.21795,0.65384,0.00000,0.00000,0.00803,8.27,0.00,0.159,1784,32.9
20,20.0,628,628,0.21641,0.22161,0.66483,0.00000,0.00000,0.00873,8.27,0.00,0.159,1809,33.8
21,21.0,667,667,0.22036,0.22604,0.67812,0.00000,0.00000,0.00946,8.27,0.00,0.159,1831,34.9
22,22.0,708,708,0.22419,0.23033,0.69100,0.00000,0.00000,0.01022,8.27,0.00,0.159,1881,36.3
23,23.0,741,741,0.22704,0.23355,0.70064,0.00000,0.00000,0.01100,8.27,0.00,0.159,1899,37.3
24,24.0,765,765,0.22904,0.23576,0.70729,0.00000,0.00000,0.01179,8.27,0.00,0.159,1933,38.2
25,25.0,810,810,0.23255,0.23966,0.71898,0.00000,0.00000,0.01260,8.27,0.00,0.159,1971,39.4
26,26.0,850,850,0.23548,0.24287,0.72861,0.00000,0.00000,0.01344,8.27,0.00,0.159,2000,40.3
27,27.0,886,886,0.23789,0.24558,0.73674,0.00000,0.00000,0.01428,8.27,0.00,0.159,2012,41.0
28,28.0,934,934,0.24073,0.24895,0.74684,0.00000,0.00000,0.01519,8.27,0.00,0.159,2071,42.9
29,29.0,963,963,0.24247,0.25086,0.75258,0.00000,0.00000,0.01611,8.27,0.00,0.159,2092,43.8
30,30.0,1005,1005,0.24485,0.25348,0.76044,0.00000,0.00000,0.01705,8.27,0.00,0.159,2111,44.5
31,31.0,1039,1039,0.24669,0.25549,0.76645,0.00000,0.00001,0.01801,8.27,0.00,0.159,2170,45.9
32,32.0,1074,1074,0.24845,0.25744,0.77233,0.00000,0.00001,0.01898,8.27,0.00,0.159,2196,46.6
33,33.0,1113,1113,0.25036,0.25952,0.77854,0.00000,0.00001,0.01997,8.27,0.00,0.159,2228,47.6
34,34.0,1159,1159,0.25244,0.26182,0.78544,0.00000,0.00001,0.02097,8.27,0.00,0.159,2247,48.3
35,35.0,1196,1196,0.25405,0.26357,0.79069,0.00000,0.00001,0.02199,8.27,0.00,0.159,2294,49.3
36,36.0,1222,1222,0.25504,0.26475,0.79423,0.00000,0.00001,0.02305,8.27,0.00,0.159,2323,50.4
37,37.0,1255,1255,0.25638,0.26619,0.79855,0.00000,0.00002,0.02413,8.27,0.00,0.159,2368,51.4
38,38.0,1285,1285,0.25754,0.26745,0.80232,0.00000,0.00002,0.02523,8.27,0.00,0.159,2389,52.3
39,39.0,1322,1322,0.25893,0.26894,0.80679,0.00000,0.00002,0.02634,8.27,0.00,0.159,2422,52.8
40,40.0,1361,1361,0.26033,0.27043,0.81128,0.00000,0.00002,0.02746,8.27,0.00,0.159,2469,53.7
41,41.0,1389,1389,0.26132,0.27147,0.81438,0.00000,0.00002,0.02860,8.27,0.00,0.159,2499,54.5
42,42.0,1421,1421,0.26240,0.27261,0.81779,0.00000,0.00002,0.02974,8.27,0.00,0.159,2522,55.1
43,43.0,1460,1460,0.24337,0.27394,0.82179,0.00000,0.00002,0.02974,8.27,0.00,0.159,0,0.0
44,44.0,1492,1492,0.26450,0.27499,0.82495,0.00000,0.00003,0.03093,8.27,0.00,0.159,2610,56.7
45,45.0,1521,1521,0.26536,0.27591,0.82771,0.00000,0.00003,0.03212,8.27,0.00,0.159,2627,57.2
46,46.0,1543,1543,0.24585,0.27659,0.82975,0.00000,0.00003,0.03212,8.27,0.00,0.159,0,0.0
47,47.0,1571,1571,0.26677,0.27744,0.83227,0.00000,0.00003,0.03334,8.27,0.00,0.159,2686,58.7
48,48.0,1604,1604,0.26770,0.27840,0.83516,0.00000,0.00003,0.03456,8.27,0.00,0.159,2703,59.1
49,49.0,1633,1633,0.26850,0.27921,0.83761,0.00000,0.00004,0.03580,8.27,0.00,0.159,2723,59.5
50,50.0,1656,1656,0.26908,0.27985,0.83950,0.00000,0.00004,0.03705,8.27,0.00,0.159,2747,60.0
51,51.0,1676,1676,0.26963,0.28038,0.84111,0.00000,0.00004,0.03830,8.27,0.00,0.159,2762,60.5
52,52.0,1700,1700,0.27026,0.28101,0.84300,0.00000,0.00004,0.03958,8.27,0.00,0.159,2796,61.1
53,53.0,1722,1722,0.27082,0.28158,0.84470,0.00000,0.00004,0.04086,8.27,0.00,0.159,2811,61.5
54,54.0,1742,1742,0.27131,0.28208,0.84621,0.00000,0.00004,0.04214,8.27,0.00,0.160,2821,61.8
55,55.0,1759,1759,0.27175,0.28250,0.84747,0.00000,0.00004,0.04344,8.27,0.00,0.160,2836,62.2
56,56.0,1778,1778,0.27222,0.28296,0.84885,0.00000,0.00004,0.04474,8.27,0.00,0.160,2852,62.6
