step;t_min;region;story;stage_tried;stage_accepted;fired_rules;suppression;deployment;containment;protection;evacuation;warning;quality;gate_min;J_forecast;J_noaction;attended
754;754;Agent_1;stage controller selected stage 1 [evFIS] (deficit bucket: high) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R7[0.02] R20[0.75] R26[0.63] G1[0.06] G2[0.72] G3[0.06];0.76;0.68;0.84;0.78;0.65;0.00;0.90;0.00;0.6352;0.6312;1
754;754;Agent_2;stage controller selected stage 1 [evFIS] (deficit bucket: high) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R7[0.17] R11[0.23] R15[0.23] R20[0.56] R26[0.63] G1[0.11];0.54;0.67;0.63;0.83;0.63;0.41;0.79;0.00;0.6352;0.6312;1
754;754;Agent_3;stage controller selected stage 1 [evFIS] (deficit bucket: high) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R7[0.04] R20[0.38] R26[0.32] G1[0.14] G2[0.38] G3[0.14];0.78;0.70;0.85;0.62;0.57;0.00;0.94;0.00;0.6352;0.6312;1
