step;t_min;region;story;stage_tried;stage_accepted;fired_rules;suppression;deployment;containment;protection;evacuation;warning;quality;gate_min;J_forecast;J_noaction;attended
469;469;Agent_1;stage controller selected stage 2 [resolution increase] (deficit bucket: mid) → rejected (instantiated cell did not improve the physical forecast (0.113 vs 0.113, burn+asset+pop at >=45 min) | seed-base decision stands, its orders are applied | NO-HARM: no PHYSICAL improvement forecast (phys 0.1126 vs 0.1027), offensive orders withheld; life-safety orders stand);2;0;R20[0.24] R26[0.05] G1[0.11] G2[0.24] G3[0.11] G4[0.14];0.00;0.00;0.00;0.00;0.78;0.00;0.67;0.10;0.1395;0.0906;1
469;469;Agent_2;stage controller selected stage 2 [resolution increase] (deficit bucket: mid) → rejected (instantiated cell did not improve the physical forecast (0.113 vs 0.113, burn+asset+pop at >=45 min) | seed-base decision stands, its orders are applied | NO-HARM: no PHYSICAL improvement forecast (phys 0.1126 vs 0.1027), offensive orders withheld; life-safety orders stand);2;0;R20[0.03] G1[0.15] G2[0.03] G3[0.03] G4[0.03] G5[0.08];0.00;0.00;0.00;0.00;0.56;0.00;0.75;0.11;0.1395;0.0906;1
469;469;Agent_3;stage controller selected stage 2 [resolution increase] (deficit bucket: mid) → rejected (instantiated cell did not improve the physical forecast (0.113 vs 0.113, burn+asset+pop at >=45 min) | seed-base decision stands, its orders are applied | NO-HARM: no PHYSICAL improvement forecast (phys 0.1126 vs 0.1027), offensive orders withheld; life-safety orders stand);2;0;R7[0.08] R20[0.16] R26[0.33] G1[0.10] G2[0.16] G3[0.10];0.00;0.00;0.00;0.00;0.43;0.00;0.71;0.11;0.1395;0.0906;1
