step;t_min;region;story;stage_tried;stage_accepted;fired_rules;suppression;deployment;containment;protection;evacuation;warning;quality;gate_min;J_forecast;J_noaction;attended
0;0;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.19] A1[0.54] G1[0.36] G2[0.36] G3[0.24];0.90;0.78;0.26;0.78;0.28;0.17;0.75;0.00;0.2239;0.2239;1
0;0;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.11] R11[0.23] R15[0.20] R20[0.12] R26[0.20] A1[0.11];0.61;0.76;0.33;0.43;0.40;0.53;0.72;0.00;0.2239;0.2239;1
0;0;Agent_3;orders came from the seed rule base (rules as-is);0;0;G1[0.11];0.10;0.09;0.00;0.00;0.00;0.00;0.73;0.00;0.2239;0.2239;1
0;0;Agent_1;stage controller selected stage 3 [GenAI] (deficit bucket: low) → ACCEPTED: G5: G5: IF fire threat level is H AND suppression feasibility is VH AND evacuation pressure is VL THEN suppression effort 0.9, resource deployment 0.7, asset protection 0.6 (adaptation-born: generative (claude), gates G1-G4);3;3;R7[0.02] R20[0.19] R26[0.15] A1[0.61] G1[0.22] G2[0.22];0.91;0.78;0.21;0.74;0.32;0.15;0.70;0.00;0.2604;0.2239;1
0;0;Agent_2;stage controller selected stage 3 [GenAI] (deficit bucket: low) → ACCEPTED: G5: G5: IF fire threat level is H AND suppression feasibility is VH AND evacuation pressure is VL THEN suppression effort 0.9, resource deployment 0.7, asset protection 0.6 (adaptation-born: generative (claude), gates G1-G4);3;3;R7[0.11] R11[0.23] R15[0.12] R20[0.07] R26[0.12] A1[0.11];0.53;0.68;0.23;0.47;0.35;0.43;0.77;0.00;0.2604;0.2239;1
0;0;Agent_3;stage controller selected stage 3 [GenAI] (deficit bucket: low) → ACCEPTED: G5: G5: IF fire threat level is H AND suppression feasibility is VH AND evacuation pressure is VL THEN suppression effort 0.9, resource deployment 0.7, asset protection 0.6 (adaptation-born: generative (claude), gates G1-G4);3;3;R7[0.04] R20[0.07] R26[0.15] A1[0.07] G1[0.15] G2[0.07];0.44;0.41;0.08;0.17;0.04;0.02;0.74;0.00;0.2604;0.2239;1
0;0;Agent_1;stage controller selected stage 2 [resolution increase] (deficit bucket: low) → rejected (cell already covered — an active rule sits on this antecedent cell and the situation is crisp; numeric tuning is stage ① evFIS's job | seed-base decision stands, its orders are applied);2;0;R7[0.02] R20[0.19] A1[0.54] G1[0.06] G2[0.06] G3[0.06];0.37;0.44;0.15;0.54;0.28;0.04;0.89;0.00;0.1375;0.1375;1
0;0;Agent_2;stage controller selected stage 2 [resolution increase] (deficit bucket: low) → rejected (cell already covered — an active rule sits on this antecedent cell and the situation is crisp; numeric tuning is stage ① evFIS's job | seed-base decision stands, its orders are applied);2;0;R11[0.23] G1[0.11] G3[0.11] G5[0.11];0.16;0.22;0.05;0.16;0.23;0.30;0.89;0.00;0.1375;0.1375;0
0;0;Agent_3;stage controller selected stage 2 [resolution increase] (deficit bucket: low) → rejected (cell already covered — an active rule sits on this antecedent cell and the situation is crisp; numeric tuning is stage ① evFIS's job | seed-base decision stands, its orders are applied);2;0;G1[0.11] G5[0.11];0.19;0.16;0.00;0.06;0.00;0.00;0.84;0.00;0.1375;0.1375;1
1;1;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.17] A1[0.49] G1[0.32] G2[0.32] G3[0.22];0.90;0.77;0.23;0.78;0.26;0.15;0.72;0.00;0.2273;0.2273;1
