step;t_min;region;story;stage_tried;stage_accepted;fired_rules;suppression;deployment;containment;protection;evacuation;warning;quality;gate_min;J_forecast;J_noaction;attended
23;1380;Agent_1;stage controller selected stage 1 [evFIS] (deficit bucket: low) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R7[0.01] R11[0.11] R15[0.04] R20[0.10] R26[0.04] G1[0.12];0.54;0.70;0.73;0.72;0.55;0.15;0.81;0.00;0.1171;0.1194;1
23;1380;Agent_2;stage controller selected stage 1 [evFIS] (deficit bucket: low) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R11[0.11] R20[0.08] G1[0.11] G2[0.08] G3[0.08] G4[0.08];0.52;0.72;0.74;0.71;0.54;0.11;0.81;0.00;0.1171;0.1194;1
23;1380;Agent_3;stage controller selected stage 1 [evFIS] (deficit bucket: low) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R7[0.08] R11[0.03] R15[0.32] R20[0.15] R26[0.32] G1[0.10];0.59;0.66;0.80;0.62;0.47;0.29;0.81;0.00;0.1171;0.1194;1
24;1440;Agent_1;stage controller selected stage 2 [resolution increase] (deficit bucket: high+gap) → rejected (refined cell already covered | seed-base decision stands, its orders are applied);2;0;R7[0.01] R11[0.11] R15[0.04] R20[0.09] R26[0.04] G1[0.11];0.54;0.70;0.74;0.72;0.55;0.14;0.79;0.00;0.1220;0.1257;1
24;1440;Agent_2;stage controller selected stage 2 [resolution increase] (deficit bucket: high+gap) → rejected (refined cell already covered | seed-base decision stands, its orders are applied);2;0;R11[0.11] R20[0.07] G1[0.10] G2[0.07] G3[0.07] G4[0.07];0.51;0.72;0.74;0.71;0.54;0.11;0.79;0.00;0.1220;0.1257;1
24;1440;Agent_3;stage controller selected stage 2 [resolution increase] (deficit bucket: high+gap) → rejected (refined cell already covered | seed-base decision stands, its orders are applied);2;0;R7[0.07] R11[0.03] R15[0.29] R20[0.14] R26[0.29] G1[0.09];0.59;0.66;0.80;0.62;0.47;0.27;0.79;0.00;0.1220;0.1257;1
25;1500;Agent_1;stage controller selected stage 1 [evFIS] (deficit bucket: high+gap) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R7[0.01] R11[0.11] R15[0.04] R20[0.08] R26[0.04] G1[0.10];0.53;0.70;0.74;0.72;0.55;0.14;0.77;0.00;0.1163;0.1308;1
25;1500;Agent_2;stage controller selected stage 1 [evFIS] (deficit bucket: high+gap) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R11[0.10] R20[0.06] G1[0.09] G2[0.06] G3[0.06] G4[0.06];0.51;0.72;0.74;0.71;0.54;0.10;0.77;0.00;0.1163;0.1308;1
25;1500;Agent_3;stage controller selected stage 1 [evFIS] (deficit bucket: high+gap) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R7[0.07] R11[0.03] R15[0.26] R20[0.13] R26[0.26] G1[0.08];0.58;0.65;0.80;0.61;0.47;0.24;0.77;0.00;0.1163;0.1308;1
26;1560;Agent_1;stage controller selected stage 2 [resolution increase] (deficit bucket: high+gap) → rejected (refined cell already covered | seed-base decision stands, its orders are applied);2;0;R7[0.01] R11[0.11] R15[0.03] R20[0.07] R26[0.03] G1[0.09];0.52;0.70;0.74;0.72;0.55;0.13;0.76;0.00;0.1194;0.1304;1
26;1560;Agent_2;stage controller selected stage 2 [resolution increase] (deficit bucket: high+gap) → rejected (refined cell already covered | seed-base decision stands, its orders are applied);2;0;R11[0.10] R20[0.06] G1[0.08] G2[0.06] G3[0.06] G4[0.06];0.50;0.72;0.75;0.71;0.54;0.10;0.76;0.00;0.1194;0.1304;1
26;1560;Agent_3;stage controller selected stage 2 [resolution increase] (deficit bucket: high+gap) → rejected (refined cell already covered | seed-base decision stands, its orders are applied);2;0;R7[0.07] R11[0.03] R15[0.24] R20[0.11] R26[0.24] G1[0.07];0.58;0.67;0.80;0.60;0.47;0.22;0.75;0.00;0.1194;0.1304;1
27;1620;Agent_1;stage controller selected stage 1 [evFIS] (deficit bucket: high+gap) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R7[0.01] R11[0.11] R15[0.03] R20[0.06] R26[0.03] G1[0.08];0.52;0.70;0.74;0.72;0.55;0.13;0.75;0.00;0.1243;0.1301;1
27;1620;Agent_2;stage controller selected stage 1 [evFIS] (deficit bucket: high+gap) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R11[0.10] R20[0.05] G1[0.07] G2[0.05] G3[0.05] G4[0.05];0.49;0.72;0.75;0.71;0.54;0.10;0.75;0.00;0.1243;0.1301;1
27;1620;Agent_3;stage controller selected stage 1 [evFIS] (deficit bucket: high+gap) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R7[0.07] R11[0.03] R15[0.21] R20[0.10] R26[0.21] G1[0.06];0.57;0.69;0.79;0.60;0.48;0.20;0.73;0.00;0.1243;0.1301;1
28;1680;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.01] R11[0.18] R15[0.03] R20[0.06] R26[0.03] G1[0.07];0.50;0.72;0.67;0.77;0.59;0.20;0.73;0.00;0.1271;0.1322;1
28;1680;Agent_2;orders came from the seed rule base (rules as-is);0;0;R11[0.10] R20[0.05] G1[0.06] G2[0.05] G3[0.05] G4[0.05];0.49;0.72;0.75;0.71;0.54;0.10;0.73;0.00;0.1271;0.1322;1
28;1680;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.07] R11[0.03] R15[0.19] R20[0.09] R26[0.19] G1[0.06];0.56;0.69;0.79;0.57;0.47;0.19;0.73;0.00;0.1271;0.1322;1
29;1740;Agent_1;stage controller selected stage 2 [resolution increase] (deficit bucket: high+gap) → rejected (refined cell already covered | seed-base decision stands, its orders are applied);2;0;R7[0.01] R11[0.24] R15[0.02] R20[0.05] R26[0.02] G1[0.06];0.47;0.72;0.63;0.81;0.61;0.25;0.72;0.00;0.1296;0.1322;1
29;1740;Agent_2;stage controller selected stage 2 [resolution increase] (deficit bucket: high+gap) → rejected (refined cell already covered | seed-base decision stands, its orders are applied);2;0;R11[0.05] R20[0.04] G1[0.06] G2[0.04] G3[0.04] G4[0.04];0.47;0.71;0.80;0.67;0.51;0.05;0.73;0.00;0.1296;0.1322;1
29;1740;Agent_3;stage controller selected stage 2 [resolution increase] (deficit bucket: high+gap) → rejected (refined cell already covered | seed-base decision stands, its orders are applied);2;0;R7[0.07] R11[0.03] R15[0.17] R20[0.08] R26[0.17] G1[0.05];0.55;0.69;0.79;0.55;0.47;0.17;0.72;0.00;0.1296;0.1322;1
30;1800;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.01] R11[0.26] R15[0.02] R20[0.05] R26[0.02] G1[0.06];0.44;0.72;0.61;0.83;0.62;0.28;0.71;0.00;0.1314;0.1328;1
30;1800;Agent_2;orders came from the seed rule base (rules as-is);0;0;R11[0.02] R20[0.04] G1[0.05] G2[0.04] G3[0.04] G4[0.04];0.46;0.69;0.83;0.65;0.50;0.02;0.73;0.00;0.1314;0.1328;1
30;1800;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.07] R11[0.03] R15[0.15] R20[0.07] R26[0.15] G1[0.05];0.53;0.69;0.79;0.50;0.47;0.16;0.72;0.00;0.1314;0.1328;1
31;1860;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.01] R11[0.27] R15[0.02] R20[0.04] R26[0.02] G1[0.05];0.43;0.73;0.60;0.84;0.62;0.28;0.70;0.00;0.1334;0.1342;1
