step;t_min;region;story;stage_tried;stage_accepted;fired_rules;suppression;deployment;containment;protection;evacuation;warning;quality;gate_min;J_forecast;J_noaction;attended
8;8;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.35] R26[0.33] G1[0.36] G2[0.35] G3[0.35];0.75;0.68;0.84;0.74;0.63;0.00;0.94;0.12;0.0518;0.0825;1
8;8;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.12] R11[0.23] R15[0.20] R20[0.12] R26[0.20] G1[0.25];0.60;0.67;0.60;0.73;0.62;0.38;0.73;0.12;0.0518;0.0825;1
8;8;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.16] R26[0.33] G1[0.11] G2[0.16] G3[0.11];0.93;0.78;0.84;0.65;0.56;0.00;0.84;0.12;0.0518;0.0825;1
9;9;Agent_1;stage controller selected stage 1 [evFIS] (deficit bucket: mid+gap) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R7[0.02] R20[0.32] R26[0.30] G1[0.33] G2[0.32] G3[0.32];0.75;0.68;0.84;0.74;0.63;0.00;0.92;0.12;0.0533;0.0850;1
9;9;Agent_2;stage controller selected stage 1 [evFIS] (deficit bucket: mid+gap) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R7[0.12] R11[0.23] R15[0.18] R20[0.11] R26[0.18] G1[0.23];0.59;0.66;0.59;0.72;0.62;0.37;0.71;0.12;0.0533;0.0850;1
9;9;Agent_3;stage controller selected stage 1 [evFIS] (deficit bucket: mid+gap) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R7[0.04] R20[0.14] R26[0.30] G1[0.10] G2[0.14] G3[0.10];0.93;0.77;0.84;0.65;0.56;0.00;0.82;0.12;0.0533;0.0850;1
10;10;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.30] R26[0.28] G1[0.31] G2[0.30] G3[0.30];0.74;0.68;0.84;0.74;0.63;0.00;0.90;0.12;0.0542;0.0857;1
10;10;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.12] R11[0.23] R15[0.17] R20[0.10] R26[0.17] G1[0.22];0.57;0.64;0.57;0.70;0.62;0.36;0.70;0.12;0.0542;0.0857;1
10;10;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.14] R26[0.28] G1[0.09] G2[0.14] G3[0.09];0.93;0.77;0.84;0.65;0.56;0.00;0.80;0.12;0.0542;0.0857;1
11;11;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.28] R26[0.27] G1[0.29] G2[0.28] G3[0.28];0.74;0.68;0.84;0.74;0.63;0.00;0.88;0.11;0.0504;0.2523;1
11;11;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.12] R11[0.23] R15[0.16] R20[0.10] R26[0.16] G1[0.21];0.57;0.64;0.57;0.69;0.62;0.35;0.69;0.11;0.0504;0.2523;1
11;11;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.13] R26[0.27] G1[0.09] G2[0.13] G3[0.09];0.92;0.77;0.84;0.65;0.56;0.00;0.79;0.11;0.0504;0.2523;1
12;12;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.27] R26[0.25] G1[0.28] G2[0.27] G3[0.27];0.74;0.68;0.84;0.74;0.63;0.00;0.87;0.11;0.0506;0.0860;1
12;12;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.12] R11[0.23] R15[0.15] R20[0.09] R26[0.15] G1[0.20];0.56;0.63;0.56;0.69;0.63;0.35;0.68;0.11;0.0506;0.0860;1
