step,t_min,burning,burned,j_total,j_physical,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
9,9.0,31,42,0.04766,0.03904,0.11712,0.00000,0.00000,0.01480,8.27,0.00,0.074,332,392.8
10,10.0,32,43,0.04858,0.03986,0.11958,0.00000,0.00000,0.01739,8.27,0.00,0.074,332,392.0
11,11.0,33,43,0.04874,0.03986,0.11958,0.00000,0.00000,0.02004,8.27,0.00,0.074,341,402.9
12,12.0,29,43,0.04899,0.03986,0.11958,0.00000,0.00000,0.02298,8.27,0.00,0.075,377,444.9
13,13.0,29,43,0.04920,0.03986,0.11958,0.00000,0.00000,0.02592,8.27,0.00,0.075,380,447.8
14,14.0,29,43,0.04942,0.03986,0.11958,0.00000,0.00000,0.02887,8.27,0.00,0.075,382,449.8
15,15.0,29,43,0.04951,0.03986,0.11958,0.00000,0.00000,0.03151,8.27,0.00,0.075,341,401.4
16,16.0,29,43,0.04968,0.03986,0.11958,0.00000,0.00000,0.03413,8.27,0.00,0.075,341,401.1
17,17.0,29,43,0.04985,0.03986,0.11958,0.00000,0.00000,0.03676,8.27,0.00,0.075,341,400.9
18,18.0,29,43,0.05002,0.03986,0.11958,0.00000,0.00000,0.03938,8.27,0.00,0.075,341,400.8
19,19.0,58,72,0.06951,0.06176,0.18528,0.00000,0.00000,0.04199,8.27,0.00,0.075,341,400.5
20,20.0,58,72,0.06972,0.06179,0.18528,0.00000,0.00009,0.04460,8.27,0.00,0.075,341,399.7
21,21.0,61,75,0.07175,0.06389,0.19152,0.00000,0.00016,0.04720,8.27,0.00,0.075,341,399.2
22,22.0,48,75,0.07086,0.06392,0.19152,0.00000,0.00022,0.05104,8.27,0.00,0.076,485,577.6
23,23.0,48,75,0.07109,0.06392,0.19152,0.00000,0.00023,0.05487,8.27,0.00,0.076,485,577.5
24,24.0,48,75,0.07130,0.06392,0.19152,0.00000,0.00024,0.05873,8.27,0.00,0.076,488,581.2
25,25.0,48,75,0.07136,0.06392,0.19152,0.00000,0.00025,0.06308,8.27,0.00,0.079,552,653.7
26,26.0,48,75,0.07162,0.06392,0.19152,0.00000,0.00025,0.06743,8.27,0.00,0.079,552,653.5
27,27.0,48,75,0.07188,0.06393,0.19152,0.00000,0.00025,0.07178,8.27,0.00,0.078,552,653.3
28,28.0,48,75,0.07214,0.06393,0.19152,0.00000,0.00026,0.07613,8.27,0.00,0.078,552,653.2
29,29.0,48,75,0.07240,0.06393,0.19152,0.00000,0.00026,0.08048,8.27,0.00,0.078,552,653.1
30,30.0,48,75,0.07266,0.06393,0.19152,0.00000,0.00026,0.08482,8.27,0.00,0.078,552,653.0
31,31.0,48,75,0.07292,0.06393,0.19152,0.00000,0.00027,0.08917,8.27,0.00,0.078,552,652.9
32,32.0,48,75,0.07317,0.06393,0.19152,0.00000,0.00027,0.09351,8.27,0.00,0.078,552,652.8
33,33.0,48,75,0.07343,0.06393,0.19152,0.00000,0.00027,0.09785,8.27,0.00,0.078,552,652.7
34,34.0,48,75,0.07369,0.06393,0.19152,0.00000,0.00027,0.10220,8.27,0.00,0.078,552,652.6
35,35.0,48,75,0.07395,0.06393,0.19152,0.00000,0.00027,0.10654,8.27,0.00,0.078,552,652.5
36,36.0,48,75,0.07420,0.06393,0.19152,0.00000,0.00027,0.11088,8.27,0.00,0.078,552,652.4
37,37.0,48,75,0.07446,0.06393,0.19152,0.00000,0.00027,0.11522,8.27,0.00,0.078,552,652.3
38,38.0,48,75,0.07472,0.06393,0.19152,0.00000,0.00027,0.11956,8.27,0.00,0.078,552,652.2
39,39.0,48,75,0.07498,0.06393,0.19152,0.00000,0.00027,0.12390,8.27,0.00,0.078,552,652.1
40,40.0,48,75,0.07523,0.06393,0.19152,0.00000,0.00027,0.12823,8.27,0.00,0.078,552,652.0
41,41.0,48,75,0.07549,0.06393,0.19152,0.00000,0.00027,0.13257,8.27,0.00,0.078,552,651.9
42,42.0,48,75,0.07575,0.06393,0.19152,0.00000,0.00027,0.13691,8.27,0.00,0.078,552,651.8
43,43.0,48,75,0.07600,0.06393,0.19152,0.00000,0.00027,0.14124,8.27,0.00,0.078,552,651.7
44,44.0,48,75,0.07626,0.06393,0.19152,0.00000,0.00027,0.14558,8.27,0.00,0.078,552,651.6
45,45.0,48,75,0.07651,0.06393,0.19152,0.00000,0.00027,0.14991,8.27,0.00,0.078,552,651.5
46,46.0,48,75,0.07677,0.06393,0.19152,0.00000,0.00027,0.15424,8.27,0.00,0.078,552,651.5
47,47.0,48,75,0.07703,0.06393,0.19152,0.00000,0.00027,0.15858,8.27,0.00,0.078,552,651.4
48,48.0,48,75,0.07728,0.06393,0.19152,0.00000,0.00028,0.16291,8.27,0.00,0.078,552,651.4
49,49.0,48,75,0.07754,0.06393,0.19152,0.00000,0.00028,0.16724,8.27,0.00,0.078,552,651.3
50,50.0,48,75,0.07779,0.06393,0.19152,0.00000,0.00028,0.17158,8.27,0.00,0.078,552,651.3
