step;j_candidate;j_noaction;satisficing_bound;phys_candidate;phys_noaction
0;0.137457;0.137457;0.130584;0.165447;0.165447
0;0.137457;0.137457;0.130584;0.165447;0.165447
1;0.141309;0.141309;0.134244;0.202334;0.202334
2;0.145452;0.145452;0.138179;0.202334;0.202334
3;0.115569;0.148698;0.141263;0.163283;0.205816
4;0.117529;0.122104;0.115999;0.159358;0.176895
5;0.114220;0.116140;0.110333;0.074419;0.112829
5;0.114713;0.116140;0.110333;0.074419;0.112829
6;0.092827;0.126800;0.120460;0.144070;0.165447
7;0.044900;0.108262;0.102849;0.032326;0.153119
8;0.045345;0.100861;0.095818;0.032326;0.153119
9;0.045733;0.096729;0.091892;0.032326;0.153119
10;0.046153;0.089659;0.085176;0.032326;0.153119
11;0.046591;0.084458;0.080236;0.032326;0.153119
12;0.047039;0.078426;0.074505;0.032326;0.153119
13;0.047500;0.072532;0.068905;0.032326;0.112829
14;0.048004;0.066838;0.063496;0.032326;0.112829
15;0.048504;0.062011;0.058911;0.032326;0.112829
16;0.049003;0.058194;0.055284;0.032326;0.112829
17;0.049500;0.052254;0.049642;0.032326;0.112829
18;0.049995;0.052079;0.049476;0.032326;0.112829
19;0.050489;0.052566;0.049938;0.032326;0.112829
20;0.051666;0.052387;0.049768;0.032326;0.112829
21;0.053461;0.052854;0.050211;0.032326;0.112829
22;0.062660;0.053300;0.050635;0.045463;0.058220
23;0.063729;0.052994;0.050345;0.049336;0.049336
23;0.063729;0.052994;0.050345;0.049336;0.049336
24;0.064642;0.052572;0.049944;0.047025;0.049336
25;0.066624;0.052878;0.050234;0.047799;0.049336
26;0.068561;0.053356;0.050689;0.047799;0.049336
27;0.068824;0.053819;0.051128;0.049336;0.049336
28;0.067785;0.054255;0.051542;0.049336;0.049336
29;0.067866;0.054573;0.051844;0.049336;0.049336
30;0.068270;0.054893;0.052148;0.049336;0.049336
