step;t_min;hotspot;attended;shares;statement
0;0.0;Agent_2;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_2 (priority 0.50), Agent_2 share 1.00, Agent_1 share 1.00, Agent_3 share 1.00
1;60.0;Agent_2;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_2 (priority 0.46), Agent_2 share 1.00, Agent_1 share 1.00, Agent_3 share 1.00
2;120.0;Agent_2;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_2 (priority 0.42), Agent_2 share 1.00, Agent_1 share 1.00, Agent_3 share 1.00
3;180.0;Agent_2;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_2 (priority 0.38), Agent_2 share 1.00, Agent_1 share 1.00, Agent_3 share 1.00
4;240.0;Agent_2;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_2 (priority 0.35), Agent_2 share 1.00, Agent_1 share 1.00, Agent_3 share 1.00
5;300.0;Agent_2;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_2 (priority 0.32), Agent_2 share 1.00, Agent_1 share 1.00, Agent_3 share 1.00
6;360.0;Agent_2;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_2 (priority 0.29), Agent_2 share 1.00, Agent_1 share 1.00, Agent_3 share 1.00
7;420.0;Agent_2;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_2 (priority 0.26), Agent_2 share 1.00, Agent_1 share 1.00, Agent_3 share 1.00
8;480.0;Agent_2;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_2 (priority 0.24), Agent_2 share 1.00, Agent_1 share 1.00, Agent_3 share 1.00
9;540.0;Agent_2;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_2 (priority 0.21), Agent_2 share 1.00, Agent_1 share 1.00, Agent_3 share 1.00
10;600.0;Agent_2;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_2 (priority 0.19), Agent_2 share 1.00, Agent_1 share 1.00, Agent_3 share 1.00
11;660.0;Agent_2;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_2 (priority 0.17), Agent_2 share 1.00, Agent_1 share 1.00, Agent_3 share 1.00
12;720.0;Agent_2;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_2 (priority 0.16), Agent_2 share 1.00, Agent_1 share 1.00, Agent_3 share 1.00
13;780.0;Agent_2;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_2 (priority 0.14), Agent_2 share 1.00, Agent_1 share 1.00, Agent_3 share 1.00
14;840.0;Agent_2;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_2 (priority 0.13), Agent_2 share 1.00, Agent_1 share 1.00, Agent_3 share 1.00
