step,t_min,burning,burned,j_total,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,15,15,0.01779,0.03766,0.00000,0.00000,0.00110,7.40,0.00,0.157,1488,1151.0
2,2.0,3,15,0.01819,0.03766,0.00000,0.00000,0.00238,7.40,0.00,0.158,2085,1351.9
3,3.0,4,16,0.01778,0.04011,0.00000,0.00000,0.00356,7.40,0.00,0.159,1707,1235.8
4,4.0,12,24,0.02331,0.05956,0.00000,0.00000,0.00475,7.40,0.00,0.160,1716,1247.6
5,5.0,38,51,0.04180,0.12234,0.00000,0.00000,0.00597,7.40,0.00,0.161,1764,1275.3
6,6.0,63,76,0.05788,0.17673,0.00000,0.00000,0.00724,7.40,0.00,0.162,1870,1335.2
7,7.0,88,101,0.07300,0.22775,0.00000,0.00000,0.00856,7.40,0.00,0.163,1967,1388.7
8,8.0,118,132,0.09042,0.28664,0.00000,0.00000,0.00993,7.40,0.00,0.163,2052,1439.1
9,9.0,142,157,0.10353,0.33085,0.00000,0.00000,0.01135,7.40,0.00,0.164,2127,1488.2
10,10.0,161,177,0.11346,0.36423,0.00000,0.00000,0.01280,7.40,0.00,0.165,2198,1534.4
11,11.0,168,185,0.11736,0.37711,0.00000,0.00000,0.01429,7.40,0.00,0.166,2239,1564.0
12,12.0,172,192,0.12070,0.38817,0.00000,0.00000,0.01579,7.40,0.00,0.167,2261,1579.8
13,13.0,176,201,0.12489,0.40210,0.00000,0.00000,0.01730,7.40,0.00,0.167,2279,1592.0
14,14.0,245,259,0.14348,0.48456,0.00000,0.00000,0.01730,7.40,0.00,0.167,0,0.0
15,15.0,269,283,0.15251,0.51527,0.00000,0.00000,0.01730,7.40,0.00,0.167,0,0.0
16,16.0,295,308,0.16134,0.54530,0.00000,0.00000,0.01730,7.40,0.00,0.167,0,0.0
17,17.0,322,334,0.16994,0.57457,0.00000,0.00000,0.01730,7.40,0.00,0.167,0,0.0
18,18.0,338,350,0.17496,0.59164,0.00000,0.00000,0.01730,7.40,0.00,0.167,0,0.0
19,19.0,361,372,0.18153,0.61399,0.00000,0.00000,0.01730,7.40,0.00,0.167,0,0.0
20,20.0,379,390,0.18664,0.63137,0.00000,0.00000,0.01730,7.40,0.00,0.167,0,0.0
21,21.0,396,407,0.19126,0.64706,0.00000,0.00000,0.01730,7.40,0.00,0.167,0,0.0
22,22.0,406,417,0.19388,0.65598,0.00000,0.00000,0.01730,7.40,0.00,0.167,0,0.0
23,23.0,419,430,0.19719,0.66723,0.00000,0.00000,0.01730,7.40,0.00,0.167,0,0.0
24,24.0,436,447,0.20135,0.68140,0.00000,0.00000,0.01730,7.40,0.00,0.167,0,0.0
25,25.0,458,469,0.20648,0.69884,0.00000,0.00000,0.01730,7.40,0.00,0.167,0,0.0
26,26.0,482,493,0.21175,0.71678,0.00000,0.00000,0.01730,7.40,0.00,0.167,0,0.0
27,27.0,504,515,0.21631,0.73228,0.00000,0.00000,0.01730,7.40,0.00,0.167,0,0.0
28,28.0,530,541,0.22138,0.74951,0.00000,0.00000,0.01730,7.40,0.00,0.167,0,0.0
