quantity;value
cycles;40
satisficing_failed;33
tried;8
accepted;1
rejected;7
withheld;0
persist_failed;0
dJ_accepted;0.000000
stage1_tried;2
stage1_accepted;0
stage2_tried;5
stage2_accepted;1
stage3_tried;1
stage3_accepted;0
blocked: cooldown between adaptation trials;25
gate: rejected;1
"rejected: cell already covered — an active rule sits on this antecedent cell and the situation is crisp; numeric tuning is stage ① evFIS's job";4
rejected: no improving perturbation found;2
"rejected: rejected at G2c relevance (the rule does not fire in the PRESENT situation; use each concept's CURRENT dominant term from the situation line) (claude)";1
