step;t_min;region;story;stage_tried;stage_accepted;fired_rules;suppression;deployment;containment;protection;evacuation;warning;quality;gate_min;J_forecast;J_noaction;attended
0;0;Agent_1;RL selected stage 1 [evFIS] (deficit bucket: low) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R7[0.07] R20[0.19] A1[0.53] G2[0.24] G5[0.19] G8[0.19];0.39;0.46;0.04;0.83;0.50;0.00;0.80;0.00;0.0608;0.0538;1
1;1;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.07] R20[0.18] A1[0.53] G2[0.27] G5[0.18] G8[0.18];0.38;0.46;0.04;0.83;0.50;0.00;0.82;0.12;0.0589;0.0568;1
2;2;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.07] R20[0.19] R26[0.04] A1[0.53] G2[0.30] G5[0.19];0.37;0.45;0.04;0.83;0.59;0.00;0.88;0.12;0.0605;0.0628;1
3;3;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.07] R20[0.19] R26[0.08] A1[0.53] G2[0.31] G5[0.19];0.38;0.45;0.04;0.83;0.59;0.00;0.89;0.12;0.0575;0.0650;1
4;4;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.07] R20[0.20] R26[0.11] A1[0.53] G2[0.31] G5[0.20];0.38;0.46;0.04;0.83;0.59;0.00;0.90;0.12;0.0592;0.0672;1
5;5;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.07] R20[0.20] R26[0.13] A1[0.53] G2[0.31] G5[0.20];0.39;0.46;0.04;0.83;0.59;0.00;0.91;0.12;0.0584;0.0721;1
6;6;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.07] R20[0.21] R26[0.14] A1[0.53] G2[0.31] G5[0.21];0.39;0.46;0.04;0.83;0.59;0.00;0.91;0.12;0.0602;0.0743;1
7;7;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.07] R20[0.21] R26[0.16] A1[0.53] G2[0.31] G5[0.21];0.39;0.46;0.04;0.83;0.59;0.00;0.91;0.12;0.0595;0.0757;1
8;8;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.07] R20[0.21] R26[0.17] A1[0.53] G2[0.31] G5[0.21];0.39;0.47;0.04;0.83;0.59;0.00;0.92;0.12;0.0610;0.0784;1
9;9;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.07] R20[0.21] R26[0.17] A1[0.53] G2[0.31] G5[0.21];0.39;0.47;0.04;0.83;0.59;0.00;0.92;0.12;0.0612;0.0784;1
10;10;Agent_1;RL selected stage 1 [evFIS] (deficit bucket: mid+gap) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R7[0.07] R20[0.21] R26[0.18] A1[0.53] G2[0.31] G5[0.21];0.39;0.47;0.04;0.83;0.59;0.00;0.92;0.12;0.0605;0.0805;1
