step;t_min;hotspot;attended;shares;statement
0;0.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.50), Agent_1 share 1.00
1;1.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.45), Agent_1 share 1.00
2;2.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.41), Agent_1 share 1.00
3;3.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.37), Agent_1 share 1.00
4;4.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.33), Agent_1 share 1.00
5;5.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.30), Agent_1 share 1.00
6;6.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.27), Agent_1 share 1.00
7;7.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.24), Agent_1 share 1.00
8;8.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.22), Agent_1 share 1.00
9;9.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.20), Agent_1 share 1.00
10;10.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.18), Agent_1 share 1.00
11;11.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.16), Agent_1 share 1.00
12;12.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.14), Agent_1 share 1.00
13;13.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.13), Agent_1 share 1.00
14;14.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.12), Agent_1 share 1.00
15;15.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.10), Agent_1 share 1.00
16;16.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.09), Agent_1 share 1.00
17;17.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.08), Agent_1 share 1.00
18;18.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.08), Agent_1 share 1.00
19;19.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.07), Agent_1 share 1.00
20;20.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.06), Agent_1 share 1.00
21;21.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.06), Agent_1 share 1.00
22;22.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.05), Agent_1 share 1.00
23;23.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.04), Agent_1 share 1.00
24;24.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.04), Agent_1 share 1.00
25;25.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.04), Agent_1 share 1.00
26;26.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.03), Agent_1 share 1.00
27;27.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.03), Agent_1 share 1.00
28;28.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.03), Agent_1 share 1.00
29;29.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.02), Agent_1 share 1.00
30;30.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.02), Agent_1 share 1.00
31;31.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.02), Agent_1 share 1.00
32;32.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.02), Agent_1 share 1.00
33;33.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.02), Agent_1 share 1.00
34;34.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.01), Agent_1 share 1.00
35;35.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.01), Agent_1 share 1.00
36;36.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.01), Agent_1 share 1.00
37;37.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.01), Agent_1 share 1.00
38;38.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.01), Agent_1 share 1.00
39;39.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.01), Agent_1 share 1.00
40;40.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.01), Agent_1 share 1.00
65;65.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.10), Agent_1 share 1.00
66;66.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.18), Agent_1 share 1.00
67;67.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.24), Agent_1 share 1.00
68;68.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.28), Agent_1 share 1.00
69;69.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.32), Agent_1 share 1.00
70;70.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.35), Agent_1 share 1.00
71;71.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.37), Agent_1 share 1.00
72;72.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.39), Agent_1 share 1.00
73;73.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.40), Agent_1 share 1.00
74;74.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.41), Agent_1 share 1.00
75;75.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.42), Agent_1 share 1.00
76;76.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.42), Agent_1 share 1.00
77;77.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.43), Agent_1 share 1.00
78;78.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.43), Agent_1 share 1.00
79;79.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.43), Agent_1 share 1.00
80;80.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.43), Agent_1 share 1.00
81;81.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.43), Agent_1 share 1.00
82;82.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.43), Agent_1 share 1.00
83;83.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.43), Agent_1 share 1.00
84;84.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.43), Agent_1 share 1.00
84;84.0;Agent_1;Agent_1;Agent_1=1.0;Global DSS: focus on Agent_1 (priority 0.43), Agent_1 share 1.00
