step;t_min;region;story;stage_tried;stage_accepted;fired_rules;suppression;deployment;containment;protection;evacuation;warning;quality;gate_min;J_forecast;J_noaction;attended
0;0;Agent_1;RL selected stage 3 [GenAI] (deficit bucket: low) → rejected (rejected at G2 duplicate cell (template) — an active rule already sits on this antecedent cell; re-issuing it with different numbers is stage ① evFIS's job, not a new rule | seed-base decision stands, its orders are applied);3;0;R1[0.22] R2[0.21] R3[0.32] R4[0.11] R6[0.06] R7[0.07];0.42;0.55;0.52;0.74;0.56;0.49;0.88;0.00;0.2819;0.2819;1
1;1;Agent_1;orders came from the seed rule base (rules as-is);0;0;R1[0.20] R2[0.21] R3[0.29] R4[0.10] R6[0.06] R7[0.07];0.43;0.55;0.49;0.74;0.56;0.44;0.83;0.00;0.2691;0.2842;1
2;2;Agent_1;orders came from the seed rule base (rules as-is);0;0;R1[0.18] R2[0.21] R3[0.26] R4[0.09] R6[0.05] R7[0.07];0.44;0.56;0.46;0.74;0.55;0.40;0.79;0.00;0.2781;0.2851;1
3;3;Agent_1;orders came from the seed rule base (rules as-is);0;0;R1[0.16] R2[0.21] R3[0.24] R4[0.08] R6[0.05] R7[0.07];0.45;0.57;0.44;0.74;0.55;0.36;0.75;0.00;0.2843;0.2857;1
4;4;Agent_1;orders came from the seed rule base (rules as-is);0;0;R1[0.15] R2[0.21] R3[0.21] R4[0.07] R6[0.04] R7[0.07];0.46;0.57;0.41;0.74;0.55;0.32;0.71;0.00;0.2834;0.2854;1
5;5;Agent_1;orders came from the seed rule base (rules as-is);0;0;R1[0.13] R2[0.21] R3[0.19] R4[0.07] R6[0.04] R7[0.07];0.47;0.58;0.39;0.74;0.55;0.29;0.68;0.00;0.2868;0.2858;1
6;6;Agent_1;orders came from the seed rule base (rules as-is);0;0;R1[0.12] R2[0.19] R3[0.17] R4[0.06] R6[0.03] R7[0.07];0.48;0.59;0.36;0.74;0.55;0.26;0.65;0.00;0.2883;0.2867;1
7;7;Agent_1;orders came from the seed rule base (rules as-is);0;0;R1[0.11] R2[0.17] R3[0.15] R4[0.05] R6[0.03] R7[0.07];0.48;0.60;0.34;0.74;0.55;0.23;0.62;0.00;0.2773;0.2871;1
8;8;Agent_1;orders came from the seed rule base (rules as-is);0;0;R1[0.10] R2[0.15] R3[0.14] R4[0.05] R6[0.03] R7[0.07];0.49;0.60;0.32;0.73;0.55;0.21;0.60;0.00;0.2961;0.2887;1
9;9;Agent_1;orders came from the seed rule base (rules as-is);0;0;R1[0.09] R2[0.14] R3[0.13] R4[0.04] R6[0.02] R7[0.07];0.47;0.59;0.29;0.71;0.55;0.19;0.57;0.00;0.2979;0.2901;1
10;10;Agent_1;RL selected stage 2 [resolution increase] (deficit bucket: mid+gap) → rejected (cell already covered — an active rule sits on this antecedent cell; numeric tuning of an existing cell is stage ① evFIS's job | seed-base decision stands, its orders are applied);2;0;R1[0.08] R2[0.12] R3[0.11] R4[0.04] R6[0.02] R7[0.07];0.46;0.58;0.27;0.68;0.55;0.17;0.55;0.00;0.3001;0.2908;1
11;11;Agent_1;orders came from the seed rule base (rules as-is);0;0;R1[0.07] R2[0.11] R3[0.10] R4[0.03] R6[0.02] R7[0.07];0.45;0.57;0.24;0.66;0.55;0.15;0.53;0.00;0.3027;0.2911;1
