step;j_candidate;j_noaction;satisficing_bound;phys_candidate;phys_noaction
64;0.150994;0.151057;0.148036;0.171126;0.171198
0;0.078454;0.077937;0.076379;0.088915;0.088329
1;0.088263;0.088008;0.086248;0.100031;0.099743
2;0.122510;0.104998;0.102898;0.069514;0.118998
3;0.122776;0.075431;0.073923;0.069482;0.085156
4;0.133893;0.076823;0.075287;0.081760;0.086401
5;0.130761;0.081002;0.079382;0.077869;0.090805
6;0.063315;0.075307;0.073801;0.070427;0.084017
7;0.072693;0.080055;0.078454;0.081055;0.089398
8;0.072672;0.085112;0.083410;0.081031;0.095130
9;0.065358;0.081254;0.079629;0.072742;0.090757
10;0.068503;0.077337;0.075790;0.076306;0.086318
11;0.071663;0.077681;0.076128;0.079887;0.086708
12;0.074925;0.080249;0.078644;0.083585;0.089619
13;0.073697;0.075919;0.074401;0.082192;0.084711
14;0.072736;0.076176;0.074653;0.081104;0.085002
15;0.074031;0.077252;0.075707;0.082571;0.086222
16;0.075865;0.077869;0.076311;0.084649;0.086921
17;0.077308;0.078032;0.076472;0.086286;0.087106
18;0.079183;0.080072;0.078471;0.088410;0.089418
19;0.081379;0.083030;0.081369;0.090899;0.092770
20;0.085828;0.089463;0.087674;0.095941;0.100061
20;0.085828;0.089463;0.087674;0.095941;0.100061
21;0.090023;0.097426;0.095478;0.100695;0.109086
22;0.103052;0.114673;0.112379;0.115462;0.128632
