step;t_min;hotspot;attended;shares;statement
113;113.0;Agent_1;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.60), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 1.00
114;114.0;Agent_1;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.59), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 1.00
115;115.0;Agent_1;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.59), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 1.00
116;116.0;Agent_1;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.59), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 1.00
117;117.0;Agent_1;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.59), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 1.00
118;118.0;Agent_1;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.59), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 1.00
119;119.0;Agent_1;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.59), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 1.00
120;120.0;Agent_1;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.59), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 1.00
121;121.0;Agent_1;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.59), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 1.00
122;122.0;Agent_1;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.59), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 1.00
