step;t_min;region;story;stage_tried;stage_accepted;fired_rules;suppression;deployment;containment;protection;evacuation;warning;quality;gate_min;J_forecast;J_noaction;attended
36;36;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.34] R26[0.19] A1[0.68] G2[0.60];0.19;0.50;0.16;0.90;0.69;0.00;0.93;0.10;0.3185;0.3277;1
37;37;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.34] R26[0.19] A1[0.68] G2[0.60];0.19;0.50;0.16;0.90;0.69;0.00;0.93;0.10;0.3188;0.3283;1
38;38;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.34] R26[0.19] A1[0.68] G2[0.60];0.19;0.49;0.16;0.90;0.69;0.00;0.93;0.10;0.3175;0.3272;1
39;39;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.34] R26[0.19] A1[0.68] G2[0.60];0.19;0.49;0.16;0.90;0.69;0.00;0.93;0.10;0.3196;0.3291;1
40;40;Agent_1;RL selected stage 2 [resolution increase] (deficit bucket: low) → rejected (instantiated cell did not improve the physical forecast (0.341 vs 0.341, burn+asset+pop at >=45 min) | seed-base decision stands, its orders are applied);2;0;R7[0.27] R20[0.34] R26[0.19] A1[0.68] G2[0.60];0.19;0.49;0.16;0.90;0.69;0.00;0.93;0.10;0.3182;0.3258;1
41;41;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.34] R26[0.19] A1[0.68] G2[0.60];0.19;0.49;0.16;0.90;0.69;0.00;0.93;0.10;0.3186;0.3299;1
42;42;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.33] R26[0.19] A1[0.68] G2[0.60];0.19;0.49;0.16;0.90;0.69;0.00;0.93;0.10;0.3222;0.3307;1
43;43;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.33] R26[0.19] A1[0.68] G2[0.60];0.19;0.48;0.16;0.90;0.69;0.00;0.93;0.10;0.3225;0.3299;1
44;44;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.33] R26[0.19] A1[0.68] G2[0.60];0.19;0.48;0.16;0.90;0.69;0.00;0.93;0.10;0.3229;0.3293;1
45;45;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.33] R26[0.19] A1[0.68] G2[0.60];0.19;0.48;0.16;0.90;0.69;0.00;0.93;0.10;0.3252;0.3305;1
46;46;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.33] R26[0.19] A1[0.68] G2[0.60];0.19;0.48;0.16;0.90;0.69;0.00;0.93;0.09;0.3236;0.3313;1
47;47;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.33] R26[0.19] A1[0.68] G2[0.60];0.19;0.48;0.16;0.90;0.69;0.00;0.93;0.09;0.3238;0.3336;1
