step,t_min,burning,burned,j_total,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,34,34,0.09676,0.26848,0.00000,0.00000,0.21145,8.27,0.00,0.068,188,140.5
2,2.0,34,36,0.14232,0.28427,0.00000,0.00000,0.84585,8.27,0.00,0.068,1309,628.7
3,3.0,35,37,0.14651,0.29217,0.00000,0.00000,0.87586,8.27,0.00,0.068,1325,652.4
4,4.0,36,38,0.14792,0.30006,0.00000,0.00000,0.86106,8.27,0.00,0.068,1334,639.3
5,5.0,37,39,0.15075,0.30796,0.00000,0.00000,0.86984,8.27,0.00,0.068,1343,645.0
6,6.0,38,40,0.15352,0.31586,0.00000,0.00000,0.87750,8.27,0.00,0.068,1352,650.1
7,7.0,39,41,0.15596,0.32375,0.00000,0.00000,0.87987,8.27,0.00,0.068,1353,651.1
8,8.0,40,42,0.15871,0.33165,0.00000,0.00000,0.88708,8.27,0.00,0.068,1362,656.1
9,9.0,41,43,0.16147,0.33955,0.00000,0.00000,0.89401,8.27,0.00,0.068,1371,661.1
10,10.0,41,43,0.16189,0.33955,0.00000,0.00000,0.90089,8.27,0.00,0.068,1380,666.0
11,11.0,42,44,0.16423,0.34744,0.00000,0.00000,0.90133,8.27,0.00,0.068,1380,666.1
12,12.0,43,45,0.16697,0.35534,0.00000,0.00000,0.90792,8.27,0.00,0.068,1389,670.9
13,13.0,44,46,0.16938,0.36323,0.00000,0.00000,0.90944,8.27,0.00,0.068,1390,671.8
14,14.0,45,47,0.17186,0.37113,0.00000,0.00000,0.91215,8.27,0.00,0.068,1392,673.6
15,15.0,45,47,0.17227,0.37113,0.00000,0.00000,0.91876,8.27,0.00,0.068,1401,678.4
16,16.0,46,48,0.17459,0.37903,0.00000,0.00000,0.91890,8.27,0.00,0.068,1401,678.4
17,17.0,46,48,0.17500,0.37903,0.00000,0.00000,0.92546,8.27,0.00,0.068,1410,683.2
18,18.0,46,48,0.17500,0.37903,0.00000,0.00000,0.92555,8.27,0.00,0.068,1410,683.3
19,19.0,47,49,0.17733,0.38692,0.00000,0.00000,0.92562,8.27,0.00,0.068,1410,683.3
20,20.0,49,51,0.18205,0.40272,0.00000,0.00000,0.92692,8.27,0.00,0.068,1411,684.1
21,21.0,50,52,0.18468,0.41061,0.00000,0.00000,0.93193,8.27,0.00,0.068,1415,687.5
22,22.0,51,53,0.18740,0.41851,0.00000,0.00000,0.93850,8.27,0.00,0.068,1424,692.3
23,23.0,51,53,0.18755,0.41851,0.00000,0.00000,0.94102,8.27,0.00,0.068,1426,694.0
24,24.0,51,53,0.18755,0.41851,0.00000,0.00000,0.94105,8.27,0.00,0.068,1426,694.0
25,25.0,53,55,0.19220,0.43430,0.00000,0.00000,0.94107,8.27,0.00,0.068,1426,694.0
26,26.0,53,55,0.19235,0.43430,0.00000,0.00000,0.94358,8.27,0.00,0.068,1428,695.7
