quantity;value
cycles;105
satisficing_failed;105
tried;24
accepted;7
rejected;17
withheld;0
persist_failed;0
dJ_accepted;-0.014069
stage1_tried;16
stage1_accepted;7
stage2_tried;4
stage2_accepted;0
stage3_tried;4
stage3_accepted;0
blocked: cooldown between adaptation trials;81
gate: rejected at G3 (no improvement);2
gate: rejected;1
gate: model timeout;1
"rejected: cell already covered — an active rule sits on this antecedent cell and the situation is crisp; numeric tuning is stage ① evFIS's job";3
rejected: rejected at G3 (claude);2
"rejected: rejected at G2 duplicate cell (claude) — an active rule already sits on this antecedent cell; re-issuing it with different numbers is stage ① evFIS's job, not a new rule";1
rejected: no improving perturbation found;9
rejected: the wait budget of 90 s for this attempt ran out during revision 3;1
rejected: refined cell already covered;1
