step,t_min,burning,burned,j_total,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,23,23,0.02912,0.07007,0.00000,0.00000,0.00014,8.27,0.00,0.159,188,11.3
2,2.0,25,25,0.03722,0.07593,0.00000,0.00000,0.00041,8.27,0.00,0.159,713,32.4
3,3.0,30,30,0.04170,0.09041,0.00000,0.00000,0.00068,8.27,0.00,0.159,719,32.7
4,4.0,36,36,0.05010,0.10748,0.00000,0.00000,0.00148,8.27,0.00,0.159,835,80.6
5,5.0,42,42,0.05507,0.12424,0.00000,0.00000,0.00239,8.27,0.00,0.159,865,90.1
6,6.0,48,48,0.05988,0.14068,0.00000,0.00000,0.00338,8.27,0.00,0.159,879,96.9
7,7.0,51,51,0.06229,0.14878,0.00000,0.00000,0.00446,8.27,0.00,0.159,901,104.8
8,8.0,60,60,0.06931,0.17264,0.00000,0.00000,0.00559,8.27,0.00,0.159,912,109.5
9,9.0,64,64,0.07250,0.18303,0.00000,0.00000,0.00686,8.27,0.00,0.159,948,121.5
10,10.0,66,66,0.07408,0.18817,0.00000,0.00000,0.00817,8.27,0.00,0.159,960,126.3
11,11.0,72,72,0.07479,0.20341,0.00000,0.00000,0.01043,8.27,0.00,0.160,970,203.7
12,12.0,77,77,0.07879,0.21589,0.00000,0.00000,0.01277,8.27,0.00,0.160,992,211.1
13,13.0,82,82,0.08268,0.22818,0.00000,0.00000,0.01517,8.27,0.00,0.160,1006,217.0
14,14.0,86,86,0.08574,0.23787,0.00000,0.00000,0.01764,8.27,0.00,0.160,1017,222.7
15,15.0,90,90,0.08881,0.24744,0.00000,0.00000,0.02018,8.27,0.00,0.160,1042,229.4
16,16.0,98,98,0.09461,0.26621,0.00000,0.00000,0.02277,8.27,0.00,0.160,1056,234.5
17,17.0,101,101,0.09700,0.27314,0.00000,0.00000,0.02545,8.27,0.00,0.160,1074,241.8
18,18.0,103,103,0.09862,0.27771,0.00000,0.00000,0.02816,8.27,0.00,0.161,1085,245.0
19,19.0,107,107,0.10151,0.28678,0.00000,0.00000,0.03089,8.27,0.00,0.161,1095,247.6
20,20.0,112,112,0.10505,0.29796,0.00000,0.00000,0.03371,8.27,0.00,0.161,1117,254.3
21,21.0,116,116,0.10790,0.30677,0.00000,0.00000,0.03662,8.27,0.00,0.161,1140,263.7
22,22.0,123,123,0.11266,0.32193,0.00000,0.00000,0.03959,8.27,0.00,0.161,1153,268.9
23,23.0,128,128,0.11608,0.33255,0.00000,0.00000,0.04265,8.27,0.00,0.161,1169,276.4
24,24.0,135,135,0.12061,0.34715,0.00000,0.00000,0.04576,8.27,0.00,0.161,1186,282.2
25,25.0,144,144,0.12632,0.36545,0.00000,0.00000,0.04898,8.27,0.00,0.162,1207,290.9
26,26.0,150,150,0.13012,0.37736,0.00000,0.00000,0.05232,8.27,0.00,0.162,1238,302.6
27,27.0,158,158,0.13504,0.39289,0.00000,0.00000,0.05574,8.27,0.00,0.162,1260,310.1
28,28.0,166,166,0.13973,0.40804,0.00000,0.00000,0.05923,8.27,0.00,0.162,1269,315.5
