step;j_candidate;j_noaction;satisficing_bound;phys_candidate;phys_noaction
0;0.223888;0.223888;0.212694;0.265285;0.265285
0;0.223888;0.223888;0.212694;0.265285;0.265285
1;0.225438;0.225438;0.214166;0.276421;0.276421
2;0.227454;0.227452;0.216080;0.276421;0.276421
3;0.214134;0.229122;0.217666;0.256821;0.278948
4;0.215589;0.215643;0.204861;0.256821;0.278948
5;0.217364;0.217446;0.206574;0.254680;0.265285
6;0.219864;0.220514;0.209489;0.254680;0.265285
7;0.223041;0.221498;0.210423;0.254680;0.265285
8;0.225500;0.221508;0.210433;0.254680;0.265285
9;0.227394;0.225251;0.213988;0.254680;0.265285
10;0.228389;0.225126;0.213870;0.264447;0.270512
10;0.228389;0.225126;0.213870;0.264447;0.270512
11;0.234810;0.227702;0.216317;0.254680;0.265285
12;0.233984;0.228436;0.217014;0.254680;0.265285
13;0.234682;0.232023;0.220422;0.254680;0.265285
14;0.236909;0.231481;0.219907;0.263602;0.269894
15;0.238830;0.232506;0.220881;0.264356;0.270512
15;0.238831;0.232506;0.220881;0.264356;0.270512
16;0.241115;0.234421;0.222700;0.264356;0.270512
17;0.241740;0.234805;0.223065;0.264356;0.270512
18;0.243859;0.237726;0.225839;0.264356;0.270512
19;0.245992;0.240024;0.228023;0.264356;0.270512
20;0.247099;0.238132;0.226225;0.264356;0.270512
21;0.247779;0.239495;0.227520;0.264356;0.270512
22;0.250006;0.241357;0.229289;0.264356;0.270512
23;0.251289;0.243334;0.231167;0.264356;0.270512
24;0.253575;0.244194;0.231984;0.268684;0.273758
25;0.254430;0.243819;0.231628;0.268726;0.271276
26;0.255148;0.244784;0.232545;0.268091;0.270305
27;0.256135;0.246177;0.233869;0.268091;0.270305
28;0.258067;0.247131;0.234774;0.268091;0.270305
29;0.260392;0.248829;0.236388;0.270701;0.271975
30;0.260873;0.250518;0.237992;0.270701;0.271975
31;0.261568;0.251600;0.239020;0.270162;0.273048
32;0.263195;0.251824;0.239233;0.271020;0.272588
33;0.263019;0.253623;0.240942;0.271020;0.272588
34;0.265352;0.253985;0.241286;0.271927;0.273468
35;0.265915;0.255384;0.242615;0.272980;0.274005
36;0.266588;0.256546;0.243719;0.272105;0.274994
37;0.268691;0.257551;0.244674;0.272105;0.275276
38;0.268806;0.257229;0.244368;0.268493;0.274375
39;0.269662;0.259593;0.246614;0.268493;0.274375
40;0.269809;0.258085;0.245181;0.268493;0.274375
41;0.271114;0.259646;0.246664;0.269242;0.274622
42;0.271617;0.259087;0.246132;0.269242;0.274622
43;0.271881;0.259966;0.246968;0.269242;0.274622
44;0.274812;0.260546;0.247518;0.270200;0.273055
45;0.275436;0.261861;0.248768;0.270200;0.273055
46;0.276992;0.262588;0.249458;0.270200;0.273055
47;0.276406;0.262352;0.249234;0.270200;0.273055
48;0.277077;0.264030;0.250828;0.270200;0.273055
49;0.277883;0.264782;0.251543;0.270200;0.273055
50;0.278873;0.264885;0.251641;0.270200;0.273055
51;0.279941;0.265828;0.252537;0.270200;0.273055
52;0.280503;0.266544;0.253216;0.270200;0.273055
53;0.281736;0.267410;0.254040;0.270200;0.273055
54;0.282580;0.268302;0.254887;0.270725;0.273405
55;0.282925;0.268874;0.255430;0.270725;0.273405
56;0.283981;0.269867;0.256373;0.270725;0.273405
57;0.284861;0.270932;0.257386;0.270725;0.273405
58;0.285540;0.271239;0.257677;0.270725;0.273405
59;0.286367;0.272029;0.258428;0.270725;0.273405
60;0.287279;0.273792;0.260102;0.270725;0.273405
61;0.288039;0.273774;0.260086;0.270725;0.273405
62;0.288835;0.274761;0.261023;0.270725;0.273405
63;0.289693;0.274669;0.260935;0.270725;0.273405
64;0.290667;0.275726;0.261940;0.271350;0.273665
65;0.291428;0.276344;0.262527;0.271350;0.273665
66;0.292281;0.279002;0.265052;0.271350;0.273665
67;0.292992;0.277846;0.263953;0.271350;0.273665
68;0.293777;0.278694;0.264760;0.271350;0.273665
69;0.294662;0.279770;0.265781;0.271350;0.273665
70;0.295508;0.280646;0.266613;0.271350;0.273665
71;0.296626;0.281133;0.267077;0.271350;0.273665
72;0.297631;0.282326;0.268210;0.271350;0.273665
73;0.298625;0.283101;0.268946;0.271350;0.273665
74;0.299443;0.284166;0.269958;0.273255;0.275669
75;0.300058;0.284608;0.270378;0.273255;0.275669
76;0.301616;0.285579;0.271300;0.273255;0.275669
77;0.302605;0.286208;0.271898;0.273255;0.275669
78;0.303523;0.286653;0.272320;0.273255;0.275669
79;0.304137;0.287745;0.273357;0.273255;0.275669
80;0.304919;0.288099;0.273694;0.273255;0.275669
81;0.306133;0.290458;0.275935;0.273255;0.275669
82;0.307822;0.290089;0.275585;0.273255;0.275669
83;0.308841;0.290359;0.275841;0.273255;0.275669
84;0.309834;0.292121;0.277515;0.274560;0.277540
85;0.309966;0.291968;0.277370;0.274560;0.277540
