step;j_candidate;j_noaction;satisficing_bound;phys_candidate;phys_noaction
0;0.253417;0.253417;0.248349;0.287321;0.287321
0;0.253417;0.253417;0.248349;0.287321;0.287321
1;0.254586;0.254586;0.249494;0.288646;0.288646
2;0.257363;0.257363;0.250000;0.291795;0.291795
3;0.058828;0.257291;0.250000;0.044675;0.291713
4;0.054665;0.061805;0.060569;0.038218;0.069236
5;0.054181;0.064382;0.063095;0.035721;0.071204
6;0.055307;0.067036;0.065695;0.034879;0.073143
7;0.056020;0.063470;0.062200;0.034879;0.067907
8;0.056537;0.063301;0.062035;0.034879;0.066566
9;0.057535;0.063074;0.061812;0.034879;0.065210
