step,t_min,burning,burned,j_total,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,24,24,0.02694,0.07300,0.00000,0.00000,0.00172,8.27,0.00,0.068,188,140.5
2,2.0,26,26,0.03331,0.07884,0.00000,0.00000,0.00638,8.27,0.00,0.068,813,419.1
3,3.0,27,27,0.03461,0.08175,0.00000,0.00000,0.01124,8.27,0.00,0.069,831,437.5
4,4.0,28,28,0.03573,0.08464,0.00000,0.00000,0.01605,8.27,0.00,0.069,840,432.6
5,5.0,28,28,0.03602,0.08464,0.00000,0.00000,0.02093,8.27,0.00,0.069,849,438.1
6,6.0,29,29,0.03712,0.08753,0.00000,0.00000,0.02581,8.27,0.00,0.070,849,438.3
7,7.0,30,30,0.03827,0.09041,0.00000,0.00000,0.03075,8.27,0.00,0.070,858,443.3
8,8.0,32,32,0.04023,0.09613,0.00000,0.00000,0.03571,8.27,0.00,0.071,859,444.3
9,9.0,32,32,0.04051,0.09613,0.00000,0.00000,0.04070,8.27,0.00,0.071,860,447.7
10,10.0,33,33,0.04163,0.09898,0.00000,0.00000,0.04570,8.27,0.00,0.071,860,447.8
11,11.0,34,34,0.04269,0.10183,0.00000,0.00000,0.05070,8.27,0.00,0.072,854,447.0
12,12.0,34,34,0.04297,0.10183,0.00000,0.00000,0.05570,8.27,0.00,0.072,850,447.0
13,13.0,36,36,0.04492,0.10748,0.00000,0.00000,0.06069,8.27,0.00,0.072,849,446.7
14,14.0,37,37,0.04600,0.11030,0.00000,0.00000,0.06569,8.27,0.00,0.073,844,446.2
