step,t_min,burning,burned,j_total,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,15,15,0.01107,0.03766,0.00000,0.00000,0.00000,7.40,0.00,0.156,0,0.0
2,2.0,15,15,0.01926,0.03766,0.00000,0.00000,0.00104,7.40,0.00,0.157,2010,1100.6
3,3.0,18,18,0.01330,0.04501,0.00000,0.00000,0.00104,7.40,0.00,0.157,0,0.0
4,4.0,29,29,0.02109,0.07152,0.00000,0.00000,0.00104,7.40,0.00,0.157,0,0.0
5,5.0,59,59,0.04126,0.14013,0.00000,0.00000,0.00104,7.40,0.00,0.157,0,0.0
6,6.0,93,93,0.06232,0.21178,0.00000,0.00000,0.00104,7.40,0.00,0.157,0,0.0
7,7.0,135,135,0.08594,0.29209,0.00000,0.00000,0.00104,7.40,0.00,0.157,0,0.0
8,8.0,178,178,0.10762,0.36585,0.00000,0.00000,0.00104,7.40,0.00,0.157,0,0.0
9,9.0,184,203,0.12575,0.40515,0.00000,0.00000,0.00197,7.40,0.00,0.157,2603,986.7
10,10.0,200,220,0.13312,0.43047,0.00000,0.00000,0.00283,7.40,0.00,0.158,2259,909.8
11,11.0,205,228,0.13632,0.44201,0.00000,0.00000,0.00428,7.40,0.00,0.159,2290,1522.4
12,12.0,209,236,0.13973,0.45332,0.00000,0.00000,0.00573,7.40,0.00,0.160,2307,1532.7
13,13.0,211,240,0.14145,0.45889,0.00000,0.00000,0.00720,7.40,0.00,0.161,2326,1542.1
14,14.0,216,248,0.14477,0.46985,0.00000,0.00000,0.00867,7.40,0.00,0.162,2337,1548.0
15,15.0,222,258,0.14880,0.48324,0.00000,0.00000,0.01015,7.40,0.00,0.163,2366,1561.0
16,16.0,227,266,0.15198,0.49371,0.00000,0.00000,0.01164,7.40,0.00,0.164,2391,1576.1
17,17.0,227,272,0.15434,0.50143,0.00000,0.00000,0.01315,7.40,0.00,0.165,2423,1591.6
18,18.0,230,278,0.15666,0.50902,0.00000,0.00000,0.01466,7.40,0.00,0.166,2415,1586.9
19,19.0,234,286,0.15968,0.51897,0.00000,0.00000,0.01618,7.40,0.00,0.166,2434,1599.0
20,20.0,236,294,0.16264,0.52872,0.00000,0.00000,0.01770,7.40,0.00,0.167,2453,1610.3
21,21.0,239,302,0.16554,0.53827,0.00000,0.00000,0.01924,7.40,0.00,0.168,2462,1616.0
22,22.0,237,308,0.16772,0.54530,0.00000,0.00000,0.02079,7.40,0.00,0.169,2509,1635.2
23,23.0,238,315,0.17019,0.55338,0.00000,0.00000,0.02234,7.40,0.00,0.169,2512,1641.2
24,24.0,237,322,0.17261,0.56131,0.00000,0.00000,0.02390,7.40,0.00,0.170,2520,1643.3
25,25.0,241,331,0.17566,0.57129,0.00000,0.00000,0.02548,7.40,0.00,0.171,2570,1666.5
26,26.0,251,351,0.18206,0.59268,0.00000,0.00000,0.02707,7.40,0.00,0.171,2583,1682.9
27,27.0,252,365,0.18638,0.60701,0.00000,0.00000,0.02868,7.40,0.00,0.172,2594,1694.9
28,28.0,270,390,0.19367,0.63137,0.00000,0.00000,0.03028,7.40,0.00,0.173,2622,1703.4
29,29.0,442,480,0.20970,0.70720,0.00000,0.00000,0.03028,7.40,0.00,0.173,0,0.0
30,30.0,467,504,0.21483,0.72464,0.00000,0.00000,0.03028,7.40,0.00,0.173,0,0.0
31,31.0,497,533,0.22062,0.74433,0.00000,0.00000,0.03028,7.40,0.00,0.173,0,0.0
