quantity;value
cycles;52
satisficing_failed;52
tried;10
accepted;2
rejected;8
withheld;0
persist_failed;0
dJ_accepted;-0.002425
stage1_tried;3
stage1_accepted;0
stage2_tried;4
stage2_accepted;0
stage3_tried;3
stage3_accepted;2
blocked: cooldown between adaptation trials;42
gate: rejected at G3 (no improvement);1
gate: admitted (package, G5 margin cleared);2
"rejected: cell already covered — an active rule sits on this antecedent cell and the situation is crisp; numeric tuning is stage ① evFIS's job";4
rejected: rejected at G3 (claude);1
rejected: no improving perturbation found;3
