quantity;value
cycles;50
satisficing_failed;50
tried;10
accepted;2
rejected;8
withheld;0
persist_failed;0
dJ_accepted;0.000621
stage1_tried;2
stage1_accepted;0
stage2_tried;3
stage2_accepted;0
stage3_tried;5
stage3_accepted;2
blocked: cooldown between adaptation trials;40
gate: rejected at G3 (no improvement);3
gate: admitted (package, G5 margin cleared);1
gate: admitted (improves G3 + G4);1
rejected: rejected at G3 (claude);3
"rejected: cell already covered — an active rule sits on this antecedent cell and the situation is crisp; numeric tuning is stage ① evFIS's job";3
rejected: no improving perturbation found;2
