step,t_min,burning,burned,j_total,j_physical,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,170,170,0.10271,0.11645,0.34936,0.00000,0.00000,0.00000,8.27,0.00,0.159,0,0.0
2,2.0,172,172,0.10350,0.11734,0.35203,0.00000,0.00000,0.00000,8.27,0.00,0.159,0,0.0
3,3.0,178,178,0.10581,0.11996,0.35989,0.00000,0.00000,0.00000,8.27,0.00,0.159,0,0.0
4,4.0,190,190,0.12840,0.12502,0.37505,0.00000,0.00000,0.00048,8.27,0.00,0.159,1346,23.6
5,5.0,210,210,0.13557,0.13293,0.39878,0.00000,0.00000,0.00099,8.27,0.00,0.159,1352,24.9
6,6.0,234,234,0.14345,0.14166,0.42499,0.00000,0.00000,0.00153,8.27,0.00,0.159,1364,26.1
7,7.0,257,257,0.15041,0.14935,0.44805,0.00000,0.00000,0.00207,8.27,0.00,0.159,1383,27.2
8,8.0,290,290,0.15935,0.15936,0.47807,0.00000,0.00000,0.00264,8.27,0.00,0.159,1405,28.0
9,9.0,319,319,0.16649,0.16730,0.50189,0.00000,0.00000,0.00322,8.27,0.00,0.159,1434,29.2
10,10.0,336,336,0.17043,0.17162,0.51486,0.00000,0.00000,0.00384,8.27,0.00,0.159,1460,31.0
11,11.0,360,360,0.17559,0.17736,0.53207,0.00000,0.00000,0.00450,8.27,0.00,0.159,1502,33.1
12,12.0,382,382,0.18000,0.18227,0.54681,0.00000,0.00000,0.00519,8.27,0.00,0.159,1537,34.4
13,13.0,405,405,0.18415,0.18708,0.56125,0.00000,0.00000,0.00592,8.27,0.00,0.159,1599,37.2
14,14.0,434,434,0.18918,0.19273,0.57820,0.00000,0.00000,0.00668,8.27,0.00,0.159,1617,38.1
15,15.0,467,467,0.19448,0.19866,0.59597,0.00000,0.00000,0.00745,8.27,0.00,0.159,1643,39.0
16,16.0,492,492,0.19821,0.20282,0.60846,0.00000,0.00000,0.00825,8.27,0.00,0.159,1669,40.0
17,17.0,518,518,0.20181,0.20689,0.62066,0.00000,0.00000,0.00908,8.27,0.00,0.159,1711,41.6
18,18.0,556,556,0.20668,0.21239,0.63718,0.00000,0.00000,0.00994,8.27,0.00,0.159,1752,43.0
19,19.0,598,598,0.21165,0.21795,0.65384,0.00000,0.00000,0.01082,8.27,0.00,0.159,1784,43.9
20,20.0,628,628,0.21493,0.22161,0.66483,0.00000,0.00000,0.01171,8.27,0.00,0.159,1809,44.8
21,21.0,666,666,0.21881,0.22593,0.67779,0.00000,0.00000,0.01261,8.27,0.00,0.159,1831,45.6
22,22.0,708,708,0.22273,0.23033,0.69100,0.00000,0.00000,0.01353,8.27,0.00,0.159,1881,46.8
23,23.0,741,741,0.22559,0.23355,0.70064,0.00000,0.00000,0.01447,8.27,0.00,0.159,1899,47.2
24,24.0,765,765,0.22757,0.23576,0.70729,0.00000,0.00000,0.01541,8.27,0.00,0.159,1930,48.2
25,25.0,810,810,0.23107,0.23966,0.71898,0.00000,0.00000,0.01638,8.27,0.00,0.159,1971,49.3
26,26.0,849,849,0.23394,0.24279,0.72838,0.00000,0.00000,0.01735,8.27,0.00,0.159,2000,49.9
27,27.0,885,885,0.23640,0.24551,0.73652,0.00000,0.00000,0.01833,8.27,0.00,0.159,2012,50.2
28,28.0,935,935,0.23944,0.24902,0.74704,0.00000,0.00000,0.01936,8.27,0.00,0.159,2071,52.0
29,29.0,964,964,0.24120,0.25093,0.75277,0.00000,0.00001,0.02040,8.27,0.00,0.159,2090,52.4
30,30.0,1006,1006,0.24359,0.25354,0.76062,0.00000,0.00001,0.02144,8.27,0.00,0.159,2107,52.7
31,31.0,1039,1039,0.24536,0.25549,0.76645,0.00000,0.00001,0.02250,8.27,0.00,0.159,2171,54.2
32,32.0,1075,1075,0.24718,0.25750,0.77249,0.00000,0.00002,0.02359,8.27,0.00,0.159,2198,55.2
33,33.0,1115,1115,0.24910,0.25962,0.77885,0.00000,0.00002,0.02469,8.27,0.00,0.159,2231,56.1
34,34.0,1162,1162,0.25124,0.26197,0.78588,0.00000,0.00002,0.02579,8.27,0.00,0.159,2247,56.5
35,35.0,1194,1194,0.25261,0.26348,0.79041,0.00000,0.00003,0.02691,8.27,0.00,0.159,2297,57.5
36,36.0,1226,1226,0.25389,0.26494,0.79476,0.00000,0.00004,0.02806,8.27,0.00,0.159,2326,58.4
37,37.0,1259,1259,0.25520,0.26637,0.79906,0.00000,0.00005,0.02924,8.27,0.00,0.159,2370,59.6
38,38.0,1287,1287,0.25633,0.26754,0.80257,0.00000,0.00006,0.03041,8.27,0.00,0.159,2385,59.8
39,39.0,1320,1320,0.25757,0.26887,0.80655,0.00000,0.00007,0.03160,8.27,0.00,0.159,2425,60.5
40,40.0,1357,1357,0.25888,0.27030,0.81083,0.00000,0.00008,0.03280,8.27,0.00,0.159,2467,61.3
41,41.0,1387,1387,0.25990,0.27141,0.81416,0.00000,0.00009,0.03402,8.27,0.00,0.159,2497,62.1
42,42.0,1424,1424,0.26113,0.27273,0.81811,0.00000,0.00009,0.03525,8.27,0.00,0.159,2519,62.7
43,43.0,1459,1459,0.26221,0.27393,0.82169,0.00000,0.00010,0.03649,8.27,0.00,0.159,2550,63.5
44,44.0,1494,1494,0.26327,0.27508,0.82514,0.00000,0.00011,0.03775,8.27,0.00,0.159,2573,64.1
45,45.0,1529,1529,0.26431,0.27619,0.82846,0.00000,0.00012,0.03903,8.27,0.00,0.159,2599,64.7
46,46.0,1550,1550,0.26486,0.27684,0.83039,0.00000,0.00013,0.04033,8.27,0.00,0.159,2646,66.0
47,47.0,1580,1580,0.26571,0.27774,0.83307,0.00000,0.00014,0.04165,8.27,0.00,0.159,2663,66.8
48,48.0,1609,1609,0.26653,0.27858,0.83558,0.00000,0.00015,0.04298,8.27,0.00,0.159,2688,67.2
49,49.0,1636,1636,0.26727,0.27934,0.83786,0.00000,0.00016,0.04431,8.27,0.00,0.159,2700,67.4
50,50.0,1655,1655,0.26779,0.27986,0.83942,0.00000,0.00016,0.04566,8.27,0.00,0.159,2725,67.9
51,51.0,1674,1674,0.24998,0.28037,0.84095,0.00000,0.00017,0.04566,8.27,0.00,0.159,0,0.0
52,52.0,1698,1698,0.26887,0.28101,0.84285,0.00000,0.00018,0.04704,8.27,0.00,0.159,2779,69.0
53,53.0,1717,1717,0.26937,0.28150,0.84432,0.00000,0.00019,0.04843,8.27,0.00,0.159,2808,69.5
54,54.0,1737,1737,0.26989,0.28201,0.84583,0.00000,0.00019,0.04983,8.27,0.00,0.160,2819,69.7
55,55.0,1756,1756,0.27039,0.28248,0.84725,0.00000,0.00020,0.05123,8.27,0.00,0.160,2830,69.9
56,56.0,1774,1774,0.27086,0.28292,0.84856,0.00000,0.00020,0.05264,8.27,0.00,0.160,2848,70.1
57,57.0,1790,1790,0.27124,0.28331,0.84971,0.00000,0.00021,0.05407,8.27,0.00,0.160,2857,71.0
58,58.0,1812,1812,0.27176,0.28382,0.85126,0.00000,0.00021,0.05552,8.27,0.00,0.160,2884,71.4
59,59.0,1831,1831,0.27223,0.28427,0.85258,0.00000,0.00022,0.05697,8.27,0.00,0.160,2892,71.5
