quantity;value
cycles;29
satisficing_failed;16
tried;5
accepted;1
rejected;4
withheld;0
persist_failed;0
dJ_accepted;-0.040135
stage1_tried;3
stage1_accepted;1
stage2_tried;1
stage2_accepted;0
stage3_tried;1
stage3_accepted;0
blocked: cooldown between adaptation trials;12
gate: rejected at G3 (no improvement);1
rejected: no improving perturbation found;2
"rejected: cell already covered — an active rule sits on this antecedent cell and the situation is crisp; numeric tuning is stage ① evFIS's job";1
rejected: rejected at G3 (claude);1
