step,t_min,burning,burned,j_total,j_physical,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,14,14,0.01245,0.01412,0.04235,0.00000,0.00000,0.00000,8.27,0.00,0.067,0,0.0
2,2.0,21,21,0.01829,0.02073,0.06220,0.00000,0.00000,0.00000,8.27,0.00,0.067,0,0.0
3,3.0,29,29,0.02467,0.02797,0.08391,0.00000,0.00000,0.00000,8.27,0.00,0.067,0,0.0
4,4.0,36,36,0.04315,0.03403,0.10210,0.00000,0.00000,0.01364,8.27,0.00,0.071,278,323.5
5,5.0,30,36,0.04399,0.03403,0.10210,0.00000,0.00000,0.02899,8.27,0.00,0.072,309,361.7
6,6.0,28,36,0.04499,0.03403,0.10210,0.00000,0.00000,0.04607,8.27,0.00,0.073,341,400.7
7,7.0,28,36,0.04610,0.03403,0.10210,0.00000,0.00000,0.06429,8.27,0.00,0.074,364,428.6
8,8.0,28,36,0.04711,0.03403,0.10210,0.00000,0.00000,0.08199,8.27,0.00,0.075,351,414.6
9,9.0,28,36,0.04805,0.03403,0.10210,0.00000,0.00000,0.09875,8.27,0.00,0.075,332,392.9
10,10.0,28,36,0.04904,0.03403,0.10210,0.00000,0.00000,0.11554,8.27,0.00,0.075,332,393.6
11,11.0,28,36,0.05004,0.03403,0.10210,0.00000,0.00000,0.13234,8.27,0.00,0.075,332,394.1
12,12.0,28,36,0.05103,0.03403,0.10210,0.00000,0.00000,0.14915,8.27,0.00,0.076,332,394.4
13,13.0,28,36,0.05204,0.03403,0.10210,0.00000,0.00000,0.16596,8.27,0.00,0.076,332,394.6
14,14.0,28,36,0.05304,0.03403,0.10210,0.00000,0.00000,0.18277,8.27,0.00,0.076,332,394.7
15,15.0,28,36,0.05404,0.03403,0.10210,0.00000,0.00000,0.19958,8.27,0.00,0.076,332,394.7
16,16.0,28,36,0.05503,0.03403,0.10210,0.00000,0.00000,0.21639,8.27,0.00,0.076,332,394.8
17,17.0,28,36,0.05602,0.03403,0.10210,0.00000,0.00000,0.23320,8.27,0.00,0.077,332,394.8
18,18.0,28,36,0.05702,0.03403,0.10210,0.00000,0.00000,0.25001,8.27,0.00,0.077,332,394.9
19,19.0,28,36,0.05801,0.03403,0.10210,0.00000,0.00000,0.26682,8.27,0.00,0.077,332,395.0
20,20.0,28,36,0.05900,0.03403,0.10210,0.00000,0.00000,0.28364,8.27,0.00,0.077,332,395.0
21,21.0,28,36,0.06000,0.03403,0.10210,0.00000,0.00000,0.30045,8.27,0.00,0.077,332,395.0
22,22.0,28,36,0.06099,0.03403,0.10210,0.00000,0.00000,0.31727,8.27,0.00,0.077,332,395.1
23,23.0,28,36,0.06198,0.03403,0.10210,0.00000,0.00000,0.33408,8.27,0.00,0.077,332,395.1
24,24.0,28,36,0.06298,0.03403,0.10210,0.00000,0.00000,0.35089,8.27,0.00,0.078,332,395.1
25,25.0,27,36,0.06398,0.03403,0.10210,0.00000,0.00000,0.36769,8.27,0.00,0.078,332,395.1
26,26.0,19,36,0.06498,0.03403,0.10210,0.00000,0.00000,0.38448,8.27,0.00,0.078,332,395.0
27,27.0,5,36,0.06598,0.03403,0.10210,0.00000,0.00000,0.40126,8.27,0.00,0.078,332,395.0
28,28.0,0,36,0.06697,0.03403,0.10210,0.00000,0.00000,0.41798,8.27,0.00,0.078,331,393.8
29,29.0,1,37,0.06864,0.03488,0.10464,0.00000,0.00000,0.43435,8.27,0.00,0.078,324,385.5
30,30.0,14,44,0.07449,0.04067,0.12202,0.00000,0.00000,0.44719,8.27,0.00,0.078,254,302.7
31,31.0,25,53,0.06854,0.04780,0.14340,0.00000,0.00000,0.44719,8.27,0.00,0.078,0,0.0
32,32.0,7,53,0.08143,0.04780,0.14340,0.00000,0.00000,0.45652,8.27,0.00,0.079,193,226.3
33,33.0,5,53,0.08248,0.04780,0.14340,0.00000,0.00000,0.47520,8.27,0.00,0.080,370,439.4
34,34.0,2,53,0.08353,0.04780,0.14340,0.00000,0.00000,0.49607,8.27,0.00,0.080,409,486.5
35,35.0,2,53,0.08445,0.04780,0.14340,0.00000,0.00000,0.51328,8.27,0.00,0.080,341,404.9
36,36.0,2,53,0.08542,0.04780,0.14340,0.00000,0.00000,0.52947,8.27,0.00,0.080,321,381.6
37,37.0,2,54,0.08751,0.04857,0.14571,0.00000,0.00000,0.53998,8.27,0.00,0.080,210,249.9
38,38.0,2,54,0.08812,0.04857,0.14571,0.00000,0.00000,0.55051,8.27,0.00,0.080,210,250.0
39,39.0,1,54,0.08872,0.04857,0.14571,0.00000,0.00000,0.56105,8.27,0.00,0.080,210,250.1
40,40.0,0,54,0.08860,0.04857,0.14571,0.00000,0.00000,0.57267,8.27,0.00,0.080,227,271.4
41,41.0,0,54,0.08927,0.04857,0.14571,0.00000,0.00000,0.58429,8.27,0.00,0.080,227,271.5
42,42.0,0,54,0.08954,0.04857,0.14571,0.00000,0.00000,0.59414,8.27,0.00,0.081,193,230.7
