quantity;value
cycles;66
satisficing_failed;66
tried;16
accepted;8
rejected;8
withheld;0
persist_failed;0
dJ_accepted;-0.048616
stage1_tried;10
stage1_accepted;7
stage2_tried;3
stage2_accepted;0
stage3_tried;3
stage3_accepted;1
blocked: cooldown between adaptation trials;50
gate: admitted (improves G3 + G4);1
gate: rejected at G3 (no improvement);2
"rejected: cell already covered — an active rule sits on this antecedent cell and the situation is crisp; numeric tuning is stage ① evFIS's job";3
rejected: no improving perturbation found;3
rejected: rejected at G3 (claude);2
