step,t_min,burning,burned,j_total,j_physical,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,170,170,0.10271,0.11645,0.34936,0.00000,0.00000,0.00000,8.27,0.00,0.159,0,0.0
2,2.0,172,172,0.10350,0.11734,0.35203,0.00000,0.00000,0.00000,8.27,0.00,0.159,0,0.0
3,3.0,178,178,0.10581,0.11996,0.35989,0.00000,0.00000,0.00000,8.27,0.00,0.159,0,0.0
4,4.0,185,185,0.11809,0.12294,0.36882,0.00000,0.00000,0.01431,8.27,0.00,0.164,224,304.6
5,5.0,199,199,0.12396,0.12865,0.38596,0.00000,0.00000,0.02861,8.27,0.00,0.164,222,304.0
6,6.0,208,209,0.12823,0.13255,0.39764,0.00000,0.00000,0.04291,8.27,0.00,0.164,220,303.6
7,7.0,228,229,0.13556,0.13991,0.41972,0.00000,0.00000,0.05721,8.27,0.00,0.164,219,303.1
8,8.0,243,246,0.14165,0.14575,0.43726,0.00000,0.00000,0.07149,8.27,0.00,0.165,220,302.5
9,9.0,259,263,0.14734,0.15125,0.45376,0.00000,0.00000,0.08581,8.27,0.00,0.165,220,303.0
10,10.0,270,274,0.15117,0.15464,0.46393,0.00000,0.00000,0.10010,8.27,0.00,0.165,219,302.1
11,11.0,284,290,0.15620,0.15936,0.47807,0.00000,0.00000,0.11441,8.27,0.00,0.166,219,302.5
12,12.0,297,307,0.16124,0.16410,0.49230,0.00000,0.00000,0.12867,8.27,0.00,0.167,218,301.3
13,13.0,304,321,0.16547,0.16782,0.50345,0.00000,0.00000,0.14295,8.27,0.00,0.167,220,301.5
14,14.0,310,332,0.16879,0.17062,0.51187,0.00000,0.00000,0.15724,8.27,0.00,0.167,220,301.7
15,15.0,316,350,0.17352,0.17502,0.52505,0.00000,0.00000,0.17152,8.27,0.00,0.168,220,301.3
16,16.0,324,365,0.17749,0.17850,0.53550,0.00000,0.00000,0.18581,8.27,0.00,0.168,221,301.5
17,17.0,334,381,0.18154,0.18205,0.54616,0.00000,0.00000,0.20012,8.27,0.00,0.168,224,302.7
18,18.0,348,402,0.18617,0.18647,0.55942,0.00000,0.00000,0.21442,8.27,0.00,0.169,232,301.1
19,19.0,361,422,0.19045,0.19045,0.57135,0.00000,0.00000,0.22874,8.27,0.00,0.169,239,300.3
20,20.0,375,447,0.19527,0.19513,0.58539,0.00000,0.00000,0.24304,8.27,0.00,0.170,261,298.2
21,21.0,378,464,0.19885,0.19814,0.59441,0.00000,0.00000,0.25735,8.27,0.00,0.170,245,299.2
22,22.0,390,486,0.20300,0.20184,0.60553,0.00000,0.00000,0.27164,8.27,0.00,0.170,241,299.1
23,23.0,398,502,0.20600,0.20441,0.61324,0.00000,0.00000,0.28592,8.27,0.00,0.171,240,298.9
24,24.0,407,516,0.20852,0.20658,0.61975,0.00000,0.00000,0.30020,8.27,0.00,0.172,266,296.6
25,25.0,422,532,0.21110,0.20897,0.62691,0.00000,0.00000,0.31450,8.27,0.00,0.172,282,295.7
26,26.0,443,555,0.21449,0.21225,0.63676,0.00000,0.00000,0.32880,8.27,0.00,0.173,291,294.9
27,27.0,462,578,0.21803,0.21537,0.64610,0.00000,0.00000,0.34310,8.27,0.00,0.173,308,295.3
28,28.0,468,595,0.22107,0.21757,0.65270,0.00000,0.00000,0.35735,8.27,0.00,0.174,286,294.0
29,29.0,471,610,0.22393,0.21944,0.65832,0.00000,0.00001,0.37165,8.27,0.00,0.174,284,295.7
30,30.0,478,623,0.22632,0.22102,0.66305,0.00000,0.00001,0.38591,8.27,0.00,0.174,283,295.5
31,31.0,481,632,0.22787,0.22208,0.66624,0.00000,0.00001,0.40022,8.27,0.00,0.175,307,297.2
32,32.0,495,647,0.23010,0.22382,0.67144,0.00000,0.00001,0.41453,8.27,0.00,0.175,346,297.0
33,33.0,509,662,0.23251,0.22550,0.67648,0.00000,0.00001,0.42884,8.27,0.00,0.175,383,300.7
34,34.0,520,674,0.23454,0.22680,0.68040,0.00000,0.00001,0.44314,8.27,0.00,0.175,381,302.6
35,35.0,525,683,0.23622,0.22776,0.68327,0.00000,0.00001,0.45746,8.27,0.00,0.176,390,301.6
36,36.0,535,698,0.23823,0.22932,0.68796,0.00000,0.00002,0.47176,8.27,0.00,0.176,359,298.4
37,37.0,548,713,0.24031,0.23084,0.69250,0.00000,0.00002,0.48608,8.27,0.00,0.176,353,296.9
38,38.0,559,724,0.24237,0.23192,0.69575,0.00000,0.00002,0.50037,8.27,0.00,0.176,383,300.3
39,39.0,569,734,0.24490,0.23289,0.69865,0.00000,0.00002,0.51468,8.27,0.00,0.177,464,306.0
40,40.0,580,745,0.24684,0.23393,0.70177,0.00000,0.00002,0.52899,8.27,0.00,0.177,473,307.4
41,41.0,588,753,0.24838,0.23467,0.70400,0.00000,0.00002,0.54331,8.27,0.00,0.177,476,307.9
42,42.0,598,763,0.25012,0.23559,0.70674,0.00000,0.00002,0.55761,8.27,0.00,0.178,481,308.3
43,43.0,610,775,0.25195,0.23666,0.70997,0.00000,0.00002,0.57192,8.27,0.00,0.178,483,308.7
44,44.0,613,778,0.25302,0.23693,0.71076,0.00000,0.00002,0.58623,8.27,0.00,0.178,480,308.8
45,45.0,627,792,0.25496,0.23814,0.71441,0.00000,0.00002,0.60053,8.27,0.00,0.179,481,308.7
46,46.0,635,800,0.25642,0.23883,0.71646,0.00000,0.00002,0.61484,8.27,0.00,0.179,482,309.2
47,47.0,643,808,0.25788,0.23950,0.71848,0.00000,0.00002,0.62915,8.27,0.00,0.179,483,309.1
48,48.0,652,817,0.25939,0.24024,0.72071,0.00000,0.00002,0.64345,8.27,0.00,0.180,482,309.1
49,49.0,660,825,0.26082,0.24090,0.72267,0.00000,0.00002,0.65775,8.27,0.00,0.180,482,309.4
50,50.0,670,835,0.26239,0.24170,0.72508,0.00000,0.00002,0.67207,8.27,0.00,0.180,484,309.9
51,51.0,677,842,0.26374,0.24225,0.72674,0.00000,0.00002,0.68638,8.27,0.00,0.180,485,309.9
52,52.0,683,848,0.26501,0.24272,0.72815,0.00000,0.00002,0.70069,8.27,0.00,0.181,484,309.9
53,53.0,689,854,0.26628,0.24319,0.72954,0.00000,0.00002,0.71500,8.27,0.00,0.181,485,309.9
54,54.0,695,860,0.26754,0.24365,0.73092,0.00000,0.00002,0.72931,8.27,0.00,0.181,486,309.9
55,55.0,703,868,0.26893,0.24425,0.73274,0.00000,0.00002,0.74361,8.27,0.00,0.181,487,309.9
56,56.0,716,881,0.27064,0.24522,0.73564,0.00000,0.00002,0.75792,8.27,0.00,0.181,488,309.9
57,57.0,720,885,0.27176,0.24551,0.73652,0.00000,0.00002,0.77222,8.27,0.00,0.182,489,310.0
58,58.0,730,895,0.27326,0.24624,0.73869,0.00000,0.00002,0.78653,8.27,0.00,0.182,488,310.0
59,59.0,735,900,0.27443,0.24660,0.73977,0.00000,0.00002,0.80085,8.27,0.00,0.182,488,310.0
60,60.0,742,907,0.27572,0.24709,0.74126,0.00000,0.00002,0.81515,8.27,0.00,0.182,488,309.5
61,61.0,747,913,0.27695,0.24751,0.74252,0.00000,0.00002,0.82944,8.27,0.00,0.182,489,309.6
