step;j_candidate;j_noaction;satisficing_bound;phys_candidate;phys_noaction
0;0.223888;0.223888;0.212694;0.276421;0.276421
1;0.225438;0.225438;0.214166;0.276421;0.276421
2;0.227452;0.227452;0.216080;0.276421;0.276421
3;0.219200;0.229122;0.217666;0.260661;0.278947
4;0.222096;0.217858;0.206965;0.260661;0.278947
5;0.223305;0.217962;0.207064;0.260661;0.278947
6;0.224227;0.218252;0.207340;0.260661;0.278947
7;0.226165;0.220580;0.209551;0.260661;0.278947
8;0.224287;0.221012;0.209961;0.260661;0.278947
9;0.223553;0.221636;0.210554;0.260661;0.278947
10;0.221849;0.217844;0.206952;0.260661;0.278947
11;0.221366;0.216604;0.205774;0.260661;0.278947
12;0.223095;0.218656;0.207723;0.260661;0.278947
13;0.226415;0.217032;0.206181;0.253497;0.255237
14;0.225924;0.223262;0.212099;0.248282;0.261794
15;0.227717;0.217741;0.206854;0.248282;0.261794
16;0.226520;0.223171;0.212013;0.248282;0.261794
17;0.228115;0.221317;0.210251;0.248282;0.261794
18;0.229252;0.224881;0.213637;0.248282;0.261794
19;0.234310;0.221624;0.210543;0.248282;0.261794
20;0.236155;0.225981;0.214682;0.248282;0.261794
21;0.236832;0.227379;0.216010;0.248282;0.261794
22;0.238355;0.228001;0.216601;0.248282;0.261794
23;0.237667;0.229704;0.218219;0.248282;0.261794
24;0.238644;0.227445;0.216072;0.249562;0.251890
25;0.240449;0.229191;0.217732;0.249562;0.251890
26;0.240910;0.229797;0.218308;0.249562;0.251890
27;0.244118;0.231648;0.220065;0.249562;0.251890
28;0.243801;0.232195;0.220585;0.249562;0.251890
29;0.243661;0.233385;0.221716;0.249562;0.251890
30;0.244595;0.234745;0.223007;0.249562;0.251890
31;0.245445;0.237283;0.225418;0.262348;0.260729
31;0.245445;0.237283;0.225418;0.262348;0.260729
32;0.246761;0.235219;0.223458;0.249562;0.251890
33;0.247511;0.236829;0.224988;0.249562;0.251890
34;0.251014;0.237933;0.226037;0.258559;0.257663
35;0.252177;0.240032;0.228031;0.258559;0.257663
36;0.252696;0.241049;0.228996;0.258559;0.257663
37;0.252623;0.240256;0.228244;0.258559;0.257663
38;0.258147;0.241639;0.229557;0.264952;0.259202
39;0.254823;0.241994;0.229894;0.264952;0.259202
40;0.254469;0.242403;0.230282;0.264952;0.259202
41;0.261165;0.245560;0.233282;0.262348;0.260729
41;0.261165;0.245560;0.233282;0.262348;0.260729
42;0.257663;0.245850;0.233558;0.262348;0.260729
43;0.259235;0.246414;0.234093;0.262348;0.260729
44;0.258788;0.246699;0.234364;0.262348;0.260729
45;0.258365;0.247038;0.234687;0.262348;0.260729
46;0.259687;0.247431;0.235059;0.262348;0.260729
47;0.259805;0.247603;0.235222;0.262348;0.260729
48;0.260591;0.247929;0.235533;0.262348;0.260729
49;0.260607;0.248467;0.236043;0.262348;0.260729
