step,t_min,burning,burned,j_total,j_physical,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,14,14,0.01272,0.01442,0.04326,0.00000,0.00000,0.00000,8.27,0.00,0.067,0,0.0
2,2.0,21,21,0.03428,0.02139,0.06418,0.00000,0.00000,0.00000,8.27,0.00,0.067,124,1.4
3,3.0,29,29,0.04125,0.02918,0.08753,0.00000,0.00000,0.00001,8.27,0.00,0.067,134,1.5
4,4.0,41,41,0.05271,0.04049,0.12147,0.00000,0.00000,0.00006,8.27,0.00,0.067,144,11.9
5,5.0,51,51,0.06193,0.04959,0.14878,0.00000,0.00000,0.00022,8.27,0.00,0.068,377,41.5
6,6.0,58,58,0.06700,0.05580,0.16740,0.00000,0.00000,0.00043,8.27,0.00,0.068,296,49.0
7,7.0,67,67,0.07345,0.06358,0.19073,0.00000,0.00000,0.00067,8.27,0.00,0.068,322,57.9
8,8.0,74,74,0.07838,0.06948,0.20843,0.00000,0.00000,0.00095,8.27,0.00,0.068,344,66.8
9,9.0,87,87,0.08747,0.08009,0.24027,0.00000,0.00000,0.00126,8.27,0.00,0.068,372,75.8
10,10.0,94,94,0.09233,0.08563,0.25689,0.00000,0.00000,0.00164,8.27,0.00,0.068,403,88.5
11,11.0,108,108,0.10168,0.09634,0.28903,0.00000,0.00000,0.00204,8.27,0.00,0.068,421,95.9
12,12.0,125,125,0.11246,0.10873,0.32620,0.00000,0.00000,0.00252,8.27,0.00,0.068,471,113.3
13,13.0,145,145,0.12444,0.12248,0.36745,0.00000,0.00000,0.00307,8.27,0.00,0.068,522,131.7
14,14.0,168,168,0.13740,0.13726,0.41177,0.00000,0.00000,0.00369,8.27,0.00,0.068,554,144.6
15,15.0,192,192,0.14988,0.15157,0.45471,0.00000,0.00000,0.00439,8.27,0.00,0.068,607,165.6
16,16.0,214,214,0.16052,0.16377,0.49132,0.00000,0.00000,0.00517,8.27,0.00,0.069,659,186.4
17,17.0,231,231,0.16817,0.17264,0.51791,0.00000,0.00000,0.00605,8.27,0.00,0.069,700,206.3
18,18.0,251,251,0.17667,0.18247,0.54742,0.00000,0.00000,0.00699,8.27,0.00,0.069,728,223.6
19,19.0,274,274,0.18576,0.19305,0.57914,0.00000,0.00000,0.00803,8.27,0.00,0.070,773,247.1
20,20.0,306,306,0.19743,0.20653,0.61960,0.00000,0.00000,0.00917,8.27,0.00,0.070,811,270.2
21,21.0,343,343,0.20941,0.22052,0.66155,0.00000,0.00000,0.01046,8.27,0.00,0.071,879,306.6
22,22.0,376,376,0.21903,0.23168,0.69505,0.00000,0.00000,0.01191,8.27,0.00,0.071,937,339.8
23,23.0,417,417,0.22956,0.24403,0.73209,0.00000,0.00000,0.01352,8.27,0.00,0.072,1000,379.1
24,24.0,460,460,0.23920,0.25537,0.76612,0.00000,0.00000,0.01533,8.27,0.00,0.073,1071,423.7
1,1.0,13,13,0.01183,0.01341,0.04023,0.00000,0.00000,0.00000,8.27,0.00,0.159,0,0.0
