quantity;value
cycles;54
satisficing_failed;54
tried;12
accepted;5
rejected;7
withheld;0
persist_failed;0
dJ_accepted;-0.018438
stage1_tried;6
stage1_accepted;4
stage2_tried;2
stage2_accepted;0
stage3_tried;4
stage3_accepted;1
blocked: cooldown between adaptation trials;42
gate: admitted (improves G3 + G4);1
gate: rejected at G3 (no improvement);3
"rejected: cell already covered — an active rule sits on this antecedent cell and the situation is crisp; numeric tuning is stage ① evFIS's job";2
rejected: rejected at G3 (claude);3
rejected: no improving perturbation found;2
