scenario,arm,seed,source,package,gate,accepted,dJ
S2,F5EvAI,207,template,False,,False,0.0
S2,F5EvAI,207,template,False,,False,0.0
S3,F5EvAI,207,template,False,,False,0.0
S3,F5EvAI,207,template,False,,False,0.0
S3,F5EvAI,207,template,False,,False,0.0
S4,F5EvAI,207,template,False,,False,0.0
S4,F5EvAI,207,template,False,,True,-0.02295
S4,F5EvAI,207,template,False,,True,-0.00079
S4,F5EvAI,207,template,False,,True,-0.00012
S4,F5EvAI,207,template,False,G2 duplicate cell,False,0.0
S4,F5EvAI,207,template,True,,False,0.0
S4,F5EvAI,207,template,False,G2 duplicate cell,False,0.0
S5,F5EvAI,207,template,False,,False,0.0
S5,F5EvAI,207,template,False,,True,-0.02388
S5,F5EvAI,207,template,False,,True,-0.00013
S5,F5EvAI,207,template,False,,False,0.0
S1,F5EvAI,208,template,False,,False,0.0
S1,F5EvAI,208,template,False,,False,0.0
S1,F5EvAI,208,template,True,,True,-0.00341
S1,F5EvAI,208,template,False,,True,-0.00021
S2,F5EvAI,208,template,False,,False,0.0
S2,F5EvAI,208,template,False,,False,0.0
S2,F5EvAI,208,template,False,,False,0.0
S3,F5EvAI,208,template,False,,False,0.0
S3,F5EvAI,208,template,False,,False,0.0
S3,F5EvAI,208,template,False,,False,0.0
S4,F5EvAI,208,template,False,,False,0.0
S4,F5EvAI,208,template,False,,True,-0.00683
S4,F5EvAI,208,template,False,G2 duplicate cell,False,0.0
S4,F5EvAI,208,template,False,,False,0.0
S5,F5EvAI,208,template,False,,False,0.0
S5,F5EvAI,208,template,False,,False,0.0
S5,F5EvAI,208,template,True,,True,-0.00029
S1,F5EvAI,209,template,False,,False,0.0
S1,F5EvAI,209,template,False,,False,0.0
S1,F5EvAI,209,template,False,,False,0.0
S2,F5EvAI,209,template,False,,False,0.0
S2,F5EvAI,209,template,False,,False,0.0
S2,F5EvAI,209,template,False,G2 duplicate cell,False,0.0
S3,F5EvAI,209,template,False,,False,0.0
S3,F5EvAI,209,template,False,,False,0.0
S3,F5EvAI,209,template,True,,True,-0.00142
S3,F5EvAI,209,template,False,,False,0.0
S4,F5EvAI,209,template,False,,False,0.0
S4,F5EvAI,209,template,False,,True,-0.00166
S4,F5EvAI,209,template,False,,False,0.0
S5,F5EvAI,209,template,False,,False,0.0
S5,F5EvAI,209,template,False,,True,-0.08457
S5,F5EvAI,209,template,False,,True,-0.00187
S5,F5EvAI,209,template,False,,True,-0.00014
S5,F5EvAI,209,template,False,G2 duplicate cell,False,0.0
S1,F5EvAI,210,template,False,,False,0.0
S1,F5EvAI,210,template,False,,False,0.0
S1,F5EvAI,210,template,False,,True,-0.02311
S1,F5EvAI,210,template,False,,True,0.00023
S1,F5EvAI,210,template,True,,True,-0.00386
S1,F5EvAI,210,template,False,,False,0.0
S1,F5EvAI,210,template,False,,False,0.0
S1,F5EvAI,210,template,False,,True,-0.0004
S1,F5EvAI,210,template,False,G2 duplicate cell,False,0.0
S1,F5EvAI,210,template,False,G2 duplicate cell,False,0.0
S1,F5EvAI,210,template,False,G2 duplicate cell,False,0.0
S2,F5EvAI,210,template,False,,False,0.0
S2,F5EvAI,210,template,False,,False,0.0
S2,F5EvAI,210,template,False,,False,0.0
S3,F5EvAI,210,template,False,,False,0.0
S3,F5EvAI,210,template,False,,False,0.0
S3,F5EvAI,210,template,False,,True,-0.0015
S4,F5EvAI,210,template,False,,False,0.0
S4,F5EvAI,210,template,False,,False,0.0
S4,F5EvAI,210,template,False,,False,0.0
S5,F5EvAI,210,template,False,,False,0.0
S5,F5EvAI,210,template,False,,False,0.0
S5,F5EvAI,210,template,False,,False,0.0
S1,F5EvAI,211,template,False,,False,0.0
S1,F5EvAI,211,template,False,,False,0.0
S1,F5EvAI,211,template,False,,False,0.0
S2,F5EvAI,211,template,False,,False,0.0
S2,F5EvAI,211,template,False,G2 duplicate cell,False,0.0
S2,F5EvAI,211,template,False,G2 duplicate cell,False,0.0
S3,F5EvAI,211,template,False,,True,-0.001
S3,F5EvAI,211,template,False,,True,-0.00312
S3,F5EvAI,211,template,False,,True,-0.00027
S4,F5EvAI,211,template,False,,True,-0.00013
S4,F5EvAI,211,template,False,,True,0.00501
S4,F5EvAI,211,template,True,,True,-0.00368
S5,F5EvAI,211,template,False,,True,-0.00013
S5,F5EvAI,211,template,False,,False,0.0
S1,F5EvAI,212,template,False,,False,0.0
S1,F5EvAI,212,template,False,,False,0.0
S1,F5EvAI,212,template,False,,False,0.0
S2,F5EvAI,212,template,False,,False,0.0
S2,F5EvAI,212,template,False,,False,0.0
S2,F5EvAI,212,template,False,,True,-0.01182
S2,F5EvAI,212,template,False,G2 duplicate cell,False,0.0
S2,F5EvAI,212,template,False,G2 duplicate cell,False,0.0
S2,F5EvAI,212,template,False,G2 duplicate cell,False,0.0
S3,F5EvAI,212,template,False,,False,0.0
S3,F5EvAI,212,template,False,,True,-0.0474
S3,F5EvAI,212,template,True,,True,-0.00288
S3,F5EvAI,212,template,False,,True,-0.00024
S3,F5EvAI,212,template,False,G2 duplicate cell,False,0.0
S3,F5EvAI,212,template,True,G2 package (name empty or taken),False,0.0
S3,F5EvAI,212,template,True,G2 package (name empty or taken),False,0.0
S4,F5EvAI,212,template,False,,False,0.0
S4,F5EvAI,212,template,False,,True,-0.00296
S4,F5EvAI,212,template,True,,True,-0.03469
S4,F5EvAI,212,template,False,,True,-0.00105
S4,F5EvAI,212,template,False,G2 duplicate cell,False,0.0
S4,F5EvAI,212,template,True,G2 package (name empty or taken),False,0.0
S4,F5EvAI,212,template,True,G2 package (name empty or taken),False,0.0
S5,F5EvAI,212,template,False,,False,0.0
S5,F5EvAI,212,template,False,,True,-0.00375
S5,F5EvAI,212,template,True,,True,-0.01416
S5,F5EvAI,212,template,False,,False,0.0
S1,F5EvAI,213,template,False,,False,0.0
S1,F5EvAI,213,template,False,,False,0.0
S1,F5EvAI,213,template,False,,False,0.0
S2,F5EvAI,213,template,False,,False,0.0
S2,F5EvAI,213,template,False,,False,0.0
S2,F5EvAI,213,template,False,,False,0.0
S3,F5EvAI,213,template,False,,False,0.0
S3,F5EvAI,213,template,False,,True,-0.16741
S3,F5EvAI,213,template,True,,True,-0.01243
S3,F5EvAI,213,template,False,,True,-0.00081
S4,F5EvAI,213,template,False,,False,0.0
S4,F5EvAI,213,template,False,,True,-0.18072
S4,F5EvAI,213,template,True,,True,-0.0371
S4,F5EvAI,213,template,False,,True,-0.00068
S4,F5EvAI,213,template,False,G2 duplicate cell,False,0.0
S4,F5EvAI,213,template,True,G2 package (name empty or taken),False,0.0
S4,F5EvAI,213,template,False,G2 duplicate cell,False,0.0
S5,F5EvAI,213,template,False,,False,0.0
S5,F5EvAI,213,template,False,,True,-0.15694
S5,F5EvAI,213,template,True,,True,-0.0258
S5,F5EvAI,213,template,False,G2 duplicate cell,False,0.0
S5,F5EvAI,213,template,True,G2 package (name empty or taken),False,0.0
S5,F5EvAI,213,template,True,G2 package (name empty or taken),False,0.0
S1,F5EvAI,214,template,False,,False,0.0
S1,F5EvAI,214,template,False,,False,0.0
S1,F5EvAI,214,template,True,,True,-0.01091
S1,F5EvAI,214,template,False,,True,-0.00079
S1,F5EvAI,214,template,False,G2 duplicate cell,False,0.0
S1,F5EvAI,214,template,True,G2 package (name empty or taken),False,0.0
S1,F5EvAI,214,template,False,G2 duplicate cell,False,0.0
S2,F5EvAI,214,template,False,,False,0.0
S2,F5EvAI,214,template,False,,False,0.0
S2,F5EvAI,214,template,False,G2 duplicate cell,False,0.0
S3,F5EvAI,214,template,False,,False,0.0
S3,F5EvAI,214,template,False,,False,0.0
S4,F5EvAI,214,template,False,,False,0.0
S4,F5EvAI,214,template,False,,True,-0.02052
S4,F5EvAI,214,template,True,,True,-0.0085
S5,F5EvAI,214,template,False,,False,0.0
S5,F5EvAI,214,template,False,,True,-0.01405
S5,F5EvAI,214,template,True,,True,-0.01005
S5,F5EvAI,214,template,False,,False,0.0
S1,F5EvAI,215,template,False,,False,0.0
S1,F5EvAI,215,template,False,,False,0.0
S2,F5EvAI,215,template,False,,False,0.0
S2,F5EvAI,215,template,False,,False,0.0
S2,F5EvAI,215,template,True,,True,-0.09326
S2,F5EvAI,215,template,False,,True,-0.01441
S2,F5EvAI,215,template,False,,True,0.07394
S2,F5EvAI,215,template,False,,True,-0.011
S3,F5EvAI,215,template,False,,False,0.0
S3,F5EvAI,215,template,False,,True,-0.00794
S3,F5EvAI,215,template,True,,True,-0.01609
S3,F5EvAI,215,template,False,G2 duplicate cell,False,0.0
