scenario,arm,seed,profile,burned_ha,forest_ha,pop_affected,evacuated,out_min,success,t2h_j_burn,t2h_j_asset,t2h_j_pop,t2h_j_resp,t2h_j_delay,t2h_j_total,t2h_j_phys,t6h_j_burn,t6h_j_asset,t6h_j_pop,t6h_j_resp,t6h_j_delay,t6h_j_total,t6h_j_phys,end_j_burn,end_j_asset,end_j_pop,end_j_resp,end_j_delay,end_j_total,end_j_phys,rules_final,coverage,fs_frac,adapt_share,tried_1,tried_2,tried_3,acc_1,acc_2,acc_3,dj_1,dj_2,dj_3,genai_source,wall_s
S5,F5,218,minimal,86.22,27.09,986363.0,0.0,-1,0,0.11031,0.01691,0.00017,0.04747,0.37739,0.06246,0.04246,0.28296,0.1389,0.00062,0.22767,0.27529,0.15384,0.14083,0.4043,0.30553,0.00291,0.5159,0.21639,0.25271,0.23758,5,0.013,0.429,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,12.9
S5,F5Ev,218,minimal,60.3,27.45,338243.0,0.0,-1,0,0.09024,0.0,0.0,0.05186,0.36856,0.05127,0.03008,0.27782,0.12507,0.00046,0.29031,0.14143,0.14403,0.13445,0.32188,0.15162,0.00056,0.57096,0.13554,0.18099,0.15802,8,0.471,0.029,0.6964,25,5,0,11,3,0,-0.7205,-0.1129,0.0,,17.9
S1,Test0,219,minimal,270.99,129.78,4444444.0,0.0,-1,0,0.53514,0.16057,0.00121,0.0,0.0,0.20498,0.23231,0.65975,0.9165,0.07235,0.0,0.0,0.48488,0.54953,0.66387,1.0,0.25109,0.0,0.0,0.56322,0.63832,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,2.0
S1,F5,219,minimal,9.9,6.12,0.0,31.0,158.0,1,0.06616,0.0,7e-05,0.03687,0.60275,0.0571,0.02208,,,,,,,,0.0673,0.0,0.00011,0.04394,0.5756,0.05627,0.02247,5,0.0,0.054,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,3.2
S5,F5EvAI,218,minimal,35.55,22.41,170413.0,1897.0,630.0,1,0.09722,0.01377,0.0,0.06458,0.30208,0.05421,0.03699,0.19227,0.0626,0.00024,0.32872,0.2343,0.10815,0.08504,0.21865,0.07407,0.00581,0.66402,0.15834,0.13618,0.09951,12,0.065,0.12,0.7374,3,16,13,3,2,5,-0.1525,-0.175,-0.021,template,16.2
S1,F5Ev,219,minimal,9.9,6.12,0.0,32.0,162.0,1,0.06444,0.0,7e-05,0.03764,0.52302,0.05195,0.0215,,,,,,,,0.0673,0.0,0.00011,0.04731,0.50053,0.05205,0.02247,7,0.286,0.0,0.4248,1,6,0,1,2,0,0.0259,0.0292,0.0,,4.1
S1,F5EvAI,219,minimal,9.72,5.94,0.0,32.0,166.0,1,0.06271,0.0,7e-05,0.04637,0.52441,0.05204,0.02093,,,,,,,,0.06616,0.0,0.00012,0.06274,0.51518,0.05349,0.02209,7,0.357,0.0,0.5582,2,2,3,1,1,1,0.0297,0.0232,-0.0012,template,4.9
S2,Test0,219,minimal,270.99,129.78,4444444.0,0.0,-1,0,0.53712,0.16057,0.00121,0.0,0.0,0.20556,0.23297,0.64393,0.8961,0.05767,0.0,0.0,0.46991,0.53257,0.66387,1.0,0.22112,0.0,0.0,0.55441,0.62833,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,2.1
S2,F5,219,minimal,10.26,6.48,0.0,31.0,158.0,1,0.06844,0.0,7e-05,0.06746,0.60275,0.05957,0.02284,,,,,,,,0.06958,0.0,0.00011,0.07924,0.5756,0.05902,0.02323,5,0.0,0.107,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,2.9
S2,F5Ev,219,minimal,10.26,6.48,0.0,32.0,162.0,1,0.06673,0.0,7e-05,0.06875,0.52347,0.05448,0.02227,,,,,,,,0.06958,0.0,0.00011,0.08485,0.50089,0.05495,0.02323,7,0.304,0.0,0.4248,1,6,0,1,2,0,0.0262,0.0294,0.0,,4.3
S3,Test0,219,minimal,260.73,61.74,8884444.0,0.0,-1,0,0.21166,0.17004,0.00223,0.0,0.0,0.11292,0.12798,0.59421,0.5731,0.0395,0.0,0.0,0.35495,0.40227,0.65871,0.95075,0.18325,0.0,0.0,0.52727,0.59757,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,1.8
S3,F5,219,minimal,14.58,0.0,0.0,0.0,50.0,1,,,,,,,,,,,,,,,0.09741,0.0,0.0,0.01242,0.26119,0.04475,0.03247,5,0.0,0.3,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,1.0
S2,F5EvAI,219,minimal,10.08,6.3,0.0,32.0,166.0,1,0.06501,0.0,7e-05,0.08458,0.52611,0.05507,0.02169,,,,,,,,0.06844,0.0,0.00012,0.11163,0.51701,0.05714,0.02285,7,0.339,0.036,0.5564,2,2,3,1,1,1,0.03,0.0235,-0.0007,template,5.0
S3,F5Ev,219,minimal,15.66,0.0,0.0,0.0,76.0,1,,,,,,,,,,,,,,,0.10388,0.0,0.0,0.01692,0.15529,0.04068,0.03463,8,0.281,0.0,0.6482,1,3,0,1,3,0,0.0139,-0.0228,0.0,,2.5
S3,F5EvAI,219,minimal,14.67,0.0,0.0,0.0,74.0,1,,,,,,,,,,,,,,,0.09796,0.0,0.0,0.01628,0.15304,0.03877,0.03265,7,0.357,0.179,0.7111,0,1,3,0,1,1,0.0,0.0118,-0.0035,template,2.7
