quantity;value
cycles;22
satisficing_failed;7
tried;3
accepted;0
rejected;3
withheld;0
persist_failed;0
dJ_accepted;0.000000
stage1_tried;1
stage1_accepted;0
stage2_tried;2
stage2_accepted;0
blocked: cooldown between adaptation trials;4
rejected: no improving perturbation found;1
rejected: refined cell already covered;2
