quantity;value
cycles;50
satisficing_failed;37
tried;9
accepted;2
rejected;7
withheld;0
persist_failed;0
dJ_accepted;-0.044332
stage1_tried;3
stage1_accepted;0
stage2_tried;2
stage2_accepted;0
stage3_tried;4
stage3_accepted;2
blocked: cooldown between adaptation trials;28
gate: rejected at G3 (no improvement);2
gate: admitted (improves G3 + G4);1
gate: admitted (package, G5 margin cleared);1
rejected: rejected at G3 (claude);2
"rejected: cell already covered — an active rule sits on this antecedent cell and the situation is crisp; numeric tuning is stage ① evFIS's job";2
rejected: no improving perturbation found;3
