step;j_candidate;j_noaction;satisficing_bound;phys_candidate;phys_noaction
0;0.223888;0.223888;0.212694;0.287321;0.287321
1;0.227257;0.227257;0.215894;0.287321;0.287321
2;0.230229;0.230229;0.218717;0.287321;0.287321
3;0.231220;0.232827;0.221186;0.286233;0.291713
4;0.241092;0.233617;0.221936;0.286233;0.291713
5;0.236224;0.234828;0.223087;0.287321;0.291432
6;0.238359;0.235572;0.223794;0.286525;0.291811
7;0.233084;0.234988;0.223238;0.285333;0.291795
8;0.246443;0.237307;0.225442;0.285333;0.291795
9;0.248931;0.239642;0.227660;0.289040;0.292831
10;0.251503;0.240832;0.228791;0.289040;0.292831
11;0.249277;0.243478;0.231304;0.287837;0.293890
12;0.252643;0.245818;0.233527;0.287837;0.293890
13;0.247484;0.247064;0.234711;0.287837;0.293890
14;0.252684;0.250654;0.238121;0.289003;0.296557
15;0.251822;0.250817;0.238277;0.287241;0.295772
16;0.255199;0.253081;0.240427;0.287241;0.295772
17;0.254210;0.257048;0.244196;0.288418;0.298511
18;0.254963;0.257391;0.244522;0.288665;0.298151
19;0.260446;0.257392;0.244522;0.288665;0.298151
20;0.261963;0.259000;0.246050;0.288665;0.298151
21;0.262381;0.260903;0.247858;0.288437;0.298728
22;0.267440;0.260587;0.247558;0.290479;0.298430
23;0.267790;0.260160;0.247152;0.290479;0.298430
24;0.268628;0.262511;0.249385;0.290479;0.298430
25;0.270168;0.265827;0.252535;0.288722;0.299666
26;0.271722;0.268122;0.254716;0.288722;0.299666
27;0.274798;0.268582;0.255153;0.291113;0.298557
28;0.270108;0.272382;0.258763;0.291113;0.298557
29;0.280087;0.273760;0.260072;0.291113;0.300080
30;0.272789;0.277470;0.263596;0.291113;0.300080
31;0.277577;0.274804;0.261064;0.291113;0.300080
32;0.279306;0.280665;0.266632;0.291113;0.300080
33;0.285043;0.279172;0.265214;0.283521;0.296480
34;0.284089;0.281760;0.267672;0.282341;0.297249
35;0.285202;0.286873;0.272529;0.282341;0.297249
36;0.284244;0.283772;0.269584;0.282341;0.297249
37;0.285248;0.289586;0.275106;0.282341;0.297249
38;0.287871;0.288372;0.273953;0.282341;0.297249
39;0.291735;0.292236;0.277624;0.282341;0.297249
40;0.296519;0.291567;0.276989;0.282341;0.297249
41;0.297160;0.291768;0.277180;0.282341;0.297249
42;0.304497;0.298641;0.283709;0.282341;0.297249
43;0.307752;0.298636;0.283704;0.282341;0.297249
44;0.310353;0.298645;0.283713;0.284033;0.298395
44;0.317319;0.305611;0.290330;0.284033;0.298395
45;0.317824;0.306145;0.290838;0.284033;0.298395
45;0.317824;0.306145;0.290838;0.284033;0.298395
46;0.305139;0.292793;0.278153;0.273323;0.279534
47;0.306401;0.296171;0.281363;0.276886;0.282366
48;0.307432;0.297205;0.282344;0.276826;0.280740
49;0.307883;0.298955;0.284007;0.276826;0.280740
